,imdbId,Imdb Link,Title,IMDB Score,Genre,Poster,Year
9,405296,http://www.imdb.com/title/tt405296,A Scanner Darkly,7.1,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTc2ZGI2MzEtODlkNC00MGQ4LTlkYjQtMDU0YTg1YTI0NDI1L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
13,456554,http://www.imdb.com/title/tt456554,Grandma's Boy,7.0,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDFiYzQ0NzktMGNkNy00YTQ0LTgxODgtNDViNGIxMTc1NGFjL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL_.jpg",2006
14,375154,http://www.imdb.com/title/tt375154,Tristan + Isolde,6.9,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTRiZmY5ODMtNzI4Ny00YTE3LTgyYTgtZGE5MDZhZjAyMTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
15,385726,http://www.imdb.com/title/tt385726,Glory Road,7.2,Biography,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2MDY4OTE1N15BMl5BanBnXkFtZTcwOTI5OTMzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
16,408985,http://www.imdb.com/title/tt408985,Last Holiday,6.4,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzY4ZjcxOTItNWQwOC00MmMxLTkzMjYtZmQwMTJiMGY5Y2JlXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
17,401855,http://www.imdb.com/title/tt401855,Underworld: Evolution,6.8,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNDY1OTQwOV5BMl5BanBnXkFtZTcwNjcxMTIzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
18,390245,http://www.imdb.com/title/tt390245,Matti,5.9,Biography,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5NTQ4OTAxNl5BMl5BanBnXkFtZTgwNzM2MzI2MDE@._V1_UY268_CR3,0,182,268_AL_.jpg",2006
19,417433,http://www.imdb.com/title/tt417433,Annapolis,5.8,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDQxMzA1Mjk5MF5BMl5BanBnXkFtZTcwMTM5NjEzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
20,421729,http://www.imdb.com/title/tt421729,Big Momma's House 2,4.6,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjZmYTQ3OTktODkzYy00YmQxLTgxMjEtY2ZkZDY4MDYzNDNmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
21,437777,http://www.imdb.com/title/tt437777,Something New,6.8,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzMzNzU0NzQ1NF5BMl5BanBnXkFtZTcwNTMzOTEzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
22,383216,http://www.imdb.com/title/tt383216,The Pink Panther,5.6,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGI2MjVlNzEtZDg1ZS00MGU1LWFhNTQtNzMwZDViOWRkNzhkXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
23,381971,http://www.imdb.com/title/tt381971,Curious George,6.6,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzODQ4ODI0Nl5BMl5BanBnXkFtZTcwNTMyMDIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
24,408345,http://www.imdb.com/title/tt408345,Firewall,5.8,Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwOTAyMTkwOV5BMl5BanBnXkFtZTYwMjY2MTM3._V1_UX182_CR0,0,182,268_AL_.jpg",2006
25,455857,http://www.imdb.com/title/tt455857,When a Stranger Calls,5.0,Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NDk0NjExNF5BMl5BanBnXkFtZTcwNDIyMDIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
