,Unnamed: 0,imdbId,Imdb Link,Title,IMDB Score,Genre,Poster,Year
1483,1483,112951,http://www.imdb.com/title/tt112951,En avoir,6.8,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4ZDFlNTYtZTczYy00ZjEwLWI2NDYtYjcxM2ViMjRkZGM4XkEyXkFqcGdeQXVyNjM3MDIwNjc@._V1_UY268_CR9,0,182,268_AL_.jpg",ou pas)
2880,2880,168589,http://www.imdb.com/title/tt168589,La Ciudad,7.2,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1NTUxMjczM15BMl5BanBnXkFtZTcwMDU3MDkyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",The City)
4692,4692,242994,http://www.imdb.com/title/tt242994,Va Savoir,7.0,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzc2OTU1Nzc5Nl5BMl5BanBnXkFtZTcwNTkxMjA0MQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",Who Knows?)
6126,6126,61834,http://www.imdb.com/title/tt61834,I Am Curious,6.1,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5ODE4MTU4NV5BMl5BanBnXkFtZTcwMjI1MTIyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",Yellow)
6237,6237,304081,http://www.imdb.com/title/tt304081,Gigantic,7.8,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyNjIwNjE2Nl5BMl5BanBnXkFtZTcwOTc3MjQyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",A Tale of Two Johns)
6825,6825,85426,http://www.imdb.com/title/tt85426,Le Dernier Combat,6.9,Sci-Fi,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4OTg5NTM0N15BMl5BanBnXkFtZTcwMTEyOTQyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",The Last Battle)
7442,7442,80461,http://www.imdb.com/title/tt80461,"Bon Voyage, Charlie Brown",7.4,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BYTA1ODI0ZGQtNDkwOS00ZmNkLWEwYTAtMmY2ZDBiOGQ3M2MzXkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_UY268_CR4,0,182,268_AL_.jpg",and Don't Come Back!!)
8313,8313,18217,http://www.imdb.com/title/tt18217,October,7.5,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyMjI2MTgxOF5BMl5BanBnXkFtZTgwMDA2MzUxMjE@._V1_UY268_CR8,0,182,268_AL_.jpg",Ten Days that Shook the World)
9160,9160,174330,http://www.imdb.com/title/tt174330,VÃ­Â©nus beautÃ­Â©,6.4,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5ODAyNzMxMF5BMl5BanBnXkFtZTcwMjQ3MzQyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",institut)
9333,9333,314063,http://www.imdb.com/title/tt314063,Immortel,6.0,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjYyMjBhYzktN2VlZS00MDcyLWI2MGEtN2YzOGI2NTk3M2Q1XkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_UX182_CR0,0,182,268_AL_.jpg",ad vitam)
9489,9489,399877,http://www.imdb.com/title/tt399877,What the #$*! Do We,5.3,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5MjM4NjIyNl5BMl5BanBnXkFtZTYwNTUzMjQ3._V1_UY268_CR9,0,182,268_AL_.jpg",K)now!?
9491,9491,405296,http://www.imdb.com/title/tt405296,A Scanner Darkly,7.1,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTc2ZGI2MzEtODlkNC00MGQ4LTlkYjQtMDU0YTg1YTI0NDI1L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
9783,9783,388311,http://www.imdb.com/title/tt388311,Or,7.1,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzE2MDI4NDg3MV5BMl5BanBnXkFtZTgwMzYxMDA2MDE@._V1_UY268_CR3,0,182,268_AL_.jpg",My Treasure)
10044,10044,119626,http://www.imdb.com/title/tt119626,MartÃ­_n,7.7,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NDE3NDcxNl5BMl5BanBnXkFtZTcwNjczNDMzMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",Hache)
10124,10124,395125,http://www.imdb.com/title/tt395125,El Crimen Perfecto,7.1,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MzcwNjAyOF5BMl5BanBnXkFtZTcwNDc1MzMzMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",The Perfect Crime)
10682,10682,456554,http://www.imdb.com/title/tt456554,Grandma's Boy,7.0,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDFiYzQ0NzktMGNkNy00YTQ0LTgxODgtNDViNGIxMTc1NGFjL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL_.jpg",2006
