_id,Awards,Type,Poster,Title,imdbRating,Released,Metascore,imdbID,Runtime,Genre,Actors,imdbVotes,Response,Box_office,Rated,Language,Writer,Director,Country
56fb8f6f71a0651514f5bcec,N/A,game,http://ia.media-imdb.com/images/M/MV5BYTJmOGE1YWEtZjQ0Zi00MDRjLWE4NjktZTZjMTYyZGNmYjg2XkEyXkFqcGdeQXVyNjM2NTM3ODA@._V1_SX300.jpg,E.T.: The Extra-Terrestrial,2.1,N/A,N/A,tt0308201,N/A,"Family, Sci-Fi",N/A,130,True,,N/A,English,Melissa Mathison (characters),N/A,USA
56fb8f6f71a0651514f5bced,Won 1 Oscar. Another 24 wins & 29 nominations.,movie,http://ia.media-imdb.com/images/M/MV5BMTcxNTQ0ODE0OV5BMl5BanBnXkFtZTcwNzc1Mjk3OA@@._V1_SX300.jpg,Tootsie,7.4,17 Dec 1982,87,tt0084805,116 min,"Comedy, Drama, Romance","Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman","75,438",True,"177,200,000",PG,English,"Larry Gelbart (screenplay, Murray Schisgal (screenplay, Don McGuire (story, Larry Gelbart (story)",Sydney Pollack,USA
56fb8f6f71a0651514f5bcee,Won 2 Oscars. Another 7 wins & 13 nominations.,movie,http://ia.media-imdb.com/images/M/MV5BOTgzMDMyODI0OV5BMl5BanBnXkFtZTcwMjUwMDI0MQ@@._V1_SX300.jpg,An Officer and a Gentleman,7.0,13 Aug 1982,75,tt0084434,124 min,"Drama, Romance","Richard Gere, Debra Winger, David Keith, Robert Loggia","37,159",True,"129,795,554",R,"English, Filipino",Douglas Day Stewart,Taylor Hackford,USA
56fb8f6f71a0651514f5bcef,Nominated for 1 Oscar. Another 2 wins & 7 nominations.,movie,http://ia.media-imdb.com/images/M/MV5BMTMyOTYzMDMzMF5BMl5BanBnXkFtZTcwMTkzODM1NA@@._V1_SX300.jpg,Rocky III,6.7,28 May 1982,N/A,tt0084602,99 min,"Drama, Sport","Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers","117,024",True,"122,823,200",PG,English,Sylvester Stallone,Sylvester Stallone,USA
56fb8f6f71a0651514f5bcf0,2 wins & 9 nominations.,movie,http://ia.media-imdb.com/images/M/MV5BMTcwNjc5NjA4N15BMl5BanBnXkFtZTcwNDk5MzI4OA@@._V1_SX300.jpg,Star Trek II: The Wrath of Khan,7.7,04 Jun 1982,71,tt0084726,113 min,"Action, Adventure, Drama","William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan","88,273",True,"78,900,000",PG,English,"Gene Roddenberry (television series Star Trek, Harve Bennett (story, Jack B. Sowards (story, Jack B. Sowards (screenplay)",Nicholas Meyer,USA
56fb8f6f71a0651514f5bcf1,Nominated for 1 Golden Globe. Another 2 wins & 1 nomination.,movie,http://ia.media-imdb.com/images/M/MV5BMTQ5MzM4NTc1OV5BMl5BanBnXkFtZTcwNzE1NjkxMQ@@._V1_SX300.jpg,48 Hrs.,6.9,08 Dec 1982,71,tt0083511,96 min,"Action, Comedy, Crime","Nick Nolte, Eddie Murphy, Annette O'Toole, Frank McRae","51,195",True,"75,900,000",R,English,"Roger Spottiswoode, Walter Hill, Larry Gross, Steven E. de Souza",Walter Hill,USA
56fb8f6f71a0651514f5bcf2,Nominated for 3 Oscars. Another 4 wins & 4 nominations.,movie,http://ia.media-imdb.com/images/M/MV5BMTUwMTI2NTM5MV5BMl5BanBnXkFtZTgwMTgwNDgwNzE@._V1_SX300.jpg,Poltergeist,7.4,04 Jun 1982,79,tt0084516,114 min,"Fantasy, Horror","Craig T. Nelson, JoBeth Williams, Beatrice Straight, Dominique Dunne","101,250",True,"76,600,000",PG,English,"Steven Spielberg (screenplay, Michael Grais (screenplay, Mark Victor (screenplay, Steven Spielberg (story)",Tobe Hooper,USA
56fb8f6f71a0651514f5bcf3,Nominated for 1 Oscar. Another 2 nominations.,movie,http://ia.media-imdb.com/images/M/MV5BMTM3MDU4OTU1OV5BMl5BanBnXkFtZTcwNjE0MTQyMQ@@._V1_SX300.jpg,The Best Little Whorehouse in Texas,5.8,23 Jul 1982,N/A,tt0083642,114 min,"Comedy, Musical","Burt Reynolds, Dolly Parton, Dom DeLuise, Charles Durning","7,424",True,"69,700,000",R,English,"Larry L. King (play, Peter Masterson (play, Larry L. King (screenplay, Peter Masterson (screenplay, Colin Higgins (screenplay)",Colin Higgins,USA
56fb8f6f71a0651514f5bcf4,Nominated for 2 Oscars. Another 2 wins & 11 nominations.,movie,http://ia.media-imdb.com/images/M/MV5BMTczMjgwNTAyNV5BMl5BanBnXkFtZTcwMDU3MzMyMQ@@._V1_SX300.jpg,Annie,6.5,18 Jun 1982,39,tt0083564,127 min,"Comedy, Drama, Family","Albert Finney, Carol Burnett, Ann Reinking, Tim Curry","29,694",True,"57,100,000",PG,English,"Carol Sobieski (screenplay, Thomas Meehan (book)",John Huston,USA
56fb8f6f71a0651514f5bcf5,Nominated for 5 Oscars. Another 3 wins & 9 nominations.,movie,http://ia.media-imdb.com/images/M/MV5BMTU5MzMwMzAzM15BMl5BanBnXkFtZTcwNjYyMjA0Mg@@._V1_SX300.jpg,The Verdict,7.8,17 Dec 1982,N/A,tt0084855,129 min,Drama,"Paul Newman, Charlotte Rampling, Jack Warden, James Mason","25,551",True,"54,000,000",R,English,"Barry Reed (based upon the novel by, David Mamet (screenplay)",Sidney Lumet,USA
