_id,Director,Rated,imdbVotes,Country,imdbID,Metascore,imdbRating,Writer,Released,Poster,Runtime,Type,Language,Actors,Box_office,Genre,Response,Awards,Title
56fb91c071a0650358ae54f2,N/A,N/A,399,USA,tt2301123,N/A,8.2,N/A,25 May 1983,N/A,N/A,game,English,N/A,,"Action, Adventure, Sci-Fi",True,N/A,Return of the Jedi
56fb91c071a0650358ae54f3,James L. Brooks,R,"39,168",USA,tt0086425,79,7.4,"Larry McMurtry (based on the novel by, James L. Brooks (screenplay)",09 Dec 1983,http://ia.media-imdb.com/images/M/MV5BMTk0ODM4NDk0MF5BMl5BanBnXkFtZTgwMTEzMDUxMDE@._V1_SX300.jpg,132 min,movie,English,"Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito","108,423,489","Comedy, Drama",True,Won 5 Oscars. Another 26 wins & 17 nominations.,Terms of Endearment
56fb91c071a0650358ae54f4,Adrian Lyne,R,"33,842",USA,tt0085549,35,6.1,"Thomas Hedley Jr. (screenplay, Joe Eszterhas (screenplay, Thomas Hedley Jr. (story)",15 Apr 1983,http://ia.media-imdb.com/images/M/MV5BMjA5NjE2OTUxOF5BMl5BanBnXkFtZTgwNDE1NDIxMDE@._V1_SX300.jpg,95 min,movie,English,"Jennifer Beals, Michael Nouri, Lilia Skala, Sunny Johnson","94,900,000","Drama, Romance, Music",True,Won 1 Oscar. Another 10 wins & 14 nominations.,Flashdance
56fb91c071a0650358ae54f5,John Landis,R,"99,892",USA,tt0086465,66,7.5,"Timothy Harris, Herschel Weingrod",08 Jun 1983,http://ia.media-imdb.com/images/M/MV5BMTc0ODg5NjYwNV5BMl5BanBnXkFtZTcwMDU5MzY0MQ@@._V1_SX300.jpg,116 min,movie,English,"Denholm Elliott, Dan Aykroyd, Maurice Woods, Richard D. Fisher Jr.","90,400,000",Comedy,True,Nominated for 1 Oscar. Another 3 wins & 4 nominations.,Trading Places
56fb91c071a0650358ae54f6,John Badham,PG,"69,986",USA,tt0086567,N/A,7.1,"Lawrence Lasker, Walter F. Parkes",03 Jun 1983,http://ia.media-imdb.com/images/M/MV5BMTMyMTE3OTk3NF5BMl5BanBnXkFtZTcwOTkwNDc3NA@@._V1_SX300.jpg,114 min,movie,English,"Matthew Broderick, Dabney Coleman, John Wood, Ally Sheedy","79,568,000","Sci-Fi, Thriller",True,Nominated for 3 Oscars. Another 4 wins & 11 nominations.,WarGames
56fb91c071a0650358ae54f7,John Glen,PG,"72,142","UK, USA",tt0086034,N/A,6.6,"George MacDonald Fraser (screen story and screenplay, Richard Maibaum (screen story and screenplay, Michael G. Wilson (screen story and screenplay)",10 Jun 1983,http://ia.media-imdb.com/images/M/MV5BMjI2MDE0NjE1NV5BMl5BanBnXkFtZTcwNjYyMzY0NA@@._V1_SX300.jpg,131 min,movie,"English, Russian, German, Spanish","Roger Moore, Maud Adams, Louis Jourdan, Kristina Wayborn","67,900,000","Action, Adventure, Thriller",True,2 wins & 3 nominations.,Octopussy
56fb91c071a0650358ae54f8,Clint Eastwood,R,"30,144",USA,tt0086383,N/A,6.6,"Harry Julian Fink (characters, Rita M. Fink (characters, Joseph Stinson (screenplay, Earl E. Smith (story, Charles B. Pierce (story)",09 Dec 1983,http://ia.media-imdb.com/images/M/MV5BYTA2NzY5ZTgtNTY3Ni00YTc3LWFhN2ItY2Q4NzljYTRkZTIwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,117 min,movie,English,"Clint Eastwood, Sondra Locke, Pat Hingle, Bradford Dillman","67,600,000","Action, Thriller",True,N/A,Sudden Impact
56fb91c071a0650358ae54f9,Sylvester Stallone,PG,"10,968",USA,tt0086361,17,4.4,"Nik Cohn (characters, Sylvester Stallone, Norman Wexler",15 Jul 1983,http://ia.media-imdb.com/images/M/MV5BMTU0ODkwNTUxNV5BMl5BanBnXkFtZTcwMjU1MDgxMQ@@._V1_SX300.jpg,93 min,movie,English,"John Travolta, Cynthia Rhodes, Finola Hughes, Steve Inwood","63,800,000","Drama, Music, Romance",True,Nominated for 1 Golden Globe. Another 5 nominations.,Staying Alive
56fb91c071a0650358ae54fa,Stan Dragoti,PG,"15,626",USA,tt0085970,N/A,6.5,John Hughes,19 Aug 1983,http://ia.media-imdb.com/images/M/MV5BMTUyMzg0MTkwNV5BMl5BanBnXkFtZTgwOTA2NzEyMDE@._V1_SX300.jpg,91 min,movie,English,"Michael Keaton, Teri Garr, Fred Koehler, Taliesin Jaffe","64,800,000","Comedy, Drama",True,1 win & 1 nomination.,Mr. Mom
56fb91c071a0650358ae54fb,Paul Brickman,R,"58,875",USA,tt0086200,75,6.8,Paul Brickman,05 Aug 1983,http://ia.media-imdb.com/images/M/MV5BMTg1NDc4NDkzNF5BMl5BanBnXkFtZTYwMTQyNTg4._V1_SX300.jpg,99 min,movie,"English, German","Tom Cruise, Rebecca De Mornay, Joe Pantoliano, Richard Masur","63,500,000","Comedy, Crime, Drama",True,Nominated for 1 Golden Globe. Another 2 nominations.,Risky Business
56fb91c071a0650358ae54fc,Harold Ramis,R,"68,138",USA,tt0085995,60,7.4,"John Hughes (screenplay, John Hughes (short story \",29 Jul 1983,http://ia.media-imdb.com/images/M/MV5BMTI1Mzk4MTYwNF5BMl5BanBnXkFtZTcwOTU0MTAwMQ@@._V1_SX300.jpg,98 min,movie,English,"Chevy Chase, Beverly D'Angelo, Imogene Coca, Randy Quaid","61,400,000","Adventure, Comedy",True,N/A,National Lampoon's Vacation
56fb91c071a0650358ae54fd,Richard Lester,PG,"47,312","UK, USA",tt0086393,42,4.9,"Joe Shuster (character created by: Superman, Jerry Siegel (character created by: Superman, David Newman (screenplay, Leslie Newman (screenplay)",17 Jun 1983,http://ia.media-imdb.com/images/M/MV5BMTU2MDA2OTY2NV5BMl5BanBnXkFtZTcwMDA5MzMyMQ@@._V1_SX300.jpg,125 min,movie,"English, Italian, Spanish","Christopher Reeve, Richard Pryor, Jackie Cooper, Marc McClure","60,000,000","Action, Comedy, Sci-Fi",True,2 wins & 6 nominations.,Superman III
56fb91c071a0650358ae54fe,Lawrence Kasdan,R,"25,104",USA,tt0085244,62,7.2,"Lawrence Kasdan, Barbara Benedek",30 Sep 1983,http://ia.media-imdb.com/images/M/MV5BMTA4MjEyMTk5NzheQTJeQWpwZ15BbWU4MDY1NDA1MTAx._V1_SX300.jpg,105 min,movie,English,"Tom Berenger, Glenn Close, Jeff Goldblum, William Hurt","56,400,000","Comedy, Drama",True,Nominated for 3 Oscars. Another 3 wins & 5 nominations.,The Big Chill
56fb91c071a0650358ae54ff,Irvin Kershner,PG,"47,399","UK, USA, West Germany",tt0086006,N/A,6.2,"Kevin McClory (based on an original story by, Jack Whittingham (based on an original story by, Ian Fleming (based on an original story by, Lorenzo Semple Jr. (screenplay)",07 Oct 1983,http://ia.media-imdb.com/images/M/MV5BMTM1NjgzMDkwOF5BMl5BanBnXkFtZTcwMzM4NzI0NA@@._V1_SX300.jpg,134 min,movie,"English, French, Spanish, Arabic","Sean Connery, Klaus Maria Brandauer, Max von Sydow, Barbara Carrera","55,500,000","Action, Adventure, Thriller",True,Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,Never Say Never Again
56fb91c071a0650358ae5500,Joe Alves,PG,"27,092",USA,tt0085750,N/A,3.5,Peter Benchley (suggested by the novel \,22 Jul 1983,http://ia.media-imdb.com/images/M/MV5BMjEzMDEzODU4M15BMl5BanBnXkFtZTYwMDQ5Njg5._V1_SX300.jpg,99 min,movie,English,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr.","42,200,000",Horror,True,5 nominations.,Jaws 3-D
56fb91c071a0650358ae5501,John Badham,R,"12,083",USA,tt0085255,N/A,6.3,"Dan O'Bannon, Don Jakoby",13 May 1983,http://ia.media-imdb.com/images/M/MV5BMjY5NTMwMzQ4NF5BMl5BanBnXkFtZTYwMDMxMjI5._V1_SX300.jpg,109 min,movie,English,"Roy Scheider, Warren Oates, Candy Clark, Daniel Stern","42,300,000","Action, Crime, Drama",True,Nominated for 1 Oscar. Another 1 win & 2 nominations.,Blue Thunder
56fb91c071a0650358ae5502,Barbra Streisand,PG,"9,215","UK, USA",tt0086619,N/A,6.6,"Jack Rosenthal (screenplay, Barbra Streisand (screenplay, Isaac Bashevis Singer (story)",06 Jan 1984,http://ia.media-imdb.com/images/M/MV5BMTM0MzQ3NTU2MV5BMl5BanBnXkFtZTcwNjYxMzk3NA@@._V1_SX300.jpg,132 min,movie,English,"Barbra Streisand, Mandy Patinkin, Amy Irving, Nehemiah Persoff","30,400,000","Drama, Musical, Romance",True,Won 1 Oscar. Another 5 wins & 14 nominations.,Yentl
56fb91c071a0650358ae5503,Mike Nichols,R,"13,505",USA,tt0086312,64,7.2,"Nora Ephron, Alice Arlen",27 Jan 1984,http://ia.media-imdb.com/images/M/MV5BMjA2NjAwNjc1NF5BMl5BanBnXkFtZTYwNTY3NDI5._V1_SX300.jpg,131 min,movie,English,"Meryl Streep, Kurt Russell, Cher, Craig T. Nelson","35,600,000","Biography, Drama, History",True,Nominated for 5 Oscars. Another 2 wins & 13 nominations.,Silkwood
56fb91c071a0650358ae5504,Richard Franklin,R,"16,390",USA,tt0086154,N/A,6.4,"Tom Holland, Robert Bloch (characters)",03 Jun 1983,http://ia.media-imdb.com/images/M/MV5BMTI0MjYzOTk4NV5BMl5BanBnXkFtZTcwNzc0Nzg0MQ@@._V1_SX300.jpg,113 min,movie,English,"Anthony Perkins, Vera Miles, Meg Tilly, Robert Loggia","32,000,000","Crime, Horror, Mystery",True,2 nominations.,Psycho II
56fb91c071a0650358ae5505,Bob Clark,R,"8,389","Canada, USA",tt0086129,N/A,4.9,"Roger Swaybill, Alan Ormsby, Bob Clark",24 Jun 1983,http://ia.media-imdb.com/images/M/MV5BMTI4MDgyNTIyMF5BMl5BanBnXkFtZTcwMzg1MjAyMQ@@._V1_SX300.jpg,98 min,movie,English,"Dan Monahan, Wyatt Knight, Mark Herrier, Roger Wilson",,Comedy,True,1 nomination.,Porky's II: The Next Day
56fb91c071a0650358ae5506,Ted Kotcheff,R,"6,814",USA,tt0086508,38,6.4,Joe Gayton,16 Dec 1983,http://ia.media-imdb.com/images/M/MV5BMTQ4MTYxMzI2Ml5BMl5BanBnXkFtZTcwMTA1NjUxMQ@@._V1_SX300.jpg,105 min,movie,English,"Gene Hackman, Robert Stack, Fred Ward, Reb Brown",,"Action, Drama, Thriller",True,N/A,Uncommon Valor
56fb91c071a0650358ae5507,Carroll Ballard,PG,"6,092",USA,tt0086005,N/A,7.6,"Farley Mowat (based on the book by, Curtis Hanson (screenplay, Sam Hamm (screenplay, Richard Kletter (screenplay, Charles Martin Smith (narration written by, Eugene Corr (narration written by, Christina Luescher (narration written by)",27 Jan 1984,http://ia.media-imdb.com/images/M/MV5BMTkxMTA5NjEyOF5BMl5BanBnXkFtZTcwOTU3NTYyMQ@@._V1_SX300.jpg,105 min,movie,"English, Inuktitut","Charles Martin Smith, Brian Dennehy, Zachary Ittimangnaq, Samson Jorah",,"Adventure, Drama",True,Nominated for 1 Oscar. Another 4 wins & 2 nominations.,Never Cry Wolf
56fb91c071a0650358ae5508,"Joe Dante, John Landis, George Miller, Steven Spielberg",PG,"24,852",USA,tt0086491,38,6.5,"Rod Serling (television series The Twilight Zone, John Landis (prologue, John Landis (segment, George Clayton Johnson (screenplay, Richard Matheson (segment, Melissa Mathison (segment, Jerome Bixby (story, Richard Matheson (segment, Richard Matheson (short story \",24 Jun 1983,http://ia.media-imdb.com/images/M/MV5BMTk5NjE2NTU2Nl5BMl5BanBnXkFtZTYwNzQ5OTQ5._V1_SX300.jpg,101 min,movie,"English, French, German, Vietnamese","Dan Aykroyd, Albert Brooks, Vic Morrow, Doug McGrath","29,500,000","Horror, Sci-Fi",True,1 win & 8 nominations.,Twilight Zone: The Movie
56fb91c071a0650358ae5509,James Signorelli,R,"5,592",USA,tt0085470,N/A,6.3,"Rodney Dangerfield, Michael Endler, P.J. O'Rourke, Dennis Blair",19 Aug 1983,http://ia.media-imdb.com/images/M/MV5BMjA5MDE0MjE5Ml5BMl5BanBnXkFtZTcwMjY3NjYzNA@@._V1_SX300.jpg,95 min,movie,English,"Rodney Dangerfield, Joe Pesci, Geraldine Fitzgerald, Candice Azzara",,Comedy,True,N/A,Easy Money
56fb91c071a0650358ae550a,Brian G. Hutton,PG,"3,725","USA, Yugoslavia, Hong Kong",tt0085678,N/A,6.0,"Jon Cleary (novel, Sandra Weintraub (screenplay, S. Lee Pogostin (screenplay)",18 Mar 1983,http://ia.media-imdb.com/images/M/MV5BMTQ1MzMyNjMwN15BMl5BanBnXkFtZTcwNzA3OTM0MQ@@._V1_SX300.jpg,105 min,movie,"English, German","Tom Selleck, Bess Armstrong, Jack Weston, Wilford Brimley","28,400,000","Adventure, Drama, Romance",True,2 nominations.,High Road to China
56fb91c071a0650358ae550b,Francis Ford Coppola,PG-13,"55,889","USA, France",tt0086066,38,7.2,"Kathleen Rowell (screenplay, S.E. Hinton (novel)",25 Mar 1983,"http://ia.media-imdb.com/images/M/MV5BMTcxMDQ0OTM3OV5BMl5BanBnXkFtZTYwNTkxODI5._V1._CR24,22,273,428_SX89_AL_.jpg_V1_SX300.jpg",91 min,movie,English,"C. Thomas Howell, Matt Dillon, Ralph Macchio, Patrick Swayze","25,600,000","Crime, Drama",True,1 win & 3 nominations.,The Outsiders
56fb91c071a0650358ae550c,Sean S. Cunningham,R,"1,633",USA,tt0086352,N/A,4.7,David Smilow,25 Mar 1983,http://ia.media-imdb.com/images/M/MV5BMTI3NzI2MDkyN15BMl5BanBnXkFtZTcwODE4NjkxMQ@@._V1_SX300.jpg,102 min,movie,English,"David Knell, Perry Lang, Paul Land, Steve Bassett",,"Comedy, Romance",True,N/A,Spring Break
56fb91c071a0650358ae550d,John Herzfeld,PG,"3,008",USA,tt0086494,5,4.6,John Herzfeld,16 Dec 1983,http://ia.media-imdb.com/images/M/MV5BNjAxMTc5ODU5OV5BMl5BanBnXkFtZTcwNDE0OTUyMQ@@._V1_SX300.jpg,88 min,movie,English,"John Travolta, Olivia Newton-John, Charles Durning, Oliver Reed",,"Comedy, Fantasy, Romance",True,6 nominations.,Two of a Kind
56fb91c071a0650358ae550e,George Bowers,R,"2,146",USA,tt0085980,N/A,5.1,Joe Roberts,22 Apr 1983,http://ia.media-imdb.com/images/M/MV5BMTgwOTYzMDE2OF5BMl5BanBnXkFtZTcwODI0NzMzMQ@@._V1_SX300.jpg,97 min,movie,English,"Caren Kaye, Matt Lattanzi, Kevin McCarthy, Clark Brandon","22,587,000",Comedy,True,N/A,My Tutor
56fb91c071a0650358ae550f,Lewis John Carlino,R,"7,241",USA,tt0085346,N/A,5.9,"Jim Kouf, David Greenwalt",22 Jul 1983,http://ia.media-imdb.com/images/M/MV5BMTcwOTAxNTgyOV5BMl5BanBnXkFtZTcwMTY2NjEzNA@@._V1_SX300.jpg,98 min,movie,English,"Jacqueline Bisset, Rob Lowe, Andrew McCarthy, Cliff Robertson",,"Comedy, Drama, Romance",True,N/A,Class
56fb91c071a0650358ae5510,Philip Kaufman,PG,"44,030",USA,tt0086197,N/A,7.9,"Tom Wolfe (book, Philip Kaufman (screenplay)",17 Feb 1984,http://ia.media-imdb.com/images/M/MV5BMTgxMzE2ODQxM15BMl5BanBnXkFtZTYwNDUwNzk5._V1_SX300.jpg,193 min,movie,"English, Russian","Sam Shepard, Scott Glenn, Ed Harris, Dennis Quaid","21,500,000","Adventure, Drama, History",True,Won 4 Oscars. Another 7 wins & 15 nominations.,The Right Stuff
56fb91c071a0650358ae5511,Lewis Teague,R,"25,648",USA,tt0085382,N/A,6.0,"Stephen King (novel, Don Carlos Dunaway, Lauren Currier",12 Aug 1983,http://ia.media-imdb.com/images/M/MV5BMjI2MDU1MTk5NV5BMl5BanBnXkFtZTgwODA2MDE3MTE@._V1_SX300.jpg,93 min,movie,English,"Dee Wallace, Danny Pintauro, Daniel Hugh Kelly, Christopher Stone","21,200,000","Horror, Thriller",True,1 win & 3 nominations.,Cujo
56fb91c071a0650358ae5512,John Carpenter,R,"48,362",USA,tt0085333,N/A,6.6,"Stephen King (novel, Bill Phillips (screenplay)",09 Dec 1983,http://ia.media-imdb.com/images/M/MV5BNDA0NDkzNzc3Nl5BMl5BanBnXkFtZTYwODk5OTI5._V1_SX300.jpg,110 min,movie,English,"Keith Gordon, John Stockwell, Alexandra Paul, Robert Prosky","21,200,000","Action, Drama, Horror",True,2 nominations.,Christine
