_id,Response,Actors,imdbID,Box_office,Director,Writer,Awards,Title,Rated,imdbVotes,imdbRating,Type,Genre,Released,Poster,Runtime,Metascore,Language,Country
56fb965e71a0650fe43395e9,True,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher",tt0086960,"234,760,500",Martin Brest,"Daniel Petrie Jr. (screenplay, Danilo Bach (story, Daniel Petrie Jr. (story)",Nominated for 1 Oscar. Another 3 wins & 4 nominations.,Beverly Hills Cop,R,"122,254",7.3,movie,"Action, Comedy, Crime",05 Dec 1984,http://ia.media-imdb.com/images/M/MV5BNzMyMjQ2OTEwOF5BMl5BanBnXkFtZTgwNzc2OTkwMDE@._V1_SX300.jpg,105 min,64,English,USA
56fb965e71a0650fe43395ea,True,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",tt0087332,"229,242,989",Ivan Reitman,"Dan Aykroyd, Harold Ramis",Nominated for 2 Oscars. Another 5 wins & 6 nominations.,Ghostbusters,PG,"252,631",7.8,movie,"Adventure, Comedy, Fantasy",08 Jun 1984,http://ia.media-imdb.com/images/M/MV5BMTkxMjYyNzgwMl5BMl5BanBnXkFtZTgwMTE3MjYyMTE@._V1_SX300.jpg,105 min,67,English,USA
56fb965e71a0650fe43395eb,True,"Harrison Ford, Kate Capshaw, Jonathan Ke Quan, Amrish Puri",tt0087469,"179,870,271",Steven Spielberg,"Willard Huyck (screenplay, Gloria Katz (screenplay, George Lucas (story)",Won 1 Oscar. Another 6 wins & 20 nominations.,Indiana Jones and the Temple of Doom,PG,"315,789",7.6,movie,"Action, Adventure",23 May 1984,http://ia.media-imdb.com/images/M/MV5BMTMyNzI4OTA5OV5BMl5BanBnXkFtZTcwMDQ2MjAxNA@@._V1_SX300.jpg,118 min,57,"English, Sinhalese",USA
56fb965e71a0650fe43395ec,True,"Hoyt Axton, John Louie, Keye Luke, Don Steele",tt0087363,"148,170,000",Joe Dante,Chris Columbus,7 wins & 6 nominations.,Gremlins,PG,"135,208",7.2,movie,"Comedy, Fantasy, Horror",08 Jun 1984,http://ia.media-imdb.com/images/M/MV5BMTU4Njk2MzU4Ml5BMl5BanBnXkFtZTYwNjE1MTg4._V1_SX300.jpg,106 min,N/A,"English, Spanish",USA
56fb965e71a0650fe43395ed,True,"Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove",tt0087538,"90,800,000",John G. Avildsen,Robert Mark Kamen,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,The Karate Kid,PG,"121,433",7.2,movie,"Action, Drama, Family",22 Jun 1984,http://ia.media-imdb.com/images/M/MV5BMTkyNjE3MjM2MV5BMl5BanBnXkFtZTYwMzY5ODk4._V1_SX300.jpg,126 min,N/A,"English, Japanese",USA
56fb965e71a0650fe43395ee,True,"Steve Guttenberg, Kim Cattrall, G.W. Bailey, Bubba Smith",tt0087928,"81,200,000",Hugh Wilson,"Neal Israel (screenplay, Pat Proft (screenplay, Hugh Wilson (screenplay, Neal Israel (story, Pat Proft (story)",1 win.,Police Academy,R,"84,855",6.6,movie,Comedy,23 Mar 1984,http://ia.media-imdb.com/images/M/MV5BMTQ3NTU4NzY5Ml5BMl5BanBnXkFtZTcwNDk0ODUyMQ@@._V1_SX300.jpg,96 min,41,English,USA
56fb965e71a0650fe43395ef,True,"Kevin Bacon, Lori Singer, John Lithgow, Dianne Wiest",tt0087277,"80,000,000",Herbert Ross,Dean Pitchford,Nominated for 2 Oscars. Another 1 win & 4 nominations.,Footloose,PG,"49,370",6.5,movie,"Drama, Music, Romance",17 Feb 1984,http://ia.media-imdb.com/images/M/MV5BMTYwMzgzNDAzM15BMl5BanBnXkFtZTYwODY0NjU5._V1_SX300.jpg,107 min,N/A,English,USA
56fb965e71a0650fe43395f0,True,"Michael Douglas, Kathleen Turner, Danny DeVito, Zack Norman",tt0088011,"74,900,000",Robert Zemeckis,Diane Thomas,Nominated for 1 Oscar. Another 5 wins & 3 nominations.,Romancing the Stone,PG,"62,221",6.9,movie,"Action, Adventure, Comedy",30 Mar 1984,http://ia.media-imdb.com/images/M/MV5BMjEyMTYyNjcwMV5BMl5BanBnXkFtZTcwOTEyNjQzMQ@@._V1_SX300.jpg,106 min,N/A,"English, Spanish, French","USA, Mexico"
56fb965e71a0650fe43395f1,True,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",tt0088170,"76,400,000",Leonard Nimoy,"Gene Roddenberry (television series Star Trek, Harve Bennett",7 nominations.,Star Trek III: The Search for Spock,PG,"56,546",6.6,movie,"Action, Adventure, Sci-Fi",01 Jun 1984,http://ia.media-imdb.com/images/M/MV5BMTc5NDY1OTU0Ml5BMl5BanBnXkFtZTcwNDIwNDI4OA@@._V1_SX300.jpg,105 min,55,"English, Klingon, Russian, French",USA
56fb965e71a0650fe43395f2,True,"Tom Hanks, Daryl Hannah, Eugene Levy, John Candy",tt0088161,"69,800,000",Ron Howard,"Brian Grazer (story, Bruce Jay Friedman (screen story, Lowell Ganz (screenplay, Babaloo Mandel (screenplay, Bruce Jay Friedman (screenplay)",Nominated for 1 Oscar. Another 2 wins & 8 nominations.,Splash,PG,"52,992",6.2,movie,"Comedy, Fantasy, Romance",09 Mar 1984,http://ia.media-imdb.com/images/M/MV5BMTgyNjg0NzI4NF5BMl5BanBnXkFtZTcwMzE5OTQyMQ@@._V1_SX300.jpg,111 min,N/A,"English, Swedish",USA
