_id,imdbVotes,Type,Response,Language,Title,Box_office,Country,Rated,Runtime,imdbRating,Metascore,Actors,imdbID,Writer,Released,Director,Genre,Poster,Awards
56fb997a71a06517682a2c60,"699,256",movie,True,English,Back to the Future,,USA,PG,116 min,8.5,86,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover",tt0088763,"Robert Zemeckis, Bob Gale",03 Jul 1985,Robert Zemeckis,"Adventure, Comedy, Sci-Fi",http://ia.media-imdb.com/images/M/MV5BMjA5NTYzMDMyM15BMl5BanBnXkFtZTgwNjU3NDU2MTE@._V1_SX300.jpg,Won 1 Oscar. Another 18 wins & 25 nominations.
56fb997a71a06517682a2c61,"113,741",movie,True,"English, Vietnamese",Rambo: First Blood Part II,"150,415,432",USA,R,96 min,6.4,N/A,"Sylvester Stallone, Richard Crenna, Charles Napier, Steven Berkoff",tt0089880,"David Morrell (characters, Kevin Jarre (story, Sylvester Stallone (screenplay, James Cameron (screenplay)",22 May 1985,George P. Cosmatos,"Action, Adventure, Thriller",http://ia.media-imdb.com/images/M/MV5BMTc5NTAxNjE4Nl5BMl5BanBnXkFtZTcwOTg2MDcyMQ@@._V1_SX300.jpg,Nominated for 1 Oscar. Another 5 wins & 4 nominations.
56fb997a71a06517682a2c62,"128,728",movie,True,"English, Russian",Rocky IV,"127,900,000",USA,PG,91 min,6.7,42,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",tt0089927,Sylvester Stallone,27 Nov 1985,Sylvester Stallone,"Drama, Sport",http://ia.media-imdb.com/images/M/MV5BMTg3ODk5ODE0NV5BMl5BanBnXkFtZTcwNDkzODM1NA@@._V1_SX300.jpg,9 wins & 5 nominations.
56fb997a71a06517682a2c63,"59,267",movie,True,English,The Color Purple,"94,175,854",USA,PG-13,154 min,7.8,N/A,"Danny Glover, Whoopi Goldberg, Margaret Avery, Oprah Winfrey",tt0088939,"Alice Walker (novel, Menno Meyjes (screenplay)",07 Feb 1986,Steven Spielberg,Drama,http://ia.media-imdb.com/images/M/MV5BMTUzOTkxNjY4M15BMl5BanBnXkFtZTgwNjE5MDgxMTE@._V1_SX300.jpg,Nominated for 11 Oscars. Another 13 wins & 13 nominations.
56fb997a71a06517682a2c64,"50,396",movie,True,"English, Swahili",Out of Africa,"87,100,000","USA, UK",PG,161 min,7.2,N/A,"Meryl Streep, Robert Redford, Klaus Maria Brandauer, Michael Kitchen",tt0089755,Karen Blixen (based upon: \,20 Dec 1985,Sydney Pollack,"Biography, Drama, Romance",http://ia.media-imdb.com/images/M/MV5BNjg0ODYyMjk0MV5BMl5BanBnXkFtZTgwNzc2OTgzMTE@._V1_SX300.jpg,Won 7 Oscars. Another 22 wins & 28 nominations.
56fb997a71a06517682a2c65,"43,583",movie,True,English,Cocoon,"76,100,000",USA,PG-13,117 min,6.6,N/A,"Don Ameche, Wilford Brimley, Hume Cronyn, Brian Dennehy",tt0088933,"Tom Benedek (screenplay, David Saperstein (story)",21 Jun 1985,Ron Howard,Sci-Fi,http://ia.media-imdb.com/images/M/MV5BMTc5MjAzMDYxM15BMl5BanBnXkFtZTcwMjE0OTUyMQ@@._V1_SX300.jpg,Won 2 Oscars. Another 3 wins & 11 nominations.
56fb997a71a06517682a2c66,"38,412",movie,True,"English, Arabic",The Jewel of the Nile,"65,600,000",USA,PG,106 min,6.1,N/A,"Michael Douglas, Kathleen Turner, Danny DeVito, Spiros Focás",tt0089370,"Mark Rosenthal, Lawrence Konner, Diane Thomas (characters)",11 Dec 1985,Lewis Teague,"Action, Adventure, Comedy",http://ia.media-imdb.com/images/M/MV5BMTkwNTEyMDE5NV5BMl5BanBnXkFtZTYwNTAyMTU5._V1_SX300.jpg,N/A
56fb997a71a06517682a2c67,"64,910",movie,True,"English, German",Witness,"65,500,000",USA,R,112 min,7.4,76,"Harrison Ford, Kelly McGillis, Josef Sommer, Lukas Haas",tt0090329,"William Kelley (story, Pamela Wallace (story, Earl W. Wallace (story, Earl W. Wallace (screenplay, William Kelley (screenplay)",08 Feb 1985,Peter Weir,"Crime, Drama, Romance",http://ia.media-imdb.com/images/M/MV5BMjE4ODQ2MTI3MV5BMl5BanBnXkFtZTcwMzk1ODAwMQ@@._V1_SX300.jpg,Won 2 Oscars. Another 10 wins & 26 nominations.
56fb997a71a06517682a2c68,"172,016",movie,True,"English, Spanish, Cantonese, Italian",The Goonies,"61,400,000",USA,PG,114 min,7.8,60,"Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman",tt0089218,"Steven Spielberg (story, Chris Columbus (screenplay)",07 Jun 1985,Richard Donner,"Adventure, Comedy, Family",http://ia.media-imdb.com/images/M/MV5BMTEyMzM3NDQyMjJeQTJeQWpwZ15BbWU4MDE4ODY0NjEx._V1_SX300.jpg,2 wins & 6 nominations.
56fb997a71a06517682a2c69,"33,535",movie,True,"English, Russian",Spies Like Us,"60,100,000",USA,PG,102 min,6.4,N/A,"Chevy Chase, Dan Aykroyd, Steve Forrest, Donna Dixon",tt0090056,"Dan Aykroyd (story, Dave Thomas (story, Dan Aykroyd (screenplay, Lowell Ganz (screenplay, Babaloo Mandel (screenplay)",06 Dec 1985,John Landis,"Adventure, Comedy",http://ia.media-imdb.com/images/M/MV5BMTc1MDQ5MTA1OV5BMl5BanBnXkFtZTgwMzE2MzQxMDE@._V1_SX300.jpg,N/A
56fb997a71a06517682a2c6a,"37,365",movie,True,English,Police Academy 2: Their First Assignment,"55,500,000",USA,PG-13,87 min,5.6,N/A,"Steve Guttenberg, Bubba Smith, David Graf, Michael Winslow",tt0089822,"Neal Israel (characters created by, Pat Proft (characters created by, Barry W. Blaustein, David Sheffield",29 Mar 1985,Jerry Paris,Comedy,http://ia.media-imdb.com/images/M/MV5BMTc5NDQ4OTM0Ml5BMl5BanBnXkFtZTYwMDA2MjQ5._V1_SX300.jpg,1 win.
