_id,Type,Response,imdbRating,Director,Poster,Metascore,Runtime,imdbID,Writer,imdbVotes,Box_office,Rated,Country,Title,Awards,Actors,Released,Language,Genre
56fb9e7b71a0651ba0065774,movie,True,6.9,Tony Scott,http://ia.media-imdb.com/images/M/MV5BMTY3ODg4OTU3Nl5BMl5BanBnXkFtZTYwMjI1Nzg4._V1_SX300.jpg,N/A,110 min,tt0092099,"Jim Cash, Jack Epps Jr., Ehud Yonay (magazine article \","213,242","176,781,728",PG,USA,Top Gun,Won 1 Oscar. Another 9 wins & 5 nominations.,"Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards",16 May 1986,English,"Action, Drama, Romance"
56fb9e7b71a0651ba0065775,movie,True,6.5,Peter Faiman,http://ia.media-imdb.com/images/M/MV5BMTg0MTU1MTg4NF5BMl5BanBnXkFtZTgwMDgzNzYxMTE@._V1_SX300.jpg,N/A,97 min,tt0090555,"John Cornell (screenplay, Paul Hogan (screenplay, Paul Hogan (story, Ken Shadie (screenplay)","73,138","174,635,000",PG,Australia,Crocodile Dundee,Nominated for 1 Oscar. Another 3 wins & 7 nominations.,"Paul Hogan, Linda Kozlowski, John Meillon, David Gulpilil",26 Sep 1986,English,"Adventure, Comedy"
56fb9e7b71a0651ba0065776,movie,True,8.1,Oliver Stone,http://ia.media-imdb.com/images/M/MV5BNTU3NzY4ODY5MF5BMl5BanBnXkFtZTcwOTkzNzE1NA@@._V1_SX300.jpg,N/A,120 min,tt0091763,Oliver Stone,"282,100","137,963,328",R,"UK, USA",Platoon,Won 4 Oscars. Another 19 wins & 14 nominations.,"Tom Berenger, Keith David, Willem Dafoe, Forest Whitaker",06 Feb 1987,"English, Vietnamese","Drama, War"
56fb9e7b71a0651ba0065777,movie,True,5.9,John G. Avildsen,http://ia.media-imdb.com/images/M/MV5BMTg3ODc2Nzc3M15BMl5BanBnXkFtZTYwMDMzNzc5._V1_SX300.jpg,N/A,113 min,tt0091326,"Robert Mark Kamen, Robert Mark Kamen (characters created by)","50,034","115,103,979",PG,USA,"The Karate Kid, Part II",Nominated for 1 Oscar. Another 4 wins & 2 nominations.,"Pat Morita, Ralph Macchio, Pat E. Johnson, Bruce Malmuth",20 Jun 1986,English,"Action, Family, Romance"
56fb9e7b71a0651ba0065778,movie,True,7.3,Leonard Nimoy,http://ia.media-imdb.com/images/M/MV5BMjEzOTk1ODU1Ml5BMl5BanBnXkFtZTcwODEwNDI4OA@@._V1_SX300.jpg,67,119 min,tt0092007,"Gene Roddenberry (television series Star Trek, Leonard Nimoy (story, Harve Bennett (story, Steve Meerson (screenplay, Peter Krikes (screenplay, Harve Bennett (screenplay, Nicholas Meyer (screenplay)","59,221","109,713,132",PG,USA,Star Trek IV: The Voyage Home,Nominated for 4 Oscars. Another 3 wins & 13 nominations.,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",26 Nov 1986,"English, Finnish","Adventure, Comedy, Sci-Fi"
56fb9e7b71a0651ba0065779,movie,True,6.5,Alan Metter,http://ia.media-imdb.com/images/M/MV5BMTYxMTIyOTM1MF5BMl5BanBnXkFtZTcwNzQ0MTcyNA@@._V1_SX300.jpg,N/A,96 min,tt0090685,"Rodney Dangerfield (story, Greg Fields (story, Dennis Snee (story, Steven Kampmann (screenplay, William Porter (screenplay, Pj Torokvei (screenplay, Harold Ramis (screenplay)","21,024","91,258,000",PG-13,USA,Back to School,1 win & 1 nomination.,"Rodney Dangerfield, Sally Kellerman, Burt Young, Keith Gordon",13 Jun 1986,English,"Comedy, Romance, Sport"
56fb9e7b71a0651ba006577a,movie,True,8.4,James Cameron,http://ia.media-imdb.com/images/M/MV5BMTYzNzU5MzQ4OV5BMl5BanBnXkFtZTcwMDcxNDg3OA@@._V1_SX300.jpg,87,137 min,tt0090605,"James Cameron (story, David Giler (story, Walter Hill (story, Dan O'Bannon (characters, Ronald Shusett (characters, James Cameron (screenplay)","469,658","85,200,000",R,"UK, USA",Aliens,Won 2 Oscars. Another 16 wins & 22 nominations.,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser",18 Jul 1986,English,"Action, Horror, Sci-Fi"
56fb9e7b71a0651ba006577b,movie,True,5.9,Michael Ritchie,http://ia.media-imdb.com/images/M/MV5BMzY0NzI4NTAxMV5BMl5BanBnXkFtZTYwMTg2MjA5._V1_SX300.jpg,N/A,94 min,tt0091129,Dennis Feldman,"38,638","79,817,937",PG-13,USA,The Golden Child,2 nominations.,"J.L. Reate, Eddie Murphy, Charles Dance, Charlotte Lewis",12 Dec 1986,English,"Action, Adventure, Comedy"
56fb9e7b71a0651ba006577c,movie,True,6.9,"Jim Abrahams, David Zucker, Jerry Zucker",http://ia.media-imdb.com/images/M/MV5BMTk2NjAyOTc4OF5BMl5BanBnXkFtZTcwMjAzMzcyMQ@@._V1_SX300.jpg,N/A,93 min,tt0091877,"Dale Launer, O. Henry (story)","21,094","71,624,879",R,USA,Ruthless People,Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,"Danny DeVito, Bette Midler, Judge Reinhold, Helen Slater",27 Jun 1986,English,"Comedy, Crime"
56fb9e7b71a0651ba006577d,movie,True,7.9,John Hughes,http://ia.media-imdb.com/images/M/MV5BMTg2MTUxODY4NV5BMl5BanBnXkFtZTcwNzQ5NzU2OQ@@._V1_SX300.jpg,61,103 min,tt0091042,John Hughes,"233,753","70,136,369",PG-13,USA,Ferris Bueller's Day Off,Nominated for 1 Golden Globe. Another 1 win.,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones",11 Jun 1986,English,Comedy
56fb9e7b71a0651ba006577e,movie,True,6.1,Paul Mazursky,http://ia.media-imdb.com/images/M/MV5BMTIwMjM3MTI0MF5BMl5BanBnXkFtZTcwNDM1MzEyMQ@@._V1_SX300.jpg,82,103 min,tt0090966,"René Fauchois (play, Paul Mazursky (screenplay, Leon Capetanos (screenplay)","12,548","62,134,225",R,USA,Down and Out in Beverly Hills,Nominated for 2 Golden Globes. Another 1 win & 3 nominations.,"Nick Nolte, Bette Midler, Richard Dreyfuss, Little Richard",31 Jan 1986,English,Comedy
56fb9e7b71a0651ba006577f,movie,True,7.0,Martin Scorsese,http://ia.media-imdb.com/images/M/MV5BMjE3MDk5NjEyMl5BMl5BanBnXkFtZTcwMTYyMjA0Mg@@._V1_SX300.jpg,N/A,119 min,tt0090863,"Walter Tevis (novel, Richard Price (screenplay)","56,599","52,293,982",R,USA,The Color of Money,Won 1 Oscar. Another 1 win & 9 nominations.,"Paul Newman, Tom Cruise, Mary Elizabeth Mastrantonio, Helen Shaver",17 Oct 1986,"English, Spanish","Drama, Sport"
56fb9e7b71a0651ba0065780,movie,True,8.1,Rob Reiner,http://ia.media-imdb.com/images/M/MV5BNDk2MTkyMTA1OF5BMl5BanBnXkFtZTcwOTc2Njk3OA@@._V1_SX300.jpg,N/A,89 min,tt0092005,"Stephen King (novel, Raynold Gideon (screenplay, Bruce A. Evans (screenplay)","261,725","52,287,414",R,USA,Stand by Me,Nominated for 1 Oscar. Another 4 wins & 10 nominations.,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell",22 Aug 1986,English,"Adventure, Drama"
56fb9e7b71a0651ba0065781,movie,True,5.9,Ivan Reitman,http://ia.media-imdb.com/images/M/MV5BMTUxNjE2MjE3NF5BMl5BanBnXkFtZTcwODMwMjIyMQ@@._V1_SX300.jpg,N/A,116 min,tt0091396,"Ivan Reitman (story, Jim Cash (story, Jack Epps Jr. (story, Jim Cash (screenplay, Jack Epps Jr. (screenplay)","7,680","49,851,591",PG,USA,Legal Eagles,1 win.,"Robert Redford, Debra Winger, Daryl Hannah, Brian Dennehy",20 Jun 1986,English,"Comedy, Crime, Romance"
56fb9e7b71a0651ba0065782,movie,True,5.6,George P. Cosmatos,http://ia.media-imdb.com/images/M/MV5BMTE5OTU4MjkxOV5BMl5BanBnXkFtZTYwNTc1NzQ5._V1_SX300.jpg,N/A,87 min,tt0090859,"Paula Gosling (novel, Sylvester Stallone (screenplay)","48,265","49,042,224",R,USA,Cobra,6 nominations.,"Sylvester Stallone, Brigitte Nielsen, Reni Santoni, Andrew Robinson",23 May 1986,English,"Action, Crime, Thriller"
56fb9e7b71a0651ba0065783,movie,True,6.9,Don Bluth,http://ia.media-imdb.com/images/M/MV5BMTgwNDQ3NzA4MV5BMl5BanBnXkFtZTcwNDI3MjMyMQ@@._V1_SX300.jpg,N/A,80 min,tt0090633,"Judy Freudberg (screenplay, Tony Geiss (screenplay, David Kirschner (story, Judy Freudberg (story, Tony Geiss (story)","36,733","47,483,002",G,USA,An American Tail,Nominated for 1 Oscar. Another 6 wins & 6 nominations.,"Erica Yohn, Nehemiah Persoff, Amy Green, Phillip Glasser",21 Nov 1986,English,"Animation, Comedy, Drama"
56fb9e7b71a0651ba0065784,movie,True,5.2,Jerry Paris,http://ia.media-imdb.com/images/M/MV5BMTM3ODI1NzI1OF5BMl5BanBnXkFtZTYwODE5MzA5._V1_SX300.jpg,N/A,83 min,tt0091777,"Neal Israel (characters creator, Pat Proft (characters creator, Gene Quintano","31,553","43,579,163",PG,USA,Police Academy 3: Back in Training,1 win.,"Steve Guttenberg, Bubba Smith, David Graf, Michael Winslow",21 Mar 1986,English,Comedy
56fb9e7b71a0651ba0065785,movie,True,6.8,Clint Eastwood,http://ia.media-imdb.com/images/M/MV5BMTk1MzI5ODIwN15BMl5BanBnXkFtZTcwNzc2NzMyMQ@@._V1_SX300.jpg,N/A,130 min,tt0091187,James Carabatsos,"28,975","42,724,017",R,USA,Heartbreak Ridge,Nominated for 1 Oscar. Another 2 wins.,"Clint Eastwood, Marsha Mason, Everett McGill, Moses Gunn",05 Dec 1986,"English, Spanish","Action, Comedy, Drama"
56fb9e7b71a0651ba0065786,movie,True,6.3,Francis Ford Coppola,http://ia.media-imdb.com/images/M/MV5BMTYxNzI3NjUyM15BMl5BanBnXkFtZTcwOTU2MjUyMQ@@._V1_SX300.jpg,N/A,103 min,tt0091738,"Jerry Leichtling, Arlene Sarner","26,548","41,382,841",PG-13,USA,Peggy Sue Got Married,Nominated for 3 Oscars. Another 3 wins & 9 nominations.,"Kathleen Turner, Nicolas Cage, Barry Miller, Catherine Hicks",10 Oct 1986,English,"Comedy, Drama, Fantasy"
56fb9e7b71a0651ba0065787,movie,True,5.6,Brian Gibson,http://ia.media-imdb.com/images/M/MV5BNDYwODU0MTgxNl5BMl5BanBnXkFtZTcwMzkzODM1NA@@._V1_SX300.jpg,N/A,91 min,tt0091778,"Michael Grais, Mark Victor","18,712","40,996,665",PG-13,USA,Poltergeist II: The Other Side,Nominated for 1 Oscar. Another 1 win & 4 nominations.,"JoBeth Williams, Craig T. Nelson, Heather O'Rourke, Oliver Robins",23 May 1986,English,Horror
56fb9e7b71a0651ba0065788,movie,True,6.6,John Badham,http://ia.media-imdb.com/images/M/MV5BMTM3NzIwNjE4OV5BMl5BanBnXkFtZTcwNjk0MTUxMQ@@._V1_SX300.jpg,N/A,98 min,tt0091949,"S.S. Wilson, Brent Maddock","42,114","40,697,761",PG,USA,Short Circuit,1 win & 3 nominations.,"Ally Sheedy, Steve Guttenberg, Fisher Stevens, Austin Pendleton",09 May 1986,English,"Comedy, Family, Sci-Fi"
56fb9e7b71a0651ba0065789,movie,True,6.7,Howard Deutch,http://ia.media-imdb.com/images/M/MV5BMTI2OTk5NTE5NV5BMl5BanBnXkFtZTcwODA0NTQzMQ@@._V1_SX300.jpg,57,96 min,tt0091790,John Hughes,"52,332","40,471,663",PG-13,USA,Pretty in Pink,1 win.,"Molly Ringwald, Harry Dean Stanton, Jon Cryer, Annie Potts",28 Feb 1986,English,"Comedy, Drama, Romance"
56fb9e7b71a0651ba006578a,movie,True,7.5,David Cronenberg,http://ia.media-imdb.com/images/M/MV5BMTQ5OTgwOTExM15BMl5BanBnXkFtZTcwMTE4ODE5OQ@@._V1_SX300.jpg,79,96 min,tt0091064,"George Langelaan (short story, Charles Edward Pogue (screenplay, David Cronenberg (screenplay)","114,579","37,585,252",R,"USA, UK, Canada",The Fly,Won 1 Oscar. Another 5 wins & 11 nominations.,"Jeff Goldblum, Geena Davis, John Getz, Joy Boushel",15 Aug 1986,English,"Drama, Horror, Sci-Fi"
56fb9e7b71a0651ba006578b,movie,True,6.4,John Landis,http://ia.media-imdb.com/images/M/MV5BNTE5NDQ1NTMyNl5BMl5BanBnXkFtZTcwNjY5MDQ3NA@@._V1_SX300.jpg,N/A,104 min,tt0092086,"Steve Martin, Lorne Michaels, Randy Newman","52,035","39,246,734",PG,USA,¡Three Amigos!,N/A,"Steve Martin, Chevy Chase, Martin Short, Alfonso Arau",12 Dec 1986,"English, Spanish, German","Comedy, Western"
56fb9e7b71a0651ba006578c,movie,True,6.9,Frank Oz,http://ia.media-imdb.com/images/M/MV5BMjMzNDM4MjYwNF5BMl5BanBnXkFtZTgwMDE4NzkzMTE@._V1_SX300.jpg,81,94 min,tt0091419,"Howard Ashman (screenplay, Howard Ashman (musical play \","47,631","38,747,385",PG-13,USA,Little Shop of Horrors,Nominated for 2 Oscars. Another 2 wins & 11 nominations.,"Levi Stubbs, Rick Moranis, Ellen Greene, Vincent Gardenia",19 Dec 1986,English,"Comedy, Musical, Sci-Fi"
