_id,Box_office,Response,Poster,Writer,Rated,Type,Genre,Awards,imdbRating,Metascore,Country,Released,Director,imdbVotes,Language,Title,imdbID,Runtime,Actors
56fba14d71a0651d64267947,"156,645,693",True,http://ia.media-imdb.com/images/M/MV5BMTcyODA3NjcxMl5BMl5BanBnXkFtZTcwOTY1NTk3OA@@._V1_SX300.jpg,"James Dearden (screenplay, James Dearden (short film)",R,movie,"Drama, Thriller",Nominated for 6 Oscars. Another 7 wins & 16 nominations.,6.9,67,USA,18 Sep 1987,Adrian Lyne,"53,156",English,Fatal Attraction,tt0093010,119 min,"Michael Douglas, Glenn Close, Anne Archer, Ellen Latzen"
56fba14d71a0651d64267948,"153,665,036",True,http://ia.media-imdb.com/images/M/MV5BMTM3MjA5ODAzOF5BMl5BanBnXkFtZTcwMTEwOTM4OA@@._V1_SX300.jpg,"Danilo Bach (characters, Daniel Petrie Jr. (characters, Eddie Murphy (story, Robert D. Wachs (story, Larry Ferguson (screenplay, Warren Skaaren (screenplay)",R,movie,"Action, Comedy, Crime",Nominated for 1 Oscar. Another 6 wins & 1 nomination.,6.4,48,USA,20 May 1987,Tony Scott,"82,316",English,Beverly Hills Cop II,tt0092644,100 min,"Eddie Murphy, Judge Reinhold, Jürgen Prochnow, Ronny Cox"
56fba14d71a0651d64267949,"123,922,370",True,http://ia.media-imdb.com/images/M/MV5BMTQwMDExNzk4MV5BMl5BanBnXkFtZTgwODc3NjIyMDE@._V1_SX300.jpg,Mitch Markowitz,R,movie,"Biography, Comedy, Drama",Nominated for 1 Oscar. Another 7 wins & 3 nominations.,7.3,N/A,USA,15 Jan 1988,Barry Levinson,"95,002",English,"Good Morning, Vietnam",tt0093105,121 min,"Robin Williams, Forest Whitaker, Tung Thanh Tran, Chintara Sukapatana"
56fba14d71a0651d6426794a,"80,640,528",True,http://ia.media-imdb.com/images/M/MV5BMjIwMDY0NzYyMF5BMl5BanBnXkFtZTcwOTE5NDk0NA@@._V1_SX300.jpg,John Patrick Shanley,PG,movie,"Comedy, Drama, Romance",Won 3 Oscars. Another 15 wins & 18 nominations.,7.1,83,USA,15 Jan 1988,Norman Jewison,"34,558","English, Italian",Moonstruck,tt0093565,102 min,"Cher, Nicolas Cage, Vincent Gardenia, Olympia Dukakis"
56fba14d71a0651d6426794b,"76,270,454",True,http://ia.media-imdb.com/images/M/MV5BMTc1MzY0MTcyMV5BMl5BanBnXkFtZTcwMzE3Njk3OA@@._V1_SX300.jpg,"Oscar Fraley (suggested by book, Eliot Ness (suggested by book, David Mamet",R,movie,"Crime, Drama, Thriller",Won 1 Oscar. Another 10 wins & 15 nominations.,8.0,79,USA,03 Jun 1987,Brian De Palma,"213,277",English,The Untouchables,tt0094226,119 min,"Kevin Costner, Sean Connery, Charles Martin Smith, Andy Garcia"
56fba14d71a0651d6426794c,"65,673,233",True,http://ia.media-imdb.com/images/M/MV5BMTIwOTUzMDAwOF5BMl5BanBnXkFtZTcwNDc0NDAyMQ@@._V1_SX300.jpg,Jim Kouf,R,movie,"Comedy, Thriller",2 wins.,6.6,N/A,USA,05 Aug 1987,John Badham,"18,431",English,Stakeout,tt0094025,117 min,"Richard Dreyfuss, Emilio Estevez, Madeleine Stowe, Aidan Quinn"
56fba14d71a0651d6426794d,"65,207,127",True,http://ia.media-imdb.com/images/M/MV5BMTU1MDMzOTcxNV5BMl5BanBnXkFtZTcwNDY5NjQyMQ@@._V1_SX300.jpg,Shane Black,R,movie,"Action, Crime, Thriller",Nominated for 1 Oscar. Another 5 wins & 1 nomination.,7.6,67,USA,06 Mar 1987,Richard Donner,"185,494",English,Lethal Weapon,tt0093409,110 min,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan"
56fba14d71a0651d6426794e,"63,766,510",True,http://ia.media-imdb.com/images/M/MV5BMTI5MTgxMzIzMl5BMl5BanBnXkFtZTcwNDA5MTYyMQ@@._V1_SX300.jpg,"John Updike (novel, Michael Cristofer",R,movie,"Comedy, Fantasy, Horror",Nominated for 2 Oscars. Another 5 wins & 10 nominations.,6.5,68,USA,12 Jun 1987,George Miller,"46,322",English,The Witches of Eastwick,tt0094332,118 min,"Jack Nicholson, Cher, Susan Sarandon, Michelle Pfeiffer"
56fba14d71a0651d6426794f,"63,892,689",True,http://ia.media-imdb.com/images/M/MV5BMTc3MDY3ODQ2OV5BMl5BanBnXkFtZTgwOTQ2NTYxMTE@._V1_SX300.jpg,Eleanor Bergstein,PG-13,movie,"Drama, Music, Romance",Won 1 Oscar. Another 12 wins & 6 nominations.,6.9,65,USA,21 Aug 1987,Emile Ardolino,"136,336",English,Dirty Dancing,tt0092890,100 min,"Jennifer Grey, Patrick Swayze, Jerry Orbach, Cynthia Rhodes"
56fba14d71a0651d64267950,"59,735,548",True,"http://ia.media-imdb.com/images/M/MV5BMTI2ODMzODA0Ml5BMl5BanBnXkFtZTYwNTM3NzY5._V1._CR17,27,308,447_SY132_CR1,0,89,132_AL_.jpg_V1_SX300.jpg","Jim Thomas, John Thomas",R,movie,"Action, Horror, Sci-Fi",Nominated for 1 Oscar. Another 3 wins & 4 nominations.,7.8,36,USA,12 Jun 1987,John McTiernan,"281,370","English, Spanish",Predator,tt0093773,107 min,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke"
56fba14d71a0651d64267951,"57,915,972",True,http://ia.media-imdb.com/images/M/MV5BMTIzNzQ3MDU4OV5BMl5BanBnXkFtZTcwNjY0ODYzMQ@@._V1_SX300.jpg,Stu Silver,PG-13,movie,"Comedy, Crime, Thriller",Nominated for 1 Oscar. Another 2 wins & 3 nominations.,6.2,N/A,USA,11 Dec 1987,Danny DeVito,"26,541",English,Throw Momma from the Train,tt0094142,88 min,"Danny DeVito, Billy Crystal, Kim Greist, Anne Ramsey"
56fba14d71a0651d64267952,"57,387,516",True,http://ia.media-imdb.com/images/M/MV5BMTUyOTMzNjk0M15BMl5BanBnXkFtZTcwNzc5MjUyMQ@@._V1_SX300.jpg,"Dan Aykroyd, Alan Zweibel, Tom Mankiewicz",PG-13,movie,"Comedy, Crime",N/A,5.9,N/A,USA,26 Jun 1987,Tom Mankiewicz,"24,986",English,Dragnet,tt0092925,106 min,"Dan Aykroyd, Tom Hanks, Christopher Plummer, Harry Morgan"
56fba14d71a0651d64267953,"54,215,416",True,http://ia.media-imdb.com/images/M/MV5BMTk4NTk0NTMyNV5BMl5BanBnXkFtZTcwMTc1NzgxMQ@@._V1_SX300.jpg,Luis Valdez,PG-13,movie,"Biography, Drama, Music",Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,6.8,N/A,USA,24 Jul 1987,Luis Valdez,"20,755",English,La Bamba,tt0093378,108 min,"Lou Diamond Phillips, Esai Morales, Rosanna DeSoto, Elizabeth Peña"
56fba14d71a0651d64267954,"53,424,681",True,http://ia.media-imdb.com/images/M/MV5BMTk1MDUzMTQ3OV5BMl5BanBnXkFtZTcwMDAwNTk0NA@@._V1_SX300.jpg,"Edward Neumeier, Michael Miner",R,movie,"Action, Crime, Sci-Fi",Nominated for 2 Oscars. Another 11 wins & 10 nominations.,7.5,67,USA,17 Jul 1987,Paul Verhoeven,"174,535",English,RoboCop,tt0093870,102 min,"Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox"
56fba14d71a0651d64267955,"52,864,741",True,http://ia.media-imdb.com/images/M/MV5BMTY4Njc1OTI0Nl5BMl5BanBnXkFtZTYwMjkyODY4._V1_SX300.jpg,Leslie Dixon,R,movie,Comedy,Nominated for 1 Golden Globe. Another 2 wins.,6.0,N/A,USA,30 Jan 1987,Arthur Hiller,"5,521","English, Russian",Outrageous Fortune,tt0093690,99 min,"Shelley Long, Bette Midler, Peter Coyote, Robert Prosky"
56fba14d71a0651d64267956,"51,249,404",True,http://ia.media-imdb.com/images/M/MV5BN2E1ZmU5NDQtNjdlZC00Y2VhLTk2MWMtMmU0M2YyY2E3MTkyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,James L. Brooks,R,movie,"Comedy, Drama, Romance",Nominated for 7 Oscars. Another 13 wins & 16 nominations.,7.2,84,USA,25 Dec 1987,James L. Brooks,"20,608","English, Spanish, French, German",Broadcast News,tt0092699,133 min,"William Hurt, Albert Brooks, Holly Hunter, Robert Prosky"
56fba14d71a0651d64267957,"51,185,897",True,http://ia.media-imdb.com/images/M/MV5BOTg2MDUzNDIxMV5BMl5BanBnXkFtZTcwNjY5MDg0NA@@._V1_SX300.jpg,"Richard Maibaum (screenplay, Michael G. Wilson (screenplay)",PG,movie,"Action, Adventure, Thriller",3 wins & 4 nominations.,6.7,N/A,UK,31 Jul 1987,John Glen,"67,556","English, Arabic, French, German, Russian, Czech, Slovak, Dari, Pushto",The Living Daylights,tt0093428,130 min,"Timothy Dalton, Maryam d'Abo, Jeroen Krabbé, Joe Don Baker"
56fba14d71a0651d64267958,"50,504,655",True,http://ia.media-imdb.com/images/M/MV5BMTM0NzEwOTM3Nl5BMl5BanBnXkFtZTcwNDk5MzYyMQ@@._V1_SX300.jpg,"Eddie Murphy (stand-up material, Eddie Murphy (opening sketch, Keenen Ivory Wayans (opening sketch)",R,movie,"Documentary, Comedy",N/A,7.6,N/A,USA,18 Dec 1987,Robert Townsend,"14,736",English,Eddie Murphy: Raw,tt0092948,93 min,"Eddie Murphy, Tatyana Ali, Billie Allen, James Brown III"
