_id,imdbVotes,Poster,Metascore,Country,Director,Box_office,Released,Writer,imdbRating,Awards,Rated,Runtime,Language,Actors,Type,imdbID,Response,Title,Genre
56fbb67271a065075ca839c4,"260,641",http://ia.media-imdb.com/images/M/MV5BMTYwNjAyODIyMF5BMl5BanBnXkFtZTYwNDMwMDk2._V1_SX300.jpg,66,"USA, UK",Tim Burton,"251,188,924",23 Jun 1989,"Bob Kane (Batman characters, Sam Hamm (story, Sam Hamm (screenplay, Warren Skaaren (screenplay)",7.6,Won 1 Oscar. Another 9 wins & 22 nominations.,PG-13,126 min,"English, French","Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl",movie,tt0096895,True,Batman,"Action, Adventure"
56fbb67271a065075ca839c5,"493,679",http://ia.media-imdb.com/images/M/MV5BMTQxMTUyODg2OF5BMl5BanBnXkFtZTcwNDM2MjAxNA@@._V1_SX300.jpg,65,USA,Steven Spielberg,"197,171,806",24 May 1989,"Jeffrey Boam (screenplay, George Lucas (story, Menno Meyjes (story, George Lucas (characters, Philip Kaufman (characters)",8.3,Won 1 Oscar. Another 5 wins & 20 nominations.,PG-13,127 min,"English, German, Greek","Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody",movie,tt0097576,True,Indiana Jones and the Last Crusade,"Action, Adventure, Fantasy"
56fbb67271a065075ca839c6,"123,509",http://ia.media-imdb.com/images/M/MV5BMTQ1ODg1NTE4Nl5BMl5BanBnXkFtZTcwMzk4OTMyMQ@@._V1_SX300.jpg,70,USA,Richard Donner,"147,253,986",07 Jul 1989,"Jeffrey Boam (screenplay, Shane Black (story, Warren Murphy (story, Shane Black (characters)",7.2,Nominated for 1 Oscar. Another 1 win.,R,114 min,"English, Afrikaans","Mel Gibson, Danny Glover, Joe Pesci, Joss Ackland",movie,tt0097733,True,Lethal Weapon 2,"Action, Crime, Thriller"
56fbb67271a065075ca839c7,"61,829",http://ia.media-imdb.com/images/M/MV5BMTI3NTQ1NjY4MV5BMl5BanBnXkFtZTcwMDM2NDU2MQ@@._V1_SX300.jpg,51,USA,Amy Heckerling,"140,088,813",13 Oct 1989,Amy Heckerling,5.8,4 wins & 2 nominations.,PG-13,93 min,English,"John Travolta, Kirstie Alley, Olympia Dukakis, George Segal",movie,tt0097778,True,Look Who's Talking,"Comedy, Romance"
56fbb67271a065075ca839c8,"102,360",http://ia.media-imdb.com/images/M/MV5BMTcxMDYyOTQ3M15BMl5BanBnXkFtZTYwNjc5NzI5._V1_SX300.jpg,63,"USA, Mexico",Joe Johnston,"130,724,200",23 Jun 1989,"Stuart Gordon (story, Brian Yuzna (story, Ed Naha (story, Ed Naha (screenplay, Tom Schulman (screenplay)",6.3,Won 1 BAFTA Film Award. Another 1 win & 10 nominations.,PG,93 min,English,"Rick Moranis, Matt Frewer, Marcia Strassman, Kristine Sutherland",movie,tt0097523,True,"Honey, I Shrunk the Kids","Adventure, Comedy, Family"
56fbb67271a065075ca839c9,"324,508",http://ia.media-imdb.com/images/M/MV5BNjE5ODg4NzY1MF5BMl5BanBnXkFtZTcwMjI3MzYwMg@@._V1_SX300.jpg,57,USA,Robert Zemeckis,"118,500,000",22 Nov 1989,"Robert Zemeckis (characters, Bob Gale (characters, Robert Zemeckis (story, Bob Gale (story, Bob Gale (screenplay)",7.8,Nominated for 1 Oscar. Another 9 wins & 6 nominations.,PG,108 min,English,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson",movie,tt0096874,True,Back to the Future Part II,"Adventure, Comedy, Sci-Fi"
56fbb67271a065075ca839ca,"130,632",http://ia.media-imdb.com/images/M/MV5BMTQ2NTk4MjE5Ml5BMl5BanBnXkFtZTgwODIwNjYxMTE@._V1_SX300.jpg,56,USA,Ivan Reitman,"112,494,738",16 Jun 1989,"Dan Aykroyd (characters, Harold Ramis (characters, Harold Ramis, Dan Aykroyd",6.5,2 wins & 1 nomination.,PG,108 min,English,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",movie,tt0097428,True,Ghostbusters II,"Comedy, Fantasy, Sci-Fi"
56fbb67271a065075ca839cb,"70,122",http://ia.media-imdb.com/images/M/MV5BMTI2Njg4MDM5MF5BMl5BanBnXkFtZTYwMDk4NjM5._V1_SX300.jpg,81,USA,Bruce Beresford,"106,593,296",26 Jan 1990,"Alfred Uhry (screenplay, Alfred Uhry (play)",7.4,Won 4 Oscars. Another 17 wins & 21 nominations.,PG,99 min,"English, Hebrew","Morgan Freeman, Jessica Tandy, Dan Aykroyd, Patti LuPone",movie,tt0097239,True,Driving Miss Daisy,"Comedy, Drama"
56fbb67271a065075ca839cc,"35,011",http://ia.media-imdb.com/images/M/MV5BMTQ3OTIwNzI2OV5BMl5BanBnXkFtZTgwNjgwNTcxMTE@._V1_SX300.jpg,82,USA,Ron Howard,"100,050,000",02 Aug 1989,"Lowell Ganz (story, Babaloo Mandel (story, Ron Howard (story, Lowell Ganz (screenplay, Babaloo Mandel (screenplay)",7.0,Nominated for 2 Oscars. Another 4 wins & 10 nominations.,PG-13,124 min,English,"Steve Martin, Mary Steenburgen, Dianne Wiest, Jason Robards",movie,tt0098067,True,Parenthood,"Comedy, Drama"
56fbb67271a065075ca839cd,"267,139",http://ia.media-imdb.com/images/M/MV5BMzA5MTE0NTUwOV5BMl5BanBnXkFtZTgwOTgyMDUxMDE@._V1_SX300.jpg,79,USA,Peter Weir,"95,860,116",09 Jun 1989,Tom Schulman,8.0,Won 1 Oscar. Another 17 wins & 18 nominations.,PG,128 min,English,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles",movie,tt0097165,True,Dead Poets Society,"Comedy, Drama"
