_id,Type,Box_office,Language,imdbRating,Awards,Country,Director,Title,Writer,Runtime,Response,Metascore,Poster,Actors,imdbID,Released,Genre,Rated,imdbVotes
56fbb9b771a0651dd8f0504d,movie,"285,761,243",English,7.5,Nominated for 2 Oscars. Another 10 wins & 4 nominations.,USA,Chris Columbus,Home Alone,John Hughes,103 min,True,63,http://ia.media-imdb.com/images/M/MV5BMjA5NjA5NzE4OF5BMl5BanBnXkFtZTgwNzUxNDg4NjE@._V1_SX300.jpg,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard",tt0099785,16 Nov 1990,"Comedy, Family",PG,"299,808"
56fbb9b771a0651dd8f0504e,movie,"217,631,306",English,7.0,Won 2 Oscars. Another 16 wins & 22 nominations.,USA,Jerry Zucker,Ghost,Bruce Joel Rubin,127 min,True,52,http://ia.media-imdb.com/images/M/MV5BMTU0NzQzODUzNl5BMl5BanBnXkFtZTgwMjc5NTYxMTE@._V1_SX300.jpg,"Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn",tt0099653,13 Jul 1990,"Drama, Fantasy, Romance",PG-13,"149,831"
56fbb9b771a0651dd8f0504f,movie,"184,208,848","English, Sioux, Pawnee",8.0,Won 7 Oscars. Another 41 wins & 32 nominations.,"USA, UK",Kevin Costner,Dances with Wolves,"Michael Blake (screenplay, Michael Blake (novel)",181 min,True,72,http://ia.media-imdb.com/images/M/MV5BMTY3OTI5NDczN15BMl5BanBnXkFtZTcwNDA0NDY3Mw@@._V1_SX300.jpg,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant",tt0099348,21 Nov 1990,"Adventure, Drama, Western",PG-13,"181,206"
56fbb9b771a0651dd8f05050,movie,"178,406,268",English,6.9,Nominated for 1 Oscar. Another 8 wins & 10 nominations.,USA,Garry Marshall,Pretty Woman,J.F. Lawton,119 min,True,51,http://ia.media-imdb.com/images/M/MV5BNjk2ODQzNDYxNV5BMl5BanBnXkFtZTgwMTcyNDg4NjE@._V1_SX300.jpg,"Richard Gere, Julia Roberts, Ralph Bellamy, Jason Alexander",tt0100405,23 Mar 1990,"Comedy, Romance",R,"205,395"
56fbb9b771a0651dd8f05051,movie,"135,270,000","English, French",6.7,2 wins & 3 nominations.,"USA, Hong Kong",Steve Barron,Teenage Mutant Ninja Turtles,"Kevin Eastman (characters, Peter Laird (characters, Bobby Herbeck (story, Todd W. Langen (screenplay, Bobby Herbeck (screenplay)",93 min,True,N/A,http://ia.media-imdb.com/images/M/MV5BNzg3NTQ4NDk5NV5BMl5BanBnXkFtZTgwNzMzNDg4NjE@._V1_SX300.jpg,"Judith Hoag, Elias Koteas, Josh Pais, David Forman",tt0100758,30 Mar 1990,"Action, Adventure, Comedy",PG,"67,623"
56fbb9b771a0651dd8f05052,movie,"122,012,643","English, Russian",7.6,Won 1 Oscar. Another 2 wins & 6 nominations.,USA,John McTiernan,The Hunt for Red October,"Tom Clancy (novel, Larry Ferguson (screenplay, Donald Stewart (screenplay)",135 min,True,58,http://ia.media-imdb.com/images/M/MV5BNzk3OTE2NjQ0OV5BMl5BanBnXkFtZTgwMDg3ODYxMTE@._V1_SX300.jpg,"Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill",tt0099810,02 Mar 1990,"Action, Adventure, Thriller",PG,"139,120"
56fbb9b771a0651dd8f05053,movie,"119,412,921",English,7.5,Nominated for 2 Oscars. Another 7 wins & 13 nominations.,USA,Paul Verhoeven,Total Recall,Philip K. Dick (short story \,113 min,True,57,http://ia.media-imdb.com/images/M/MV5BMTc2MTU4ODI5MF5BMl5BanBnXkFtZTcwODI2MzAyOA@@._V1_SX300.jpg,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox",tt0100802,01 Jun 1990,"Action, Sci-Fi",R,"233,268"
56fbb9b771a0651dd8f05054,movie,"103,738,726",English,6.1,Won 3 Oscars. Another 6 wins & 30 nominations.,USA,Warren Beatty,Dick Tracy,"Chester Gould (characters, Jim Cash, Jack Epps Jr.",105 min,True,N/A,http://ia.media-imdb.com/images/M/MV5BNDc3MjAxNjk0OV5BMl5BanBnXkFtZTgwNDI0MDc3NjE@._V1_SX300.jpg,"Warren Beatty, Charlie Korsmo, Michael Donovan O'Donnell, Jim Wilkey",tt0099422,15 Jun 1990,"Action, Comedy, Crime",PG,"46,810"
56fbb9b771a0651dd8f05055,movie,"91,457,688","English, Spanish",6.0,4 wins & 1 nomination.,USA,Ivan Reitman,Kindergarten Cop,"Murray Salem (story, Murray Salem (screenplay, Herschel Weingrod (screenplay, Timothy Harris (screenplay)",111 min,True,61,http://ia.media-imdb.com/images/M/MV5BMjMyMTIyOTc0N15BMl5BanBnXkFtZTgwODY1NTk4NjE@._V1_SX300.jpg,"Arnold Schwarzenegger, Penelope Ann Miller, Pamela Reed, Linda Hunt",tt0099938,21 Dec 1990,"Action, Comedy, Crime",PG-13,"104,860"
56fbb9b771a0651dd8f05056,movie,"87,666,629",English,7.4,5 wins & 9 nominations.,USA,Robert Zemeckis,Back to the Future Part III,"Robert Zemeckis (characters, Bob Gale (characters, Robert Zemeckis (story, Bob Gale (story, Bob Gale (screenplay)",118 min,True,55,http://ia.media-imdb.com/images/M/MV5BMTk3ODgyMTgzNF5BMl5BanBnXkFtZTcwODE3MzYwMg@@._V1_SX300.jpg,"Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson",tt0099088,25 May 1990,"Comedy, Sci-Fi, Western",PG,"269,608"
