_id,imdbID,Awards,Runtime,Genre,Director,Language,imdbRating,Actors,Released,Metascore,Rated,Box_office,Title,imdbVotes,Poster,Type,Response,Country,Writer
56fbbe7571a0651cf053932c,tt0103064,Won 4 Oscars. Another 20 wins & 22 nominations.,137 min,"Action, Sci-Fi",James Cameron,"English, Spanish",8.5,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",03 Jul 1991,75,R,"204,843,350",Terminator 2: Judgment Day,"714,845","http://ia.media-imdb.com/images/M/MV5BMTI4MDAwMDY3N15BMl5BanBnXkFtZTcwODIwMzMzMQ@@._V1._CR46,1,342,473_SY132_CR3,0,89,132_AL_.jpg_V1_SX300.jpg",movie,True,"USA, France","James Cameron, William Wisher Jr."
56fbbe7571a0651cf053932d,tt0102798,Nominated for 1 Oscar. Another 15 wins & 17 nominations.,143 min,"Action, Adventure, Drama",Kevin Reynolds,English,6.9,"Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Christian Slater",14 Jun 1991,N/A,PG-13,"165,500,000",Robin Hood: Prince of Thieves,"141,835",http://ia.media-imdb.com/images/M/MV5BMTg0OTg5MjExN15BMl5BanBnXkFtZTgwMjg3OTgzMTE@._V1_SX300.jpg,movie,True,USA,"Pen Densham (story, Pen Densham (screenplay, John Watson (screenplay)"
56fbbe7571a0651cf053932e,tt0101414,Won 2 Oscars. Another 22 wins & 21 nominations.,84 min,"Animation, Family, Fantasy","Gary Trousdale, Kirk Wise","English, French",8.0,"Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury",22 Nov 1991,N/A,G,"218,967,620",Beauty and the Beast,"294,356",http://ia.media-imdb.com/images/M/MV5BMTkyMDgwODY0OV5BMl5BanBnXkFtZTgwODI5NTQ5MTE@._V1_SX300.jpg,movie,True,USA,"Linda Woolverton (animation screenplay by, Brenda Chapman (story, Chris Sanders (story, Burny Mattinson (story, Kevin Harkey (story, Brian Pimental (story, Bruce Woodside (story, Joe Ranft (story, Tom Ellery (story, Kelly Asbury (story, Robert Lence (story)"
56fbbe7571a0651cf053932f,tt0102926,Won 5 Oscars. Another 48 wins & 33 nominations.,118 min,"Crime, Drama, Thriller",Jonathan Demme,English,8.6,"Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz",14 Feb 1991,84,R,,The Silence of the Lambs,"847,200",http://ia.media-imdb.com/images/M/MV5BMTQ2NzkzMDI4OF5BMl5BanBnXkFtZTcwMDA0NzE1NA@@._V1_SX300.jpg,movie,True,USA,"Thomas Harris (novel, Ted Tally (screenplay)"
56fbbe7571a0651cf0539330,tt0101587,Won 1 Oscar. Another 7 wins & 6 nominations.,113 min,Comedy,Ron Underwood,English,6.7,"Billy Crystal, Daniel Stern, Bruno Kirby, Patricia Wettig",07 Jun 1991,N/A,PG-13,"124,033,791",City Slickers,"38,324",http://ia.media-imdb.com/images/M/MV5BMTkwNjM2MTc5NF5BMl5BanBnXkFtZTcwMzQ2NjEzNA@@._V1_SX300.jpg,movie,True,USA,"Lowell Ganz, Babaloo Mandel"
56fbbe7571a0651cf0539331,tt0102057,Nominated for 5 Oscars. Another 5 wins & 12 nominations.,142 min,"Adventure, Comedy, Family",Steven Spielberg,English,6.7,"Dustin Hoffman, Robin Williams, Julia Roberts, Bob Hoskins",11 Dec 1991,52,PG,"119,654,900",Hook,"178,137",http://ia.media-imdb.com/images/M/MV5BMTU2MzYzOTQyMF5BMl5BanBnXkFtZTcwNDM2NDU2MQ@@._V1_SX300.jpg,movie,True,USA,"J.M. Barrie (books, J.M. Barrie (play, James V. Hart (screen story, Nick Castle (screen story, James V. Hart (screenplay, Malia Scotch Marmo (screenplay)"
56fbbe7571a0651cf0539332,tt0101272,Nominated for 1 Oscar. Another 4 wins & 16 nominations.,99 min,"Comedy, Fantasy",Barry Sonnenfeld,English,6.8,"Anjelica Huston, Raul Julia, Christopher Lloyd, Dan Hedaya",22 Nov 1991,N/A,PG-13,"113,502,246",The Addams Family,"93,613",http://ia.media-imdb.com/images/M/MV5BNTczNjA4NzczMV5BMl5BanBnXkFtZTcwMTkzMTQyMQ@@._V1_SX300.jpg,movie,True,USA,"Charles Addams (characters, Caroline Thompson, Larry Wilson"
56fbbe7571a0651cf0539333,tt0102945,1 win & 4 nominations.,99 min,"Crime, Drama, Thriller",Joseph Ruben,English,6.1,"Julia Roberts, Patrick Bergin, Kevin Anderson, Elizabeth Lawrence",08 Feb 1991,N/A,R,"101,580,000",Sleeping with the Enemy,"35,413",http://ia.media-imdb.com/images/M/MV5BMTQzNDc5ODQ4OV5BMl5BanBnXkFtZTcwNTIzMjYxMQ@@._V1_SX300.jpg,movie,True,USA,"Nancy Price (novel, Ronald Bass (screenplay)"
56fbbe7571a0651cf0539334,tt0101862,1 win & 4 nominations.,105 min,Comedy,Charles Shyer,English,6.4,"Steve Martin, Diane Keaton, Kimberly Williams-Paisley, Kieran Culkin",20 Dec 1991,51,PG,"89,325,780",Father of the Bride,"53,778",http://ia.media-imdb.com/images/M/MV5BMjM3NzE4NzIxOV5BMl5BanBnXkFtZTgwODg2NjIyMDE@._V1_SX300.jpg,movie,True,USA,"Frances Goodrich (screenplay, Albert Hackett (screenplay, Nancy Meyers (screenplay, Charles Shyer (screenplay)"
56fbbe7571a0651cf0539335,tt0101921,Nominated for 2 Oscars. Another 6 wins & 8 nominations.,130 min,Drama,Jon Avnet,English,7.6,"Kathy Bates, Mary Stuart Masterson, Mary-Louise Parker, Jessica Tandy",24 Jan 1992,N/A,PG-13,"80,100,000",Fried Green Tomatoes,"50,260",http://ia.media-imdb.com/images/M/MV5BMTU3NzI1NTkwMl5BMl5BanBnXkFtZTgwMzkwNTcxMTE@._V1_SX300.jpg,movie,True,USA,"Fannie Flagg (novel, Fannie Flagg (screenplay, Carol Sobieski (screenplay)"
