_id,Rated,Genre,Title,Type,imdbID,Writer,Runtime,Actors,imdbVotes,Language,Country,Box_office,Released,imdbRating,Awards,Metascore,Response,Director,Poster
56fbc16471a06513d47fb4e4,G,"Animation, Adventure, Comedy",Aladdin,movie,tt0103639,"Ron Clements (screenplay, John Musker (screenplay, Ted Elliott (screenplay, Terry Rossio (screenplay, Burny Mattinson (story, Roger Allers (story, Daan Jippes (story, Kevin Harkey (story, Sue C. Nichols (story, Francis Glebas (story, Darrell Rooney (story, Larry Leker (story, James Fujii (story, Kirk Hanson (story, Kevin Lima (story, Rebecca Rees (story, David S. Smith (story, Chris Sanders (story, Brian Pimental (story, Patrick A. Ventura (story)",90 min,"Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman","249,838",English,USA,,25 Nov 1992,8.0,Won 2 Oscars. Another 24 wins & 17 nominations.,N/A,True,"Ron Clements, John Musker",http://ia.media-imdb.com/images/M/MV5BNTI4ODQ1MzAzNV5BMl5BanBnXkFtZTgwMzU4NzMxMDE@._V1_SX300.jpg
56fbc16471a06513d47fb4e5,PG,"Adventure, Comedy, Family",Home Alone 2: Lost in New York,movie,tt0104431,"John Hughes (characters, John Hughes",120 min,"Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara","191,909","English, French",USA,"173,585,516",20 Nov 1992,6.6,3 wins & 2 nominations.,N/A,True,Chris Columbus,http://ia.media-imdb.com/images/M/MV5BMTYyODQzNDk1OV5BMl5BanBnXkFtZTcwOTM3MTU1MQ@@._V1_SX300.jpg
56fbc16471a06513d47fb4e6,PG-13,Action,Batman Returns,movie,tt0103776,"Bob Kane (Batman characters, Daniel Waters (story, Sam Hamm (story, Daniel Waters (screenplay)",126 min,"Michael Keaton, Danny DeVito, Michelle Pfeiffer, Christopher Walken","206,980",English,"USA, UK","162,831,698",19 Jun 1992,7.0,Nominated for 2 Oscars. Another 2 wins & 15 nominations.,N/A,True,Tim Burton,http://ia.media-imdb.com/images/M/MV5BODM2OTc0Njg2OF5BMl5BanBnXkFtZTgwMDA4NjQxMTE@._V1_SX300.jpg
56fbc16471a06513d47fb4e7,R,"Action, Crime, Thriller",Lethal Weapon 3,movie,tt0104714,"Jeffrey Boam (screenplay, Jeffrey Boam (screenplay, Robert Mark Kamen (screenplay, Jeffrey Boam (story, Shane Black (characters)",118 min,"Mel Gibson, Danny Glover, Joe Pesci, Rene Russo","124,839",English,USA,"144,731,527",15 May 1992,6.7,3 wins & 4 nominations.,36,True,Richard Donner,http://ia.media-imdb.com/images/M/MV5BMTI3NTc5OTUzOF5BMl5BanBnXkFtZTcwNjI1ODAyMQ@@._V1_SX300.jpg
56fbc16471a06513d47fb4e8,R,"Drama, Thriller",A Few Good Men,movie,tt0104257,"Aaron Sorkin (play, Aaron Sorkin (screenplay)",138 min,"Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon","176,950",English,USA,"141,340,178",11 Dec 1992,7.6,Nominated for 4 Oscars. Another 9 wins & 18 nominations.,62,True,Rob Reiner,http://ia.media-imdb.com/images/M/MV5BMTkzNzE3Njg4Ml5BMl5BanBnXkFtZTYwMjA4NzM5._V1_SX300.jpg
56fbc16471a06513d47fb4e9,PG,"Comedy, Crime, Music",Sister Act,movie,tt0105417,Joseph Howard,100 min,"Whoopi Goldberg, Maggie Smith, Kathy Najimy, Wendy Makkena","62,293",English,USA,"139,610,000",29 May 1992,6.2,Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.,N/A,True,Emile Ardolino,http://ia.media-imdb.com/images/M/MV5BMTc1NzkzODcwN15BMl5BanBnXkFtZTcwNjcxODcxMQ@@._V1_SX300.jpg
56fbc16471a06513d47fb4ea,R,"Action, Drama, Music",The Bodyguard,movie,tt0103855,Lawrence Kasdan,129 min,"Kevin Costner, Whitney Houston, Gary Kemp, Bill Cobbs","86,828","English, Japanese",USA,"121,945,720",25 Nov 1992,6.1,Nominated for 2 Oscars. Another 10 wins & 18 nominations.,N/A,True,Mick Jackson,http://ia.media-imdb.com/images/M/MV5BMTYxMTc4NDc2N15BMl5BanBnXkFtZTYwNTYxMzA5._V1_SX300.jpg
56fbc16471a06513d47fb4eb,PG-13,"Comedy, Music",Wayne's World,movie,tt0105793,"Mike Myers (characters, Mike Myers, Bonnie Turner, Terry Turner",94 min,"Mike Myers, Dana Carvey, Rob Lowe, Tia Carrere","110,846","English, Cantonese",USA,"121,697,350",14 Feb 1992,7.0,3 wins & 3 nominations.,53,True,Penelope Spheeris,http://ia.media-imdb.com/images/M/MV5BNTI2Mjc4NTQyOF5BMl5BanBnXkFtZTgwMzgxMzcxMTE@._V1_SX300.jpg
56fbc16471a06513d47fb4ec,R,"Drama, Mystery, Thriller",Basic Instinct,movie,tt0103772,Joe Eszterhas,127 min,"Michael Douglas, Sharon Stone, George Dzundza, Jeanne Tripplehorn","129,947",English,"France, USA","117,727,224",20 Mar 1992,6.9,Nominated for 2 Oscars. Another 5 wins & 17 nominations.,41,True,Paul Verhoeven,http://ia.media-imdb.com/images/M/MV5BMTcxMjY2NzcyMV5BMl5BanBnXkFtZTYwMjAxNTQ5._V1_SX300.jpg
56fbc16471a06513d47fb4ed,PG,"Comedy, Drama, Sport",A League of Their Own,movie,tt0104694,"Kim Wilson (story, Kelly Candaele (story, Lowell Ganz (screenplay, Babaloo Mandel (screenplay)",128 min,"Tom Hanks, Geena Davis, Lori Petty, Madonna","69,482",English,USA,"107,458,785",01 Jul 1992,7.2,Nominated for 2 Golden Globes. Another 6 wins & 5 nominations.,67,True,Penny Marshall,http://ia.media-imdb.com/images/M/MV5BMTM1NzQ1OTM3NF5BMl5BanBnXkFtZTcwMDAwMjUyMQ@@._V1_SX300.jpg
56fbc16471a06513d47fb4ee,R,Western,Unforgiven,movie,tt0105695,David Webb Peoples,131 min,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris","267,693",English,USA,"101,157,447",07 Aug 1992,8.3,Won 4 Oscars. Another 36 wins & 28 nominations.,82,True,Clint Eastwood,http://ia.media-imdb.com/images/M/MV5BMTkzNTc0NDc4OF5BMl5BanBnXkFtZTcwNTY1ODg3OA@@._V1_SX300.jpg
56fbc16471a06513d47fb4ef,R,"Drama, Thriller",The Hand That Rocks the Cradle,movie,tt0104389,Amanda Silver,110 min,"Annabella Sciorra, Rebecca De Mornay, Matt McCoy, Ernie Hudson","28,712",English,USA,"88,036,683",10 Jan 1992,6.5,5 wins & 6 nominations.,N/A,True,Curtis Hanson,http://ia.media-imdb.com/images/M/MV5BMTg0ODczMjk0MV5BMl5BanBnXkFtZTcwMjE1NzgyMQ@@._V1_SX300.jpg
