_id,Actors,Awards,Response,Box_office,Metascore,Type,Language,Genre,Country,imdbID,Writer,Rated,Title,imdbVotes,Poster,Runtime,Director,Released,imdbRating
56fbc41171a0650ee4dd53a3,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough",Won 3 Oscars. Another 26 wins & 16 nominations.,True,,68,movie,"English, Spanish","Adventure, Sci-Fi, Thriller",USA,tt0107290,"Michael Crichton (novel, Michael Crichton (screenplay, David Koepp (screenplay)",PG-13,Jurassic Park,"579,218",http://ia.media-imdb.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_SX300.jpg,127 min,Steven Spielberg,11 Jun 1993,8.1
56fbc41171a0650ee4dd53a4,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein",Won 1 Oscar. Another 9 wins & 6 nominations.,True,,53,movie,English,"Comedy, Drama, Family",USA,tt0107614,"Anne Fine (novel, Randi Mayem Singer (screenplay, Leslie Dixon (screenplay)",PG-13,Mrs. Doubtfire,"175,377",http://ia.media-imdb.com/images/M/MV5BMjExMDUzODE1N15BMl5BanBnXkFtZTgwNTU5NTYxMTE@._V1_SX300.jpg,125 min,Chris Columbus,24 Nov 1993,6.9
56fbc41171a0650ee4dd53a5,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore",Won 1 Oscar. Another 11 wins & 28 nominations.,True,,88,movie,"English, Polish, Spanish","Action, Adventure, Crime",USA,tt0106977,"Jeb Stuart (screenplay, David Twohy (screenplay, David Twohy (story, Roy Huggins (characters)",PG-13,The Fugitive,"208,948",http://ia.media-imdb.com/images/M/MV5BMTU2OTkxNDA2OV5BMl5BanBnXkFtZTgwMzg3MjkyMTE@._V1_SX300.jpg,130 min,Andrew Davis,06 Aug 1993,7.8
56fbc41171a0650ee4dd53a6,"Tom Cruise, Jeanne Tripplehorn, Gene Hackman, Hal Holbrook",Nominated for 2 Oscars. Another 2 wins & 4 nominations.,True,,58,movie,English,"Drama, Mystery, Thriller",USA,tt0106918,"John Grisham (novel, David Rabe (screenplay, Robert Towne (screenplay, David Rayfiel (screenplay)",R,The Firm,"86,535",http://ia.media-imdb.com/images/M/MV5BMTgxMjM5NDYwM15BMl5BanBnXkFtZTgwODkzMzk5MDE@._V1_SX300.jpg,154 min,Sydney Pollack,30 Jun 1993,6.8
56fbc41171a0650ee4dd53a7,"Tom Hanks, Ross Malinger, Rita Wilson, Victor Garber",Nominated for 2 Oscars. Another 4 wins & 11 nominations.,True,,72,movie,English,"Comedy, Drama, Romance",USA,tt0108160,"Jeff Arch (story, Nora Ephron (screenplay, David S. Ward (screenplay, Jeff Arch (screenplay)",PG,Sleepless in Seattle,"119,035",http://ia.media-imdb.com/images/M/MV5BNzc0MDkwNjI0NF5BMl5BanBnXkFtZTgwMTY1MjEyMDE@._V1_SX300.jpg,105 min,Nora Ephron,25 Jun 1993,6.8
56fbc41171a0650ee4dd53a8,"Robert Redford, Demi Moore, Woody Harrelson, Seymour Cassel",6 wins & 8 nominations.,True,,35,movie,English,"Drama, Romance",USA,tt0107211,"Jack Engelhard (novel, Amy Holden Jones (screenplay)",R,Indecent Proposal,"46,339",http://ia.media-imdb.com/images/M/MV5BMjE4MTczNTQyNF5BMl5BanBnXkFtZTcwNjA4Mzk0MQ@@._V1_SX300.jpg,117 min,Adrian Lyne,07 Apr 1993,5.8
56fbc41171a0650ee4dd53a9,"Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott",Nominated for 3 Oscars. Another 2 wins & 12 nominations.,True,,74,movie,English,"Action, Drama, Thriller",USA,tt0107206,Jeff Maguire,R,In the Line of Fire,"72,454",http://ia.media-imdb.com/images/M/MV5BMTM2MTIwOTQwMl5BMl5BanBnXkFtZTcwNTM2NDU2MQ@@._V1_SX300.jpg,128 min,Wolfgang Petersen,09 Jul 1993,7.2
56fbc41171a0650ee4dd53aa,"Julia Roberts, Denzel Washington, Sam Shepard, John Heard",1 win & 2 nominations.,True,,50,movie,English,"Crime, Drama, Mystery",USA,tt0107798,"John Grisham (book, Alan J. Pakula (screenplay)",PG-13,The Pelican Brief,"57,797",http://ia.media-imdb.com/images/M/MV5BMTQwNTc1MDEyMF5BMl5BanBnXkFtZTcwMjUzNjMyMQ@@._V1_SX300.jpg,141 min,Alan J. Pakula,17 Dec 1993,6.5
56fbc41171a0650ee4dd53ab,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall",Won 7 Oscars. Another 69 wins & 33 nominations.,True,,93,movie,"English, Hebrew, German, Polish","Biography, Drama, History",USA,tt0108052,"Thomas Keneally (book, Steven Zaillian (screenplay)",R,Schindler's List,"828,323",http://ia.media-imdb.com/images/M/MV5BMzMwMTM4MDU2N15BMl5BanBnXkFtZTgwMzQ0MjMxMDE@._V1_SX300.jpg,195 min,Steven Spielberg,04 Feb 1994,8.9
56fbc41171a0650ee4dd53ac,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner",Nominated for 3 Oscars. Another 1 win & 7 nominations.,True,,60,movie,English,"Action, Adventure, Thriller","USA, Italy, France",tt0106582,"John Long (premise, Michael France (screen story, Michael France (screenplay, Sylvester Stallone (screenplay)",R,Cliffhanger,"93,278",http://ia.media-imdb.com/images/M/MV5BNzgyMTU2ODc3MF5BMl5BanBnXkFtZTYwNDc2NTQ5._V1_SX300.jpg,112 min,Renny Harlin,28 May 1993,6.4
