_id,Director,Awards,imdbID,Language,Released,Genre,Type,Runtime,Title,Poster,Box_office,Rated,Country,Writer,Actors,Response,imdbVotes,Metascore,imdbRating
56fbc70971a06513e44230b8,Robert Zemeckis,Won 6 Oscars. Another 37 wins & 51 nominations.,tt0109830,English,06 Jul 1994,"Drama, Romance",movie,142 min,Forrest Gump,http://ia.media-imdb.com/images/M/MV5BMTI1Nzk1MzQwMV5BMl5BanBnXkFtZTYwODkxOTA5._V1_SX300.jpg,,PG-13,USA,"Winston Groom (novel, Eric Roth (screenplay)","Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys",True,"1,198,932",82,8.8
56fbc70971a06513e44230b9,"Roger Allers, Rob Minkoff",Won 2 Oscars. Another 28 wins & 26 nominations.,tt0110357,"English, Swahili, Xhosa, Zulu",24 Jun 1994,"Animation, Adventure, Drama",movie,89 min,The Lion King,http://ia.media-imdb.com/images/M/MV5BMjEyMzgwNTUzMl5BMl5BanBnXkFtZTcwNTMxMzM3Ng@@._V1_SX300.jpg,"422,783,777",G,USA,"Irene Mecchi (screenplay, Jonathan Roberts (screenplay, Linda Woolverton (screenplay, Brenda Chapman (story, Burny Mattinson (story, Barry Johnson (story, Lorna Cook (story, Thom Enriquez (story, Andy Gaskill (story, Gary Trousdale (story, Jim Capobianco (story, Kevin Harkey (story, Jorgen Klubien (story, Chris Sanders (story, Tom Sito (story, Larry Leker (story, Joe Ranft (story, Rick Maki (story, Ed Gombert (story, Francis Glebas (story, Mark Kausler (story, J.T. Allen (additional story material, George Scribner (additional story material, Miguel Tejada-Flores (additional story material, Jenny Tripp (additional story material, Bob Tzudiker (additional story material, Christopher Vogler (additional story material, Kirk Wise (additional story material, Noni White (additional story material)","Matthew Broderick, Jonathan Taylor Thomas, James Earl Jones, Jim Cummings",True,"613,005",83,8.5
56fbc70971a06513e44230ba,James Cameron,Nominated for 1 Oscar. Another 7 wins & 15 nominations.,tt0111503,"English, French, Arabic, German",15 Jul 1994,"Action, Comedy, Thriller",movie,141 min,True Lies,http://ia.media-imdb.com/images/M/MV5BMTM4OTIzNjcxM15BMl5BanBnXkFtZTcwMjc2MzE2MQ@@._V1_SX300.jpg,,R,USA,"Claude Zidi (screenplay, Simon Michaël (screenplay, Didier Kaminka (screenplay, James Cameron (screenplay)","Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton",True,"185,345",63,7.2
56fbc70971a06513e44230bb,John Pasquin,2 wins & 7 nominations.,tt0111070,"English, Spanish",11 Nov 1994,"Comedy, Drama, Family",movie,97 min,The Santa Clause,http://ia.media-imdb.com/images/M/MV5BNDY4MjgyNTk3Ml5BMl5BanBnXkFtZTcwMTg1NTUxMQ@@._V1_SX300.jpg,,PG,USA,"Leo Benvenuti, Steve Rudnick","Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd",True,"63,381",57,6.4
56fbc70971a06513e44230bc,Brian Levant,6 wins & 10 nominations.,tt0109813,English,27 May 1994,"Comedy, Family, Fantasy",movie,91 min,The Flintstones,http://ia.media-imdb.com/images/M/MV5BMTQ0MDY5MzQ2OF5BMl5BanBnXkFtZTYwOTc0MTg4._V1_SX300.jpg,,PG,USA,"Tom S. Parker, Jim Jennewein, Steven E. de Souza","John Goodman, Elizabeth Perkins, Rick Moranis, Rosie O'Donnell",True,"59,119",38,4.8
56fbc70971a06513e44230bd,Phillip Noyce,Nominated for 2 Oscars. Another 3 wins & 6 nominations.,tt0109444,English,03 Aug 1994,"Action, Crime, Drama",movie,141 min,Clear and Present Danger,http://ia.media-imdb.com/images/M/MV5BMTUxOTk4NzUyOF5BMl5BanBnXkFtZTgwNzc3ODYxMTE@._V1_SX300.jpg,,PG-13,USA,"Tom Clancy (novel, Donald Stewart (screenplay, Steven Zaillian (screenplay, John Milius (screenplay)","Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida",True,"67,444",74,6.9
56fbc70971a06513e44230be,Jan de Bont,Won 2 Oscars. Another 14 wins & 16 nominations.,tt0111257,English,10 Jun 1994,"Action, Crime, Thriller",movie,116 min,Speed,http://ia.media-imdb.com/images/M/MV5BNzczNDQyMTc2MF5BMl5BanBnXkFtZTgwNjI2NzQxMTE@._V1_SX300.jpg,,R,USA,Graham Yost,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton",True,"255,079",78,7.2
56fbc70971a06513e44230bf,Chuck Russell,Nominated for 1 Oscar. Another 6 wins & 17 nominations.,tt0110475,"English, Swedish",29 Jul 1994,"Action, Comedy, Crime",movie,101 min,The Mask,http://ia.media-imdb.com/images/M/MV5BMjM3NDI5OTA5Nl5BMl5BanBnXkFtZTgwNzE4ODYxMTE@._V1_SX300.jpg,,PG-13,USA,"Michael Fallon (story, Mark Verheiden (story, Mike Werb (screenplay)","Jim Carrey, Peter Riegert, Peter Greene, Amy Yasbeck",True,"256,522",56,6.9
56fbc70971a06513e44230c0,Quentin Tarantino,Won 1 Oscar. Another 53 wins & 60 nominations.,tt0110912,"English, Spanish, French",14 Oct 1994,"Crime, Drama",movie,154 min,Pulp Fiction,http://ia.media-imdb.com/images/M/MV5BMTkxMTA5OTAzMl5BMl5BanBnXkFtZTgwNjA5MDc3NjE@._V1_SX300.jpg,,R,USA,"Quentin Tarantino (story, Roger Avary (story, Quentin Tarantino","Tim Roth, Laura Lovelace, John Travolta, Samuel L. Jackson",True,"1,268,850",94,8.9
56fbc70971a06513e44230c1,Neil Jordan,Nominated for 2 Oscars. Another 18 wins & 21 nominations.,tt0110148,"English, French",11 Nov 1994,"Drama, Fantasy, Horror",movie,123 min,Interview with the Vampire: The Vampire Chronicles,http://ia.media-imdb.com/images/M/MV5BMTIzMTIxOTg1NV5BMl5BanBnXkFtZTcwOTM0OTcxMQ@@._V1_SX300.jpg,"186,287",R,USA,"Anne Rice (screenplay, Anne Rice (novel)","Brad Pitt, Christian Slater, Virginia McCollam, John McConnell",True,"233,582",59,7.6
