_id,Rated,Language,Writer,imdbVotes,imdbRating,Box_office,Title,Poster,Director,imdbID,Genre,Response,Type,Runtime,Awards,Actors,Released,Metascore,Country
56fbc9d771a0651d70a8a7c9,G,English,"John Lasseter (original story by, Pete Docter (original story by, Andrew Stanton (original story by, Joe Ranft (original story by, Joss Whedon (screenplay, Andrew Stanton (screenplay, Joel Cohen (screenplay, Alec Sokolow (screenplay)","591,836",8.3,,Toy Story,http://ia.media-imdb.com/images/M/MV5BMTgwMjI4MzU5N15BMl5BanBnXkFtZTcwMTMyNTk3OA@@._V1_SX300.jpg,John Lasseter,tt0114709,"Animation, Adventure, Comedy",True,movie,81 min,Nominated for 3 Oscars. Another 22 wins & 17 nominations.,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",22 Nov 1995,92,USA
56fbc9d771a0651d70a8a7ca,PG-13,English,"Bob Kane (characters, Lee Batchler (story, Janet Scott Batchler (story, Lee Batchler (screenplay, Janet Scott Batchler (screenplay, Akiva Goldsman (screenplay)","184,181",5.4,"184,031,112",Batman Forever,http://ia.media-imdb.com/images/M/MV5BMjAwOTEyNjg0M15BMl5BanBnXkFtZTYwODQyMTI5._V1_SX300.jpg,Joel Schumacher,tt0112462,"Action, Adventure, Fantasy",True,movie,121 min,Nominated for 3 Oscars. Another 9 wins & 21 nominations.,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman",16 Jun 1995,51,"USA, UK"
56fbc9d771a0651d70a8a7cb,PG,English,"Jim Lovell (book, Jeffrey Kluger (book, William Broyles Jr. (screenplay, Al Reinert (screenplay)","203,181",7.6,"172,071,312",Apollo 13,http://ia.media-imdb.com/images/M/MV5BMmIyM2Y2NTQtZWM4ZC00YjFjLWFhMjgtNzNkOTQ0OGZlMTNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Ron Howard,tt0112384,"Adventure, Drama, History",True,movie,140 min,Won 2 Oscars. Another 24 wins & 48 nominations.,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",30 Jun 1995,77,USA
56fbc9d771a0651d70a8a7cc,G,"English, Algonquin","Carl Binder, Susannah Grant, Philip LaZebnik, Glen Keane (story, Joe Grant (story, Ralph Zondag (story, Burny Mattinson (story, Ed Gombert (story, Kaan Kalyon (story, Francis Glebas (story, Rob Gibbs (story, Bruce Morris (story, Todd Kurosawa (story, Duncan Marjoribanks (story, Chris Buck (story, Mike Gabriel (based on an idea by, Andrew Chapman (additional story development, Randy Cartwright (additional story development, Will Finn (additional story development, Broose Johnson (additional story development, T. Daniel Hofstedt (additional story development, David Pruiksma (additional story development, Nik Ranieri (additional story development, Vincent DeFrances (additional story development, Tom Mazzocco (additional story development, Don Dougherty (additional story development, Jorgen Klubien (additional story development)","113,939",6.6,"141,600,000",Pocahontas,http://ia.media-imdb.com/images/M/MV5BMTU2ODI2NzI4OF5BMl5BanBnXkFtZTYwMjk5NzA5._V1_SX300.jpg,"Mike Gabriel, Eric Goldberg",tt0114148,"Animation, Adventure, Drama",True,movie,81 min,Won 2 Oscars. Another 13 wins & 6 nominations.,"Irene Bedard, Judy Kuhn, Mel Gibson, David Ogden Stiers",23 Jun 1995,58,USA
56fbc9d771a0651d70a8a7cd,PG-13,English,"Jack Bernstein (characters, Steve Oedekerk","155,200",6.3,,Ace Ventura: When Nature Calls,http://ia.media-imdb.com/images/M/MV5BNzMzODY1ODAzNl5BMl5BanBnXkFtZTYwODEzNjE5._V1_SX300.jpg,Steve Oedekerk,tt0112281,"Adventure, Comedy",True,movie,90 min,7 wins & 7 nominations.,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi",10 Nov 1995,45,USA
56fbc9d771a0651d70a8a7ce,PG-13,"English, Russian, Spanish","Ian Fleming (characters, Michael France (story, Jeffrey Caine (screenplay, Bruce Feirstein (screenplay)","194,676",7.2,,GoldenEye,http://ia.media-imdb.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_SX300.jpg,Martin Campbell,tt0113189,"Action, Adventure, Sci-Fi",True,movie,130 min,Nominated for 2 BAFTA Film Awards. Another 2 wins & 6 nominations.,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen",17 Nov 1995,65,"UK, USA"
56fbc9d771a0651d70a8a7cf,PG,"English, French","Jonathan Hensleigh (screenplay, Greg Taylor (screenplay, Jim Strain (screenplay, Greg Taylor (screen story, Jim Strain (screen story, Chris Van Allsburg (screen story, Chris Van Allsburg (book)","198,355",6.9,"2,740,000",Jumanji,http://ia.media-imdb.com/images/M/MV5BMTk5MjAyNTM4Ml5BMl5BanBnXkFtZTgwMjY0MDI0MjE@._V1_SX300.jpg,Joe Johnston,tt0113497,"Adventure, Family, Fantasy",True,movie,104 min,4 wins & 9 nominations.,"Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce",15 Dec 1995,39,USA
56fbc9d771a0651d70a8a7d0,PG,English,"Joseph Oriolo (characters, Sherri Stoner, Deanna Oliver","82,442",6.0,"100,328,194",Casper,http://ia.media-imdb.com/images/M/MV5BMTk1NTYxMzU0OV5BMl5BanBnXkFtZTcwMzU1NzQyMQ@@._V1_SX300.jpg,Brad Silberling,tt0112642,"Comedy, Family, Fantasy",True,movie,100 min,4 wins & 5 nominations.,"Chauncey Leopardi, Spencer Vrooman, Malachi Pearson, Cathy Moriarty",26 May 1995,N/A,USA
56fbc9d771a0651d70a8a7d1,X,English,N/A,10,6.8,,Anal Adventures of Bruce Seven,N/A,"Bionca Seven, Bruce Seven",tt0233207,Adult,True,movie,102 min,N/A,"Davia Ardell, Kaitlyn Ashley, Rebecca Bardoux, Tom Byron",N/A,N/A,USA
56fbc9d771a0651d70a8a7d2,R,"English, German, Romanian","Jonathan Hensleigh, Roderick Thorp (certain original characters)","291,181",7.6,"100,012,500",Die Hard: With a Vengeance,http://ia.media-imdb.com/images/M/MV5BOTgyNDM4Mjg0OF5BMl5BanBnXkFtZTcwMjQxNTEzMQ@@._V1_SX300.jpg,John McTiernan,tt0112864,"Action, Adventure, Thriller",True,movie,128 min,2 wins & 3 nominations.,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene",19 May 1995,58,USA
56fbc9d771a0651d70a8a7d3,R,English,"Michael Schiffer (story, Richard P. Henrick (story, Michael Schiffer (screenplay)","78,564",7.3,,Crimson Tide,http://ia.media-imdb.com/images/M/MV5BMjIyOTgzNTE5OF5BMl5BanBnXkFtZTgwODA2NDkyMTE@._V1_SX300.jpg,Tony Scott,tt0112740,"Action, Drama, Thriller",True,movie,116 min,Nominated for 3 Oscars. Another 5 wins & 6 nominations.,"Denzel Washington, Gene Hackman, Matt Craven, George Dzundza",12 May 1995,66,USA
56fbc9d771a0651d70a8a7d4,PG-13,English,"Peter Rader, David Twohy","140,036",6.1,"267,575",Waterworld,http://ia.media-imdb.com/images/M/MV5BMTA2Nzk3MTgzMTVeQTJeQWpwZ15BbWU3MDgyNTgxNjk@._V1_SX300.jpg,Kevin Reynolds,tt0114898,"Action, Adventure, Sci-Fi",True,movie,135 min,Nominated for 1 Oscar. Another 5 wins & 8 nominations.,"Kevin Costner, Chaim Jeraffi, Rick Aviles, R.D. Call",28 Jul 1995,56,USA
56fbc9d771a0651d70a8a7d5,R,English,"LouAnne Johnson (book, Ronald Bass (screenplay)","37,045",6.4,,Dangerous Minds,http://ia.media-imdb.com/images/M/MV5BMTI3NDIyMjIyM15BMl5BanBnXkFtZTYwMzA3NjU5._V1_SX300.jpg,John N. Smith,tt0112792,"Biography, Drama",True,movie,99 min,5 wins & 5 nominations.,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",11 Aug 1995,47,USA
56fbc9d771a0651d70a8a7d6,PG,"English, American Sign Language",Patrick Sheane Duncan,"29,633",7.3,"82,528,097",Mr. Holland's Opus,http://ia.media-imdb.com/images/M/MV5BMTUxODUxOTk2M15BMl5BanBnXkFtZTcwODk2NDYxMQ@@._V1_SX300.jpg,Stephen Herek,tt0113862,"Drama, Music",True,movie,143 min,Nominated for 1 Oscar. Another 5 wins & 4 nominations.,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis",19 Jan 1996,N/A,USA
