_id,Released,imdbRating,imdbID,imdbVotes,Genre,Title,Writer,Actors,Type,Language,Response,Runtime,Box_office,Country,Awards,Metascore,Director,Rated,Poster
56fbcde771a0651bcc151826,03 Jul 1996,6.9,tt0116629,"409,182","Action, Adventure, Sci-Fi",Independence Day,"Dean Devlin, Roland Emmerich","Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell",movie,English,True,145 min,,USA,Won 1 Oscar. Another 31 wins & 32 nominations.,59,Roland Emmerich,PG-13,http://ia.media-imdb.com/images/M/MV5BMTMwODY3NzQzNF5BMl5BanBnXkFtZTcwNzUxNjc0MQ@@._V1_SX300.jpg
56fbcde771a0651bcc151827,10 May 1996,6.3,tt0117998,"140,879","Action, Adventure, Drama",Twister,"Michael Crichton, Anne-Marie Martin","Helen Hunt, Bill Paxton, Cary Elwes, Jami Gertz",movie,English,True,113 min,,USA,Nominated for 2 Oscars. Another 9 wins & 12 nominations.,68,Jan de Bont,PG-13,http://ia.media-imdb.com/images/M/MV5BMjE3NDMzODA2M15BMl5BanBnXkFtZTcwMDA5MDkxMQ@@._V1_SX300.jpg
56fbcde771a0651bcc151828,22 May 1996,7.1,tt0117060,"290,220","Action, Adventure, Thriller",Mission: Impossible,"Bruce Geller (television series, David Koepp (story, Steven Zaillian (story, David Koepp (screenplay, Robert Towne (screenplay)","Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny",movie,"English, French, Czech",True,110 min,"180,965,237",USA,3 wins & 13 nominations.,59,Brian De Palma,PG-13,http://ia.media-imdb.com/images/M/MV5BMTc3NjI2MjU0Nl5BMl5BanBnXkFtZTgwNDk3ODYxMTE@._V1_SX300.jpg
56fbcde771a0651bcc151829,13 Dec 1996,7.3,tt0116695,"184,835","Comedy, Drama, Romance",Jerry Maguire,Cameron Crowe,"Tom Cruise, Cuba Gooding Jr., Renée Zellweger, Kelly Preston",movie,"English, American Sign Language",True,139 min,"153,620,822",USA,Won 1 Oscar. Another 24 wins & 36 nominations.,77,Cameron Crowe,R,http://ia.media-imdb.com/images/M/MV5BMTkxNjc2NjQwOF5BMl5BanBnXkFtZTcwMDE2NDU2MQ@@._V1_SX300.jpg
56fbcde771a0651bcc15182a,08 Nov 1996,6.6,tt0117438,"97,009","Crime, Thriller",Ransom,"Cyril Hume (story, Richard Maibaum (story, Richard Price (screenplay, Alexander Ignon (screenplay)","Mel Gibson, Rene Russo, Brawley Nolte, Gary Sinise",movie,English,True,121 min,"136,448,821",USA,Nominated for 1 Golden Globe. Another 3 wins & 4 nominations.,60,Ron Howard,R,http://ia.media-imdb.com/images/M/MV5BMjEzMzE2NjY0NF5BMl5BanBnXkFtZTcwMzU2MDUyMQ@@._V1_SX300.jpg
56fbcde771a0651bcc15182b,07 Jun 1996,7.4,tt0117500,"254,436","Action, Adventure, Thriller",The Rock,"David Weisberg (story, Douglas Cook (story, David Weisberg (screenplay, Douglas Cook (screenplay, Mark Rosner (screenplay)","Sean Connery, Nicolas Cage, Ed Harris, John Spencer",movie,English,True,136 min,"134,006,721",USA,Nominated for 1 Oscar. Another 8 wins & 8 nominations.,58,Michael Bay,R,http://ia.media-imdb.com/images/M/MV5BMTM3MTczOTM1OF5BMl5BanBnXkFtZTYwMjc1NDA5._V1_SX300.jpg
56fbcde771a0651bcc15182c,08 Mar 1996,6.9,tt0115685,"60,454",Comedy,The Birdcage,"Jean Poiret (play, Francis Veber (earlier screenplay, Édouard Molinaro (earlier screenplay, Marcello Danon (earlier screenplay, Jean Poiret (earlier screenplay, Elaine May (screenplay)","Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest",movie,English,True,117 min,,USA,Nominated for 1 Oscar. Another 6 wins & 21 nominations.,72,Mike Nichols,R,http://ia.media-imdb.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@._V1_SX300.jpg
56fbcde771a0651bcc15182d,24 Jul 1996,7.4,tt0117913,"95,916","Crime, Drama, Thriller",A Time to Kill,"John Grisham (novel, Akiva Goldsman (screenplay)","Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey",movie,English,True,149 min,,USA,Nominated for 1 Golden Globe. Another 7 wins & 10 nominations.,54,Joel Schumacher,R,http://ia.media-imdb.com/images/M/MV5BMjIwMzI2NTk3N15BMl5BanBnXkFtZTgwMDgxNTYxMTE@._V1_SX300.jpg
56fbcde771a0651bcc15182e,20 Sep 1996,6.2,tt0116313,"30,768",Comedy,The First Wives Club,"Olivia Goldsmith (novel, Robert Harling (screenplay)","Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith",movie,English,True,103 min,,USA,Nominated for 1 Oscar. Another 3 wins & 4 nominations.,58,Hugh Wilson,PG,http://ia.media-imdb.com/images/M/MV5BMTI2OTE2NDkwM15BMl5BanBnXkFtZTcwODY5ODkxMQ@@._V1_SX300.jpg
56fbcde771a0651bcc15182f,03 Jul 1996,6.4,tt0117333,"62,482","Drama, Fantasy, Romance",Phenomenon,Gerald Di Pego,"John Travolta, Kyra Sedgwick, Forest Whitaker, Robert Duvall",movie,English,True,123 min,,USA,7 wins & 8 nominations.,41,Jon Turteltaub,PG,http://ia.media-imdb.com/images/M/MV5BMjAwMDA2NzEyMl5BMl5BanBnXkFtZTgwNTA2MjgxMTE@._V1_SX300.jpg
