_id,Writer,Box_office,Awards,Director,Poster,Rated,Actors,Language,Type,Runtime,imdbRating,Released,Genre,Title,Metascore,Response,imdbID,imdbVotes,Country
56fbd17971a06517ccaa7a45,James Cameron,"658,672,302",Won 11 Oscars. Another 108 wins & 73 nominations.,James Cameron,http://ia.media-imdb.com/images/M/MV5BMjExNzM0NDM0N15BMl5BanBnXkFtZTcwMzkxOTUwNw@@._V1_SX300.jpg,PG-13,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates","English, French, German, Swedish, Italian, Russian",movie,194 min,7.7,19 Dec 1997,"Drama, Romance",Titanic,74,True,tt0120338,"766,170",USA
56fbd17971a06517ccaa7a46,"Lowell Cunningham (comic, Ed Solomon (screen story, Ed Solomon (screenplay)","250,147,615",Won 1 Oscar. Another 18 wins & 39 nominations.,Barry Sonnenfeld,http://ia.media-imdb.com/images/M/MV5BNzA2MzI5Nzc0N15BMl5BanBnXkFtZTcwODE2NDU2MQ@@._V1_SX300.jpg,PG-13,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio","English, Spanish",movie,98 min,7.3,02 Jul 1997,"Comedy, Sci-Fi",Men in Black,71,True,tt0119654,"390,169",USA
56fbd17971a06517ccaa7a47,"Michael Crichton (novel, David Koepp (screenplay)","229,074,524",Nominated for 1 Oscar. Another 4 wins & 20 nominations.,Steven Spielberg,http://ia.media-imdb.com/images/M/MV5BMTYxNjY1NjE2OV5BMl5BanBnXkFtZTYwNzE0MDc4._V1_SX300.jpg,PG-13,"Jeff Goldblum, Julianne Moore, Pete Postlethwaite, Arliss Howard","English, Spanish",movie,129 min,6.5,23 May 1997,"Action, Adventure, Sci-Fi",The Lost World: Jurassic Park,59,True,tt0119567,"265,087",USA
56fbd17971a06517ccaa7a48,"Paul Guay, Stephen Mazur","181,395,380",Nominated for 1 Golden Globe. Another 4 wins & 5 nominations.,Tom Shadyac,http://ia.media-imdb.com/images/M/MV5BMjEzMzA3NzgwNF5BMl5BanBnXkFtZTcwNzQ4MDgyMQ@@._V1_SX300.jpg,PG-13,"Jim Carrey, Maura Tierney, Justin Cooper, Cary Elwes",English,movie,86 min,6.8,21 Mar 1997,"Comedy, Fantasy",Liar Liar,68,True,tt0119528,"212,904",USA
56fbd17971a06517ccaa7a49,Andrew W. Marlowe,"172,620,724",Nominated for 2 Oscars. Another 7 wins & 10 nominations.,Wolfgang Petersen,http://ia.media-imdb.com/images/M/MV5BMTg4NDM4NzA2N15BMl5BanBnXkFtZTcwOTA2NDU2MQ@@._V1_SX300.jpg,R,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson","English, Russian",movie,124 min,6.4,25 Jul 1997,"Action, Adventure, Drama",Air Force One,61,True,tt0118571,"142,551","USA, Germany"
56fbd17971a06517ccaa7a4a,"Mark Andrus (story, Mark Andrus (screenplay, James L. Brooks (screenplay)","147,637,474",Won 2 Oscars. Another 35 wins & 48 nominations.,James L. Brooks,http://ia.media-imdb.com/images/M/MV5BMTc0Nzc5MDEzN15BMl5BanBnXkFtZTcwMjc2NTEyMQ@@._V1_SX300.jpg,PG-13,"Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr.",English,movie,139 min,7.7,25 Dec 1997,"Comedy, Drama, Romance",As Good as It Gets,67,True,tt0119822,"220,396",USA
56fbd17971a06517ccaa7a4b,"Matt Damon, Ben Affleck","138,339,411",Won 2 Oscars. Another 20 wins & 52 nominations.,Gus Van Sant,http://ia.media-imdb.com/images/M/MV5BMTk0NjY0Mzg5MF5BMl5BanBnXkFtZTcwNzM1OTM2MQ@@._V1_SX300.jpg,R,"Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsgård",English,movie,126 min,8.3,09 Jan 1998,Drama,Good Will Hunting,70,True,tt0119217,"577,947",USA
56fbd17971a06517ccaa7a4c,Ronald Bass,,Nominated for 1 Oscar. Another 12 wins & 22 nominations.,P.J. Hogan,http://ia.media-imdb.com/images/M/MV5BNDI0ODY4NDQ1NV5BMl5BanBnXkFtZTcwMjcxNDIyMQ@@._V1_SX300.jpg,PG-13,"Julia Roberts, Dermot Mulroney, Cameron Diaz, Rupert Everett","English, French, Italian",movie,105 min,6.3,20 Jun 1997,"Comedy, Romance",My Best Friend's Wedding,50,True,tt0119738,"95,014",USA
56fbd17971a06517ccaa7a4d,Bruce Feirstein,"125,332,007",Nominated for 1 Golden Globe. Another 6 wins & 9 nominations.,Roger Spottiswoode,http://ia.media-imdb.com/images/M/MV5BMTM1MTk2ODQxNV5BMl5BanBnXkFtZTcwOTY5MDg0NA@@._V1_SX300.jpg,PG-13,"Pierce Brosnan, Jonathan Pryce, Michelle Yeoh, Teri Hatcher","English, German, Danish, Mandarin, Cantonese",movie,119 min,6.5,19 Dec 1997,"Action, Adventure, Thriller",Tomorrow Never Dies,52,True,tt0120347,"146,362","UK, USA"
56fbd17971a06517ccaa7a4e,"Mike Werb, Michael Colleary",,Nominated for 1 Oscar. Another 11 wins & 21 nominations.,John Woo,http://ia.media-imdb.com/images/M/MV5BMTU4MjA5NTc2NV5BMl5BanBnXkFtZTgwOTI2Mzk5MDE@._V1_SX300.jpg,R,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola","English, Latin",movie,138 min,7.3,27 Jun 1997,"Action, Crime, Sci-Fi",Face/Off,82,True,tt0119094,"276,774",USA
56fbd17971a06517ccaa7a4f,"Jay Ward (characters, Dana Olsen (story, Dana Olsen (screenplay, Audrey Wells (screenplay)",,1 win & 2 nominations.,Sam Weisman,http://ia.media-imdb.com/images/M/MV5BMTUxNjQ2NjA1OV5BMl5BanBnXkFtZTcwMDAyMTYyMQ@@._V1_SX300.jpg,PG,"Brendan Fraser, Leslie Mann, Thomas Haden Church, Richard Roundtree","English, Spanish",movie,92 min,5.4,16 Jul 1997,"Action, Adventure, Comedy",George of the Jungle,53,True,tt0119190,"54,533",USA
56fbd17971a06517ccaa7a50,"Kevin Williamson (characters, Kevin Williamson",,5 wins & 11 nominations.,Wes Craven,http://ia.media-imdb.com/images/M/MV5BMTk3MzM3MDQzNV5BMl5BanBnXkFtZTcwNDY0ODQ4NA@@._V1_SX300.jpg,R,"Jada Pinkett Smith, Omar Epps, Paulette Patterson, Rasila Schroeder",English,movie,120 min,6.1,12 Dec 1997,"Horror, Mystery",Scream 2,63,True,tt0120082,"121,431",USA
56fbd17971a06517ccaa7a51,Scott Rosenberg,"101,087,161",Nominated for 2 Oscars. Another 7 wins & 9 nominations.,Simon West,http://ia.media-imdb.com/images/M/MV5BMTU1NzY2NjIzNV5BMl5BanBnXkFtZTgwMzE2Mzk5MDE@._V1_SX300.jpg,R,"Colm Meaney, Mykelti Williamson, Nick Chinlund, Renoly Santiago",English,movie,115 min,6.8,06 Jun 1997,"Action, Crime, Thriller",Con Air,52,True,tt0118880,"219,371",USA
56fbd17971a06517ccaa7a52,"James V. Hart (screenplay, Michael Goldenberg (screenplay, Carl Sagan (based on the novel by, Carl Sagan (based on the story by, Ann Druyan (based on the story by)","100,853,835",Nominated for 1 Oscar. Another 15 wins & 25 nominations.,Robert Zemeckis,http://ia.media-imdb.com/images/M/MV5BMjEyMDQxMTMxMF5BMl5BanBnXkFtZTcwNTU0ODcyMg@@._V1_SX300.jpg,PG,"Jena Malone, David Morse, Jodie Foster, Geoffrey Blake","English, Spanish, German, Russian",movie,150 min,7.4,11 Jul 1997,"Drama, Mystery, Sci-Fi",Contact,62,True,tt0118884,"193,848",USA
56fbd17971a06517ccaa7a53,"Ron Clements (animation screenplay by, John Musker (animation screenplay by, Don McEnery (animation screenplay by, Bob Shaw (animation screenplay by, Irene Mecchi (animation screenplay by, Kaan Kalyon (story, Kelly Wightman (story, Randy Cartwright (story, John Ramirez (story, Jeff Snow (story, Vance Gerry (story, Kirk Hanson (story, Francis Glebas (story, Mark Kennedy (story, Bruce Morris (story, Don Dougherty (story, Thom Enriquez (story)",,Nominated for 1 Oscar. Another 9 wins & 15 nominations.,"Ron Clements, John Musker",http://ia.media-imdb.com/images/M/MV5BMTI5NTI3OTAyOV5BMl5BanBnXkFtZTcwMTg3ODkxMQ@@._V1_SX300.jpg,G,"Tate Donovan, Josh Keaton, Roger Bart, Danny DeVito","English, Spanish, Greek",movie,93 min,7.2,27 Jun 1997,"Animation, Adventure, Comedy",Hercules,N/A,True,tt0119282,"135,621",USA
56fbd17971a06517ccaa7a54,Samuel W. Taylor (short story \,,3 wins & 1 nomination.,Les Mayfield,http://ia.media-imdb.com/images/M/MV5BMTIwODc4NzcyNF5BMl5BanBnXkFtZTYwMTY5OTY5._V1_SX300.jpg,PG,"Robin Williams, Marcia Gay Harden, Christopher McDonald, Ted Levine",English,movie,93 min,5.1,26 Nov 1997,"Comedy, Family, Sci-Fi",Flubber,37,True,tt0119137,"61,016",USA
56fbd17971a06517ccaa7a55,Brian Helgeland,"76,081,498",4 wins & 1 nomination.,Richard Donner,http://ia.media-imdb.com/images/M/MV5BODc2NjI2MDQxOF5BMl5BanBnXkFtZTcwNTEyNTgyMQ@@._V1_SX300.jpg,R,"Mel Gibson, Julia Roberts, Patrick Stewart, Cylk Cozart",English,movie,135 min,6.7,08 Aug 1997,"Action, Crime, Mystery",Conspiracy Theory,49,True,tt0118883,"74,285",USA
56fbd17971a06517ccaa7a56,"Lois Duncan (novel, Kevin Williamson (screenplay)","72,219,395",3 wins & 7 nominations.,Jim Gillespie,http://ia.media-imdb.com/images/M/MV5BMjA3NTA2NzgxMF5BMl5BanBnXkFtZTcwMzI2NDU2MQ@@._V1_SX300.jpg,R,"Jennifer Love Hewitt, Sarah Michelle Gellar, Ryan Phillippe, Freddie Prinze Jr.",English,movie,101 min,5.6,17 Oct 1997,"Horror, Mystery, Thriller",I Know What You Did Last Summer,52,True,tt0119345,"102,572",USA
56fbd17971a06517ccaa7a57,Leslie Bohem,"67,155,742",4 wins.,Roger Donaldson,http://ia.media-imdb.com/images/M/MV5BMTUxNDY3MjM3MF5BMl5BanBnXkFtZTcwOTI3NDMyMQ@@._V1_SX300.jpg,PG-13,"Pierce Brosnan, Linda Hamilton, Jamie Renée Smith, Jeremy Foley",English,movie,108 min,5.8,07 Feb 1997,"Action, Adventure, Thriller",Dante's Peak,43,True,tt0118928,"60,440",USA
56fbd17971a06517ccaa7a58,"Hans Bauer, Jim Cash, Jack Epps Jr.","65,557,989",4 wins & 10 nominations.,Luis Llosa,http://ia.media-imdb.com/images/M/MV5BMTMzMTU5NjcxNl5BMl5BanBnXkFtZTcwMzE2NDU2MQ@@._V1_SX300.jpg,PG-13,"Jennifer Lopez, Ice Cube, Jon Voight, Eric Stoltz",English,movie,89 min,4.6,11 Apr 1997,"Action, Adventure, Horror",Anaconda,37,True,tt0118615,"71,163","USA, Brazil, Peru"
56fbd17971a06517ccaa7a59,"James Ellroy (novel, Brian Helgeland (screenplay, Curtis Hanson (screenplay)","64,604,977",Won 2 Oscars. Another 82 wins & 77 nominations.,Curtis Hanson,http://ia.media-imdb.com/images/M/MV5BMjMzOTc2MDI3N15BMl5BanBnXkFtZTgwNTE4Njc3NjE@._V1_SX300.jpg,R,"Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell",English,movie,138 min,8.3,19 Sep 1997,"Crime, Drama, Mystery",L.A. Confidential,90,True,tt0119488,"400,677",USA
56fbd17971a06517ccaa7a5a,"Lowell Cunningham (comic, Ed Solomon (screen story, Ed Solomon (screenplay)","250,147,615",Won 1 Oscar. Another 18 wins & 39 nominations.,Barry Sonnenfeld,http://ia.media-imdb.com/images/M/MV5BNzA2MzI5Nzc0N15BMl5BanBnXkFtZTcwODE2NDU2MQ@@._V1_SX300.jpg,PG-13,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio","English, Spanish",movie,98 min,7.3,02 Jul 1997,"Comedy, Sci-Fi",Men in Black,71,True,tt0119654,"390,169",USA
56fbd17971a06517ccaa7a5b,"Luc Besson (story, Luc Besson (screenplay, Robert Mark Kamen (screenplay)",,Nominated for 1 Oscar. Another 9 wins & 32 nominations.,Luc Besson,http://ia.media-imdb.com/images/M/MV5BMTkzOTkwNTI4N15BMl5BanBnXkFtZTYwMDIzNzI5._V1_SX300.jpg,PG-13,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich","English, Swedish, German",movie,126 min,7.7,09 May 1997,"Action, Adventure, Sci-Fi",The Fifth Element,52,True,tt0119116,"332,547",France
56fbd17971a06517ccaa7a5c,"Leslie Charteris (character, Jonathan Hensleigh (story, Jonathan Hensleigh (screenplay, Wesley Strick (screenplay)","61,355,436",1 win & 2 nominations.,Phillip Noyce,http://ia.media-imdb.com/images/M/MV5BMTgwMzg0NTg2OF5BMl5BanBnXkFtZTcwMTc5ODAyMQ@@._V1_SX300.jpg,PG-13,"Val Kilmer, Elisabeth Shue, Rade Serbedzija, Valeriy Nikolaev","English, Russian",movie,116 min,6.2,04 Apr 1997,"Action, Adventure, Romance",The Saint,50,True,tt0120053,"51,107",USA
