_id,Awards,Type,imdbVotes,Director,Rated,Metascore,imdbID,Released,Poster,Writer,Runtime,Response,Title,Box_office,Genre,Language,imdbRating,Country,Actors
56fbd4bf71a0650b1c4f3395,Won 5 Oscars. Another 74 wins & 74 nominations.,movie,"847,784",Steven Spielberg,R,90,tt0120815,24 Jul 1998,http://ia.media-imdb.com/images/M/MV5BNjczODkxNTAxN15BMl5BanBnXkFtZTcwMTcwNjUxMw@@._V1_SX300.jpg,Robert Rodat,169 min,True,Saving Private Ryan,"216,119,491","Action, Drama, War","English, French, German, Czech",8.6,USA,"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper"
56fbd4bf71a0650b1c4f3396,Nominated for 4 Oscars. Another 12 wins & 33 nominations.,movie,"314,296",Michael Bay,PG-13,42,tt0120591,01 Jul 1998,http://ia.media-imdb.com/images/M/MV5BMTc3NzA4MDIyNV5BMl5BanBnXkFtZTcwMzc1OTM2MQ@@._V1_SX300.jpg,"Jonathan Hensleigh (screenplay, J.J. Abrams (screenplay, Tony Gilroy (adaptation, Shane Salerno (adaptation, Robert Roy Pool (story, Jonathan Hensleigh (story)",151 min,True,Armageddon,"201,573,391","Action, Adventure, Sci-Fi","English, Russian, Indonesian",6.6,USA,"Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler"
56fbd4bf71a0650b1c4f3397,Nominated for 2 Golden Globes. Another 17 wins & 15 nominations.,movie,"242,249","Bobby Farrelly, Peter Farrelly",R,69,tt0129387,15 Jul 1998,http://ia.media-imdb.com/images/M/MV5BMTAzNzM3NTM4NDNeQTJeQWpwZ15BbWU4MDgzOTgzMTAx._V1_SX300.jpg,"Ed Decter (story, John J. Strauss (story, Ed Decter (screenplay, John J. Strauss (screenplay, Peter Farrelly (screenplay, Bobby Farrelly (screenplay)",119 min,True,There's Something About Mary,"176,483,808","Comedy, Romance",English,7.1,USA,"Cameron Diaz, Matt Dillon, Ben Stiller, Lee Evans"
56fbd4bf71a0650b1c4f3398,Nominated for 1 Oscar. Another 14 wins & 19 nominations.,movie,"203,813","John Lasseter, Andrew Stanton",G,77,tt0120623,25 Nov 1998,http://ia.media-imdb.com/images/M/MV5BMTI5NTc1NjU2NF5BMl5BanBnXkFtZTcwNzkyNDAyMQ@@._V1_SX300.jpg,"John Lasseter (original story by, Andrew Stanton (original story by, Joe Ranft (original story by, Andrew Stanton (screenplay, Don McEnery (screenplay, Bob Shaw (screenplay)",95 min,True,A Bug's Life,,"Animation, Adventure, Comedy",English,7.2,USA,"Dave Foley, Kevin Spacey, Julia Louis-Dreyfus, Hayden Panettiere"
56fbd4bf71a0650b1c4f3399,5 wins & 6 nominations.,movie,"116,127",Frank Coraci,PG-13,41,tt0120484,06 Nov 1998,http://ia.media-imdb.com/images/M/MV5BMTcxODM0MzI5MF5BMl5BanBnXkFtZTcwNzE2MzQyMQ@@._V1_SX300.jpg,"Tim Herlihy, Adam Sandler",90 min,True,The Waterboy,,"Comedy, Sport",English,6.1,USA,"Adam Sandler, Kathy Bates, Henry Winkler, Fairuza Balk"
56fbd4bf71a0650b1c4f339a,4 wins & 8 nominations.,movie,"72,107",Betty Thomas,PG-13,46,tt0118998,26 Jun 1998,http://ia.media-imdb.com/images/M/MV5BMTQzMjc4NjIxOV5BMl5BanBnXkFtZTcwMDU0NzIyMQ@@._V1_SX300.jpg,"Hugh Lofting (stories, Nat Mauldin (screenplay, Larry Levin (screenplay)",85 min,True,Doctor Dolittle,"144,156,464","Comedy, Family, Fantasy",English,5.3,USA,"Eddie Murphy, Ossie Davis, Oliver Platt, Peter Boyle"
56fbd4bf71a0650b1c4f339b,6 wins & 8 nominations.,movie,"180,931",Brett Ratner,PG-13,60,tt0120812,18 Sep 1998,http://ia.media-imdb.com/images/M/MV5BMjAyMzAyNzY5N15BMl5BanBnXkFtZTcwNjU3MTc0MQ@@._V1_SX300.jpg,"Ross LaManna (story, Jim Kouf (screenplay, Ross LaManna (screenplay)",98 min,True,Rush Hour,"141,153,686","Action, Comedy, Crime","English, Cantonese, Mandarin",6.9,USA,"Ken Leung, Jackie Chan, Tom Wilkinson, Tzi Ma"
56fbd4bf71a0650b1c4f339c,5 wins & 12 nominations.,movie,"132,734",Mimi Leder,PG-13,40,tt0120647,08 May 1998,http://ia.media-imdb.com/images/M/MV5BMjE4NDE3MjA1NV5BMl5BanBnXkFtZTYwMjQxMDM5._V1_SX300.jpg,"Bruce Joel Rubin, Michael Tolkin",120 min,True,Deep Impact,"140,459,099","Action, Drama, Sci-Fi",English,6.1,USA,"Robert Duvall, Téa Leoni, Elijah Wood, Vanessa Redgrave"
56fbd4bf71a0650b1c4f339d,8 wins & 11 nominations.,movie,"148,258",Roland Emmerich,PG-13,32,tt0120685,20 May 1998,http://ia.media-imdb.com/images/M/MV5BMzczODQ4NTM0NF5BMl5BanBnXkFtZTYwMjgxMTc4._V1_SX300.jpg,"Dean Devlin (screenplay, Roland Emmerich (screenplay, Ted Elliott (story, Terry Rossio (story, Dean Devlin (story, Roland Emmerich (story)",139 min,True,Godzilla,,"Action, Sci-Fi, Thriller","English, French, Japanese, Russian, Spanish",5.3,"USA, Japan","Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria"
56fbd4bf71a0650b1c4f339e,Nominated for 1 Oscar. Another 1 win & 6 nominations.,movie,"78,102",Tom Shadyac,PG-13,25,tt0129290,25 Dec 1998,http://ia.media-imdb.com/images/M/MV5BMTM0NjM2Mjg4Ml5BMl5BanBnXkFtZTcwMDAxOTMyMQ@@._V1_SX300.jpg,"Patch Adams (book, Maureen Mylander (book, Steve Oedekerk (screenplay)",115 min,True,Patch Adams,"135,014,968","Biography, Comedy, Drama",English,6.7,USA,"Robin Williams, Daniel London, Monica Potter, Philip Seymour Hoffman"
