_id,imdbID,Rated,Runtime,imdbVotes,Response,Type,Country,Genre,Awards,Box_office,Writer,Title,Metascore,Actors,imdbRating,Released,Director,Poster,Language
56fbd87371a065035853a340,tt0120915,PG,136 min,"513,986",True,movie,USA,"Action, Adventure, Fantasy",Nominated for 3 Oscars. Another 17 wins & 60 nominations.,"474,544,677",George Lucas,Star Wars: Episode I - The Phantom Menace,51,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",6.5,19 May 1999,George Lucas,http://ia.media-imdb.com/images/M/MV5BMTQ4NjEwNDA2Nl5BMl5BanBnXkFtZTcwNDUyNDQzNw@@._V1_SX300.jpg,English
56fbd87371a065035853a341,tt0167404,PG-13,107 min,"679,356",True,movie,USA,"Drama, Mystery, Thriller",Nominated for 6 Oscars. Another 32 wins & 47 nominations.,"293,501,675",M. Night Shyamalan,The Sixth Sense,64,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams",8.1,06 Aug 1999,M. Night Shyamalan,http://ia.media-imdb.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,"English, Latin, Spanish"
56fbd87371a065035853a342,tt0120363,G,92 min,"369,499",True,movie,USA,"Animation, Adventure, Comedy",Nominated for 1 Oscar. Another 20 wins & 27 nominations.,,"John Lasseter (original story by, Pete Docter (original story by, Ash Brannon (original story by, Andrew Stanton (original story by, Andrew Stanton (screenplay, Rita Hsiao (screenplay, Doug Chamberlin (screenplay, Chris Webb (screenplay)",Toy Story 2,88,"Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer",7.9,24 Nov 1999,"John Lasseter, Ash Brannon, Lee Unkrich",http://ia.media-imdb.com/images/M/MV5BMTQ0OTU0NTcyNl5BMl5BanBnXkFtZTcwOTk5Mjc4OA@@._V1_SX300.jpg,"English, Arabic, Spanish"
56fbd87371a065035853a343,tt0145660,PG-13,95 min,"176,572",True,movie,USA,"Action, Adventure, Comedy",Nominated for 1 Oscar. Another 17 wins & 28 nominations.,,"Mike Myers, Michael McCullers, Mike Myers (characters)",Austin Powers: The Spy Who Shagged Me,59,"Mike Myers, Heather Graham, Michael York, Robert Wagner",6.6,11 Jun 1999,Jay Roach,http://ia.media-imdb.com/images/M/MV5BMjEwMDk0MzgxNV5BMl5BanBnXkFtZTYwNjMzMDc3._V1_SX300.jpg,"English, German"
56fbd87371a065035853a344,tt0133093,R,136 min,"1,174,625",True,movie,"USA, Australia","Action, Sci-Fi",Won 4 Oscars. Another 33 wins & 44 nominations.,"653,151","Lilly Wachowski, Lana Wachowski",The Matrix,73,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",8.7,31 Mar 1999,"Lana Wachowski, Lilly Wachowski",http://ia.media-imdb.com/images/M/MV5BMTkxNDYxOTA4M15BMl5BanBnXkFtZTgwNTk0NzQxMTE@._V1_SX300.jpg,English
56fbd87371a065035853a345,tt0120855,G,88 min,"136,621",True,movie,USA,"Animation, Adventure, Family",Won 1 Oscar. Another 11 wins & 25 nominations.,"171,085,177","Tab Murphy (screenplay, Bob Tzudiker (screenplay, Noni White (screenplay, Stephen J. Anderson (story, Mark Kennedy (story, Carole Holliday (story, Gaëtan Brizzi (story, Paul Brizzi (story, Don Dougherty (story, Ed Gombert (story, Randy Haycock (story, Don Hall (story, Kevin Harkey (story, Glen Keane (story, Burny Mattinson (story, Frank Nissen (story, John Norton (story, Jeff Snow (story, Michael Surrey (story, Chris Ure (story, Mark Walton (story, Stevie Wermers (story, Kelly Wightman (story, John Ramirez (story, Edgar Rice Burroughs (story)",Tarzan,79,"Brian Blessed, Glenn Close, Minnie Driver, Tony Goldwyn",7.2,18 Jun 1999,"Chris Buck, Kevin Lima",http://ia.media-imdb.com/images/M/MV5BMTIxNzY1MDg2Ml5BMl5BanBnXkFtZTcwMDgxMDEzMQ@@._V1_SX300.jpg,English
56fbd87371a065035853a346,tt0142342,PG-13,93 min,"156,901",True,movie,USA,"Comedy, Drama",8 wins & 11 nominations.,,"Steve Franks (story, Steve Franks (screenplay, Tim Herlihy (screenplay, Adam Sandler (screenplay)",Big Daddy,41,"Adam Sandler, Joey Lauren Adams, Jon Stewart, Cole Sprouse",6.4,25 Jun 1999,Dennis Dugan,http://ia.media-imdb.com/images/M/MV5BMTgwODU4MTg5M15BMl5BanBnXkFtZTcwNjM2NjkxMQ@@._V1_SX300.jpg,"English, Italian"
56fbd87371a065035853a347,tt0120616,PG-13,125 min,"308,691",True,movie,USA,"Action, Adventure, Fantasy",Nominated for 1 Oscar. Another 5 wins & 19 nominations.,,"Stephen Sommers (screen story, Lloyd Fonvielle (screen story, Kevin Jarre (screen story, Stephen Sommers (screenplay)",The Mummy,48,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",7.0,07 May 1999,Stephen Sommers,http://ia.media-imdb.com/images/M/MV5BMTcwMjQ3Mjk0MV5BMl5BanBnXkFtZTgwNzcxNTYxMTE@._V1_SX300.jpg,"English, Egyptian (Ancient, Arabic"
56fbd87371a065035853a348,tt0163187,PG,116 min,"72,148",True,movie,USA,"Comedy, Romance",6 wins & 9 nominations.,"152,149,590","Josann McGibbon, Sara Parriott",Runaway Bride,39,"Julia Roberts, Richard Gere, Joan Cusack, Hector Elizondo",5.5,30 Jul 1999,Garry Marshall,http://ia.media-imdb.com/images/M/MV5BOTcxMDU2ODc5OV5BMl5BanBnXkFtZTcwNTA0NzMyMQ@@._V1_SX300.jpg,English
56fbd87371a065035853a349,tt0185937,R,81 min,"181,773",True,movie,USA,Horror,15 wins & 19 nominations.,,"Daniel Myrick, Eduardo Sánchez",The Blair Witch Project,81,"Heather Donahue, Joshua Leonard, Michael C. Williams, Bob Griffin",6.4,30 Jul 1999,"Daniel Myrick, Eduardo Sánchez",http://ia.media-imdb.com/images/M/MV5BMTg0NjMyNTY4OF5BMl5BanBnXkFtZTYwOTMxOTY4._V1_SX300.jpg,English
