_id,Actors,Released,Poster,Language,imdbID,Box_office,imdbVotes,Country,Writer,imdbRating,Genre,Awards,Rated,Runtime,Title,Metascore,Director,Type,Response
5706098371a0651ac0e51402,"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor",17 Nov 2000,http://ia.media-imdb.com/images/M/MV5BMTM2NzgzNTk2Nl5BMl5BanBnXkFtZTcwMjUxNjUyMQ@@._V1_SX300.jpg,English,tt0170016,,"138,158","USA, Germany","Dr. Seuss (book, Jeffrey Price (screenplay, Peter S. Seaman (screenplay)",6.0,"Comedy, Family, Fantasy",Won 1 Oscar. Another 17 wins & 34 nominations.,PG,104 min,How the Grinch Stole Christmas,46,Ron Howard,movie,True
5706098371a0651ac0e51403,"Paul Sanchez, Lari White, Leonid Citer, David Allen Brooks",22 Dec 2000,http://ia.media-imdb.com/images/M/MV5BMTI2MDY0ODEwNF5BMl5BanBnXkFtZTYwMDI2NTk4._V1_SX300.jpg,"English, Russian",tt0162222,"233,630,478","381,976",USA,William Broyles Jr.,7.7,"Adventure, Drama, Romance",Nominated for 2 Oscars. Another 15 wins & 33 nominations.,PG-13,143 min,Cast Away,73,Robert Zemeckis,movie,True
5706098371a0651ac0e51404,"Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames",24 May 2000,http://ia.media-imdb.com/images/M/MV5BODI4Mzk0NDU0NF5BMl5BanBnXkFtZTcwNTczODQwNA@@._V1_SX300.jpg,English,tt0120755,,"233,472","USA, Germany","Bruce Geller, Ronald D. Moore (story, Brannon Braga (story, Robert Towne (screenplay)",6.1,"Action, Adventure, Thriller",10 wins & 18 nominations.,PG-13,123 min,Mission: Impossible II,59,John Woo,movie,True
5706098371a0651ac0e51405,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",05 May 2000,http://ia.media-imdb.com/images/M/MV5BMTgwMzQzNTQ1Ml5BMl5BanBnXkFtZTgwMDY2NTYxMTE@._V1_SX300.jpg,English,tt0172495,,"941,627","USA, UK","David Franzoni (story, David Franzoni (screenplay, John Logan (screenplay, William Nicholson (screenplay)",8.5,"Action, Drama",Won 5 Oscars. Another 53 wins & 101 nominations.,R,155 min,Gladiator,64,Ridley Scott,movie,True
5706098371a0651ac0e51406,"Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda",15 Dec 2000,http://ia.media-imdb.com/images/M/MV5BMjA2MzM0MTUwMF5BMl5BanBnXkFtZTgwMTgzOTgzMTE@._V1_SX300.jpg,"English, French",tt0207201,,"154,943",USA,"Josh Goldsmith (story, Cathy Yuspa (story, Diane Drake (story, Josh Goldsmith (screenplay, Cathy Yuspa (screenplay)",6.4,"Comedy, Fantasy, Romance",Nominated for 1 Golden Globe. Another 5 wins & 7 nominations.,PG-13,127 min,What Women Want,47,Nancy Meyers,movie,True
5706098371a0651ac0e51407,"George Clooney, Mark Wahlberg, Diane Lane, John C. Reilly",30 Jun 2000,http://ia.media-imdb.com/images/M/MV5BNzIwMTc0NTI0Nl5BMl5BanBnXkFtZTcwNTk4Mzc3Mw@@._V1_SX300.jpg,English,tt0177971,"182,618,434","130,165",USA,"Sebastian Junger (book, William D. Wittliff (screenplay)",6.4,"Action, Adventure, Drama",Nominated for 2 Oscars. Another 4 wins & 24 nominations.,PG-13,130 min,The Perfect Storm,59,Wolfgang Petersen,movie,True
5706098371a0651ac0e51408,"Robert De Niro, Ben Stiller, Teri Polo, Blythe Danner",06 Oct 2000,http://ia.media-imdb.com/images/M/MV5BMTc2NzYyMjc5NV5BMl5BanBnXkFtZTgwOTEwODMxMDE@._V1_SX300.jpg,"English, Thai, Spanish, Hebrew, French",tt0212338,,"253,964",USA,"Greg Glienna, Mary Ruth Clarke, Greg Glienna (story, Mary Ruth Clarke (story, Jim Herzfeld (screenplay, John Hamburg (screenplay)",7.0,Comedy,Nominated for 1 Oscar. Another 7 wins & 14 nominations.,PG-13,108 min,Meet the Parents,73,Jay Roach,movie,True
5706098371a0651ac0e51409,"Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen",14 Jul 2000,http://ia.media-imdb.com/images/M/MV5BOTU3MzA3ODYyM15BMl5BanBnXkFtZTgwMDgwNzc3NjE@._V1_SX300.jpg,English,tt0120903,,"435,060",USA,"Tom DeSanto (story, Bryan Singer (story, David Hayter (screenplay)",7.4,"Action, Adventure, Sci-Fi",13 wins & 26 nominations.,PG-13,104 min,X-Men,64,Bryan Singer,movie,True
5706098371a0651ac0e5140a,"Carmen Electra, Dave Sheridan, Frank B. Moore, Giacomo Baessato",07 Jul 2000,http://ia.media-imdb.com/images/M/MV5BMTYzMTI3NjQzM15BMl5BanBnXkFtZTcwOTkzMzMyMQ@@._V1_SX300.jpg,English,tt0175142,,"182,080",USA,"Shawn Wayans, Marlon Wayans, Buddy Johnson, Phil Beauman, Jason Friedberg, Aaron Seltzer",6.2,Comedy,7 wins & 5 nominations.,R,88 min,Scary Movie,48,Keenen Ivory Wayans,movie,True
5706098371a0651ac0e5140b,"Michelle Pfeiffer, Katharine Towne, Miranda Otto, James Remar",21 Jul 2000,http://ia.media-imdb.com/images/M/MV5BMzEwMTE4MDk2M15BMl5BanBnXkFtZTcwMjMyMDI5MQ@@._V1_SX300.jpg,English,tt0161081,,"96,532",USA,"Clark Gregg (screenplay, Sarah Kernochan (story, Clark Gregg (story)",6.6,"Drama, Fantasy, Horror",4 wins & 5 nominations.,PG-13,130 min,What Lies Beneath,51,Robert Zemeckis,movie,True
