_id,Director,Country,Response,imdbVotes,Poster,imdbID,Writer,Language,Genre,Actors,Released,Metascore,Rated,Box_office,Runtime,Awards,imdbRating,Title,Type
5706121771a06517740f8b16,Chris Columbus,"UK, USA",True,"427,890",http://ia.media-imdb.com/images/M/MV5BMTYwNTM5NDkzNV5BMl5BanBnXkFtZTYwODQ4MzY5._V1_SX300.jpg,tt0241527,"J.K. Rowling (novel, Steve Kloves (screenplay)",English,"Adventure, Family, Fantasy","Richard Harris, Maggie Smith, Robbie Coltrane, Saunders Triplets",16 Nov 2001,64,PG,"317,557,891",152 min,Nominated for 3 Oscars. Another 16 wins & 60 nominations.,7.5,Harry Potter and the Sorcerer's Stone,movie
5706121771a06517740f8b17,Peter Jackson,"New Zealand, USA",True,"1,201,277",http://ia.media-imdb.com/images/M/MV5BNTEyMjAwMDU1OV5BMl5BanBnXkFtZTcwNDQyNTkxMw@@._V1_SX300.jpg,tt0120737,"J.R.R. Tolkien (novel, Fran Walsh (screenplay, Philippa Boyens (screenplay, Peter Jackson (screenplay)","English, Sindarin","Adventure, Drama, Fantasy","Alan Howard, Noel Appleby, Sean Astin, Sala Baker",19 Dec 2001,92,PG-13,"36,116,967",178 min,Won 4 Oscars. Another 108 wins & 121 nominations.,8.8,The Lord of the Rings: The Fellowship of the Ring,movie
5706121771a06517740f8b18,"Andrew Adamson, Vicky Jenson",USA,True,"448,396",http://ia.media-imdb.com/images/M/MV5BMTk2NTE1NTE0M15BMl5BanBnXkFtZTgwNjY4NTYxMTE@._V1_SX300.jpg,tt0126029,"William Steig (book, Ted Elliott, Terry Rossio, Joe Stillman, Roger S.H. Schulman, Cody Cameron (additional dialogue, Chris Miller (additional dialogue, Conrad Vernon (additional dialogue)",English,"Animation, Adventure, Comedy","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow",18 May 2001,84,PG,"267,652,016",90 min,Won 1 Oscar. Another 36 wins & 59 nominations.,7.9,Shrek,movie
5706121771a06517740f8b19,"Pete Docter, David Silverman, Lee Unkrich",USA,True,"555,364",http://ia.media-imdb.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_SX300.jpg,tt0198781,"Pete Docter (original story by, Jill Culton (original story by, Jeff Pidgeon (original story by, Ralph Eggleston (original story by, Andrew Stanton (screenplay, Daniel Gerson (screenplay)",English,"Animation, Adventure, Comedy","John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi",02 Nov 2001,78,G,"289,907,418",92 min,Won 1 Oscar. Another 13 wins & 38 nominations.,8.1,"Monsters, Inc.",movie
5706121771a06517740f8b1a,Brett Ratner,"USA, Hong Kong",True,"155,532",http://ia.media-imdb.com/images/M/MV5BMjExMzc0Nzk2M15BMl5BanBnXkFtZTcwMTQ1MzkxMQ@@._V1_SX300.jpg,tt0266915,"Ross LaManna (characters, Jeff Nathanson","English, Mandarin, Cantonese","Action, Comedy, Crime","Jackie Chan, Chris Tucker, John Lone, Ziyi Zhang",03 Aug 2001,48,PG-13,"8,601,812",90 min,10 wins & 22 nominations.,6.6,Rush Hour 2,movie
5706121771a06517740f8b1b,Stephen Sommers,USA,True,"241,380",http://ia.media-imdb.com/images/M/MV5BMjE2NzU1NTk2MV5BMl5BanBnXkFtZTgwMjIwMzcxMTE@._V1_SX300.jpg,tt0209163,Stephen Sommers,"English, Arabic","Action, Adventure, Fantasy","Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",04 May 2001,48,PG-13,"202,007,640",130 min,4 wins & 16 nominations.,6.3,The Mummy Returns,movie
5706121771a06517740f8b1c,Michael Bay,USA,True,"246,291",http://ia.media-imdb.com/images/M/MV5BMTQ3MDc0MDc1NF5BMl5BanBnXkFtZTYwODI1ODY2._V1_SX300.jpg,tt0213149,Randall Wallace,"English, Japanese, French","Action, Drama, History","Ben Affleck, Josh Hartnett, Kate Beckinsale, William Lee Scott",25 May 2001,44,PG-13,"198,539,855",183 min,Won 1 Oscar. Another 10 wins & 48 nominations.,6.0,Pearl Harbor,movie
5706121771a06517740f8b1d,Steven Soderbergh,USA,True,"388,933",http://ia.media-imdb.com/images/M/MV5BMTY0Mzg4MzgwN15BMl5BanBnXkFtZTgwNDk0MzkxMDE@._V1_SX300.jpg,tt0240772,"George Clayton Johnson, Jack Golden Russell, Harry Brown, Charles Lederer, Ted Griffin (screenplay)","English, Italian, Cantonese","Crime, Thriller","George Clooney, Cecelia Ann Birt, Paul L. Nolan, Carol Florence",07 Dec 2001,74,PG-13,"183,405,771",116 min,4 wins & 20 nominations.,7.8,Ocean's Eleven,movie
5706121771a06517740f8b1e,Joe Johnston,USA,True,"209,797",http://ia.media-imdb.com/images/M/MV5BMjA2NzAyMDgyM15BMl5BanBnXkFtZTYwOTQ5Mjg5._V1_SX300.jpg,tt0163025,"Michael Crichton (characters, Peter Buchman, Alexander Payne, Jim Taylor","English, Spanish","Action, Adventure, Sci-Fi","Sam Neill, William H. Macy, Téa Leoni, Alessandro Nivola",18 Jul 2001,42,PG-13,"181,166,115",92 min,5 wins & 11 nominations.,5.9,Jurassic Park III,movie
5706121771a06517740f8b1f,Ron Howard,USA,True,"587,831",http://ia.media-imdb.com/images/M/MV5BMTQ4MDI2MzkwMl5BMl5BanBnXkFtZTYwMjk0NTA5._V1_SX300.jpg,tt0268978,"Akiva Goldsman, Sylvia Nasar (book)",English,"Biography, Drama","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer",04 Jan 2002,72,PG-13,"170,708,996",135 min,Won 4 Oscars. Another 32 wins & 63 nominations.,8.2,A Beautiful Mind,movie
5706121771a06517740f8b20,Ridley Scott,"USA, UK",True,"204,463",http://ia.media-imdb.com/images/M/MV5BMjA1MDcwNjkwOF5BMl5BanBnXkFtZTgwNjcxNTYxMTE@._V1_SX300.jpg,tt0212985,"Thomas Harris (novel, David Mamet (screenplay, Steven Zaillian (screenplay)","English, Italian, Japanese","Crime, Drama, Thriller","Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta",09 Feb 2001,57,R,"165,091,464",131 min,7 wins & 15 nominations.,6.8,Hannibal,movie
5706121771a06517740f8b21,J.B. Rogers,USA,True,"195,120",http://ia.media-imdb.com/images/M/MV5BMTc0Mzc1ODI0MV5BMl5BanBnXkFtZTYwMjA0ODc5._V1_SX300.jpg,tt0252866,"Adam Herz (characters, David H. Steinberg (story, Adam Herz (story, Adam Herz (screenplay)",English,"Comedy, Romance","Jason Biggs, Shannon Elizabeth, Alyson Hannigan, Chris Klein",10 Aug 2001,43,R,"102,247,810",108 min,8 wins & 4 nominations.,6.4,American Pie 2,movie
5706121771a06517740f8b22,Rob Cohen,"USA, Germany",True,"263,045",http://ia.media-imdb.com/images/M/MV5BMjAwNTQ0Nzc2M15BMl5BanBnXkFtZTcwNTk1MDIwNA@@._V1_SX300.jpg,tt0232500,Ken Li (magazine article \,English,"Action, Crime, Thriller","Paul Walker, Vin Diesel, Michelle Rodriguez, Jordana Brewster",22 Jun 2001,58,PG-13,"799,647",106 min,9 wins & 12 nominations.,6.7,The Fast and the Furious,movie
5706121771a06517740f8b23,Simon West,"USA, UK, Japan, Germany",True,"152,910",http://ia.media-imdb.com/images/M/MV5BNzgwMDcwNzk1NV5BMl5BanBnXkFtZTYwNzY2OTY5._V1_SX300.jpg,tt0146316,"Sara B. Cooper (story, Mike Werb (story, Michael Colleary (story, Simon West (adaptation, Patrick Massett (screenplay, John Zinman (screenplay)",English,"Action, Adventure, Fantasy","Angelina Jolie, Jon Voight, Iain Glen, Noah Taylor",15 Jun 2001,33,PG-13,"2,355,719",100 min,3 wins & 15 nominations.,5.7,Lara Croft: Tomb Raider,movie
5706121771a06517740f8b24,Steve Carr,USA,True,"33,042",http://ia.media-imdb.com/images/M/MV5BMjEzOTczNTM5OV5BMl5BanBnXkFtZTYwNTAxMzg5._V1_SX300.jpg,tt0240462,"Hugh Lofting (Doctor Dolittle stories, Larry Levin",English,"Comedy, Family, Fantasy","Eddie Murphy, Kristen Wilson, Raven-Symoné, Kyla Pratt",22 Jun 2001,49,PG,"112,950,721",87 min,2 wins & 6 nominations.,4.6,Dr. Dolittle 2,movie
5706121771a06517740f8b25,Robert Rodriguez,USA,True,"81,544",http://ia.media-imdb.com/images/M/MV5BMTczMDE0NDY5M15BMl5BanBnXkFtZTcwOTg4NDgxMQ@@._V1_SX300.jpg,tt0227538,Robert Rodriguez,"English, Spanish","Action, Adventure, Comedy","Antonio Banderas, Carla Gugino, Alexa PenaVega, Daryl Sabara",30 Mar 2001,71,PG,"112,692,062",88 min,2 wins & 10 nominations.,5.4,Spy Kids,movie
5706121771a06517740f8b26,Ridley Scott,"USA, UK",True,"284,766",http://ia.media-imdb.com/images/M/MV5BMTQxODgzMjYyN15BMl5BanBnXkFtZTgwNDU4NTYxMTE@._V1_SX300.jpg,tt0265086,"Mark Bowden (book, Ken Nolan (screenplay)","English, Somali","Drama, History, War","Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana",18 Jan 2002,74,R,"976,530",144 min,Won 2 Oscars. Another 7 wins & 37 nominations.,7.7,Black Hawk Down,movie
5706121771a06517740f8b27,Garry Marshall,USA,True,"89,263",http://ia.media-imdb.com/images/M/MV5BMTI4NjgxODE3MV5BMl5BanBnXkFtZTYwNjMyMjU5._V1_SX300.jpg,tt0247638,"Meg Cabot (novel, Gina Wendkos (screenplay)","English, Dutch, Italian","Comedy, Family, Romance","Julie Andrews, Anne Hathaway, Hector Elizondo, Heather Matarazzo",03 Aug 2001,52,G,,115 min,2 wins & 11 nominations.,6.2,The Princess Diaries,movie
5706121771a06517740f8b28,Cameron Crowe,"USA, Spain",True,"202,750",http://ia.media-imdb.com/images/M/MV5BMTQ2OTQ4NDAzMV5BMl5BanBnXkFtZTcwNjYxNDI4OA@@._V1_SX300.jpg,tt0259711,Alejandro Amenábar (film \,"English, Spanish","Fantasy, Mystery, Romance","Tom Cruise, Penélope Cruz, Cameron Diaz, Kurt Russell",14 Dec 2001,45,R,"100,614,858",136 min,Nominated for 1 Oscar. Another 4 wins & 31 nominations.,6.9,Vanilla Sky,movie
5706121771a06517740f8b29,Alejandro Amenábar,"USA, Spain, France, Italy",True,"261,169",http://ia.media-imdb.com/images/M/MV5BMTAxMDE4Mzc3ODNeQTJeQWpwZ15BbWU4MDY2Mjg4MDcx._V1_SX300.jpg,tt0230600,Alejandro Amenábar,"English, French","Fantasy, Horror, Thriller","Nicole Kidman, Fionnula Flanagan, Christopher Eccleston, Alakina Mann",10 Aug 2001,74,PG-13,"61,291,152",104 min,Nominated for 1 Golden Globe. Another 28 wins & 50 nominations.,7.6,The Others,movie
5706121771a06517740f8b2a,Robert Luketic,USA,True,"125,894",http://ia.media-imdb.com/images/M/MV5BNTEyNjUwMTkxMV5BMl5BanBnXkFtZTcwNjk0NDk0NA@@._V1_SX300.jpg,tt0250494,"Amanda Brown (novel, Karen McCullah (screenplay, Kirsten Smith (screenplay)",English,"Comedy, Romance","Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis",13 Jul 2001,59,PG-13,"953,084",96 min,Nominated for 2 Golden Globes. Another 6 wins & 10 nominations.,6.2,Legally Blonde,movie
