_id,Box_office,Director,Country,imdbID,Poster,Metascore,Language,Writer,imdbVotes,Runtime,Response,Title,Genre,Type,Actors,Awards,imdbRating,Rated,Released
5706184271a0651b24d641b2,"15,917,016",Sam Raimi,USA,tt0145487,http://ia.media-imdb.com/images/M/MV5BMzk3MTE5MDU5NV5BMl5BanBnXkFtZTYwMjY3NTY3._V1_SX300.jpg,73,English,"Stan Lee (Marvel comic book, Steve Ditko (Marvel comic book, David Koepp (screenplay)","523,666",121 min,True,Spider-Man,"Action, Adventure",movie,"Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco",Nominated for 2 Oscars. Another 14 wins & 54 nominations.,7.3,PG-13,03 May 2002
5706184271a0651b24d641b3,"49,935,319",Peter Jackson,"USA, New Zealand",tt0167261,http://ia.media-imdb.com/images/M/MV5BMTAyNDU0NjY4NTheQTJeQWpwZ15BbWU2MDk4MTY2Nw@@._V1_SX300.jpg,88,"English, Sindarin, Old English","J.R.R. Tolkien (novel, Fran Walsh (screenplay, Philippa Boyens (screenplay, Stephen Sinclair (screenplay, Peter Jackson (screenplay)","1,061,460",179 min,True,The Lord of the Rings: The Two Towers,"Action, Adventure, Drama",movie,"Bruce Allpress, Sean Astin, John Bach, Sala Baker",Won 2 Oscars. Another 114 wins & 126 nominations.,8.7,PG-13,18 Dec 2002
5706184271a0651b24d641b4,"310,675,583",George Lucas,USA,tt0121765,http://ia.media-imdb.com/images/M/MV5BMTY5MjI5NTIwNl5BMl5BanBnXkFtZTYwMTM1Njg2._V1_SX300.jpg,54,English,"George Lucas (screenplay, Jonathan Hales (screenplay, George Lucas (story)","449,355",142 min,True,Star Wars: Episode II - Attack of the Clones,"Action, Adventure, Fantasy",movie,"Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee",Nominated for 1 Oscar. Another 13 wins & 53 nominations.,6.7,PG,16 May 2002
5706184271a0651b24d641b5,"261,970,615",Chris Columbus,"UK, USA, Germany",tt0295297,http://ia.media-imdb.com/images/M/MV5BMTcxODgwMDkxNV5BMl5BanBnXkFtZTYwMDk2MDg3._V1_SX300.jpg,63,English,"J.K. Rowling (novel, Steve Kloves (screenplay)","373,701",161 min,True,Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy",movie,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Griffiths",Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,7.4,PG,15 Nov 2002
5706184271a0651b24d641b6,"1,680,732",Joel Zwick,"USA, Canada",tt0259446,http://ia.media-imdb.com/images/M/MV5BMTg2MzY0NDM1Ml5BMl5BanBnXkFtZTYwNzUzNDg5._V1_SX300.jpg,62,"English, Greek",Nia Vardalos,"95,556",95 min,True,My Big Fat Greek Wedding,"Comedy, Romance",movie,"Nia Vardalos, Michael Constantine, Christina Eleusiniotis, Kaylee Vieira",Nominated for 1 Oscar. Another 20 wins & 27 nominations.,6.6,PG,02 Aug 2002
5706184271a0651b24d641b7,"227,965,690",M. Night Shyamalan,USA,tt0286106,http://ia.media-imdb.com/images/M/MV5BNDUwMDUyMDAyNF5BMl5BanBnXkFtZTYwMDQ3NzM3._V1_SX300.jpg,59,"English, Portuguese",M. Night Shyamalan,"266,105",106 min,True,Signs,"Drama, Sci-Fi, Thriller",movie,"Mel Gibson, Joaquin Phoenix, Rory Culkin, Abigail Breslin",3 wins & 30 nominations.,6.7,PG-13,02 Aug 2002
5706184271a0651b24d641b8,"461,193",Jay Roach,USA,tt0295178,http://ia.media-imdb.com/images/M/MV5BMTkzNTk3Mzk1MF5BMl5BanBnXkFtZTYwMzM5NDA5._V1_SX300.jpg,62,"English, Japanese, German, French","Mike Myers, Michael McCullers, Mike Myers (characters created by)","158,815",94 min,True,Austin Powers in Goldmember,"Action, Comedy, Crime",movie,"Mike Myers, Beyoncé Knowles, Seth Green, Michael York",5 wins & 21 nominations.,6.2,PG-13,26 Jul 2002
5706184271a0651b24d641b9,,Barry Sonnenfeld,USA,tt0120912,http://ia.media-imdb.com/images/M/MV5BMTMxNDA0NTMxMV5BMl5BanBnXkFtZTYwMDE2NzY2._V1_SX300.jpg,49,English,Lowell Cunningham (comic book \,"260,988",88 min,True,Men in Black II,"Action, Adventure, Comedy",movie,"Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle",3 wins & 10 nominations.,6.1,PG-13,03 Jul 2002
5706184271a0651b24d641ba,"4,158,805","Chris Wedge, Carlos Saldanha",USA,tt0268380,http://ia.media-imdb.com/images/M/MV5BMjEyNzI1ODA0MF5BMl5BanBnXkFtZTYwODIxODY3._V1_SX300.jpg,60,"English, Croatian","Michael J. Wilson (story, Michael Berg (screenplay, Michael J. Wilson (screenplay, Peter Ackerman (screenplay, James Bresnahan (additional story, Doug Compton (additional story, Mike Thurmeier (additional story, Jeff Siergey (additional story, Galen T. Chu (additional story, Xeth Feinberg (additional story)","314,165",81 min,True,Ice Age,"Animation, Adventure, Comedy",movie,"Ray Romano, John Leguizamo, Denis Leary, Goran Visnjic",Nominated for 1 Oscar. Another 5 wins & 28 nominations.,7.6,PG,15 Mar 2002
5706184271a0651b24d641bb,"170,684,505",Rob Marshall,"USA, Germany, Canada",tt0299658,http://ia.media-imdb.com/images/M/MV5BMTIyMTg1MzMzNl5BMl5BanBnXkFtZTYwMDU0NTk5._V1_SX300.jpg,82,"English, Hungarian","Bill Condon (screenplay, Bob Fosse (book, Fred Ebb (book, Maurine Dallas Watkins (play)","168,004",113 min,True,Chicago,"Comedy, Crime, Musical",movie,"Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger",Won 6 Oscars. Another 49 wins & 116 nominations.,7.2,PG-13,24 Jan 2003
