_id,imdbVotes,Language,Rated,Type,Awards,Director,Metascore,Actors,imdbID,Box_office,Genre,Title,Runtime,Country,imdbRating,Writer,Poster,Response,Released
570628e471a0651484e0b5cb,"1,173,526","English, Quenya, Old English, Sindarin",PG-13,movie,Won 11 Oscars. Another 170 wins & 112 nominations.,Peter Jackson,94,"Noel Appleby, Ali Astin, Sean Astin, David Aston",tt0167260,"377,019,252","Adventure, Drama, Fantasy",The Lord of the Rings: The Return of the King,201 min,"USA, New Zealand",8.9,"J.R.R. Tolkien (novel, Fran Walsh (screenplay, Philippa Boyens (screenplay, Peter Jackson (screenplay)",http://ia.media-imdb.com/images/M/MV5BMjE4MjA1NTAyMV5BMl5BanBnXkFtZTcwNzM1NDQyMQ@@._V1_SX300.jpg,True,17 Dec 2003
570628e471a0651484e0b5cc,"653,218",English,G,movie,Won 1 Oscar. Another 44 wins & 56 nominations.,"Andrew Stanton, Lee Unkrich",90,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe",tt0266543,"380,838,870","Animation, Adventure, Comedy",Finding Nemo,100 min,USA,8.1,"Andrew Stanton (original story by, Andrew Stanton (screenplay, Bob Peterson (screenplay, David Reynolds (screenplay)",http://ia.media-imdb.com/images/M/MV5BMTY1MTg1NDAxOV5BMl5BanBnXkFtZTcwMjg1MDI5Nw@@._V1_SX300.jpg,True,30 May 2003
570628e471a0651484e0b5cd,"785,039",English,PG-13,movie,Nominated for 5 Oscars. Another 31 wins & 86 nominations.,Gore Verbinski,63,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",tt0325980,"305,388,685","Action, Adventure, Fantasy",Pirates of the Caribbean: The Curse of the Black Pearl,143 min,USA,8.1,"Ted Elliott (screen story, Terry Rossio (screen story, Stuart Beattie (screen story, Jay Wolpert (screen story, Ted Elliott (screenplay, Terry Rossio (screenplay)",http://ia.media-imdb.com/images/M/MV5BMjAyNDM4MTc2N15BMl5BanBnXkFtZTYwNDk0Mjc3._V1_SX300.jpg,True,09 Jul 2003
570628e471a0651484e0b5ce,"411,966","English, French",R,movie,5 wins & 23 nominations.,"Lana Wachowski, Lilly Wachowski",62,"Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu",tt0234215,"281,492,479","Action, Sci-Fi",The Matrix Reloaded,138 min,"USA, Australia",7.2,"Lilly Wachowski, Lana Wachowski, Lilly Wachowski (characters, Lana Wachowski (characters)",http://ia.media-imdb.com/images/M/MV5BMjA0NDM5MDY2OF5BMl5BanBnXkFtZTcwNzg5OTEzMw@@._V1_SX300.jpg,True,15 May 2003
570628e471a0651484e0b5cf,"287,265","English, Spanish",PG-13,movie,7 wins & 7 nominations.,Tom Shadyac,46,"Jim Carrey, Morgan Freeman, Jennifer Aniston, Philip Baker Hall",tt0315327,"3,408,154","Comedy, Drama, Fantasy",Bruce Almighty,101 min,USA,6.7,"Steve Koren (story, Mark O'Keefe (story, Steve Koren (screenplay, Mark O'Keefe (screenplay, Steve Oedekerk (screenplay)",http://ia.media-imdb.com/images/M/MV5BMTYwMTUyNzAxMF5BMl5BanBnXkFtZTYwMDYwOTY3._V1_SX300.jpg,True,23 May 2003
570628e471a0651484e0b5d0,"144,715",English,PG,movie,2 wins & 7 nominations.,Jon Favreau,64,"Will Ferrell, James Caan, Bob Newhart, Edward Asner",tt0319343,"173,381,405","Comedy, Family, Fantasy",Elf,97 min,"USA, Germany",6.9,David Berenbaum,http://ia.media-imdb.com/images/M/MV5BNjY1NjQ3NDY5MF5BMl5BanBnXkFtZTYwODAyMTc3._V1_SX300.jpg,True,07 Nov 2003
570628e471a0651484e0b5d1,"295,666",English,R,movie,2 wins & 17 nominations.,Jonathan Mostow,66,"Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken",tt0181852,"150,350,192","Action, Sci-Fi",Terminator 3: Rise of the Machines,109 min,"USA, Germany, UK",6.4,"James Cameron (characters, Gale Anne Hurd (characters, John D. Brancato (story, Michael Ferris (story, Tedi Sarafian (story, John D. Brancato (screenplay, Michael Ferris (screenplay)",http://ia.media-imdb.com/images/M/MV5BMTk5NzM1ODgyN15BMl5BanBnXkFtZTcwMzA5MjAzMw@@._V1_SX300.jpg,True,02 Jul 2003
570628e471a0651484e0b5d2,"356,304","English, French",R,movie,1 win & 22 nominations.,"Lana Wachowski, Lilly Wachowski",47,"Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan",tt0242653,"139,259,759","Action, Sci-Fi",The Matrix Revolutions,129 min,"Australia, USA",6.7,"Lilly Wachowski, Lana Wachowski, Lilly Wachowski (characters, Lana Wachowski (characters)",http://ia.media-imdb.com/images/M/MV5BMTkyNjc4NTQzOV5BMl5BanBnXkFtZTcwNDYzMTQyMQ@@._V1_SX300.jpg,True,05 Nov 2003
570628e471a0651484e0b5d3,"73,019",English,PG,movie,2 wins & 7 nominations.,Shawn Levy,46,"Steve Martin, Bonnie Hunt, Piper Perabo, Tom Welling",tt0349205,"138,614,544","Comedy, Family",Cheaper by the Dozen,98 min,USA,5.8,"Frank B. Gilbreth Jr. (novel, Ernestine Gilbreth Carey (novel, Craig Titley (screen story, Sam Harper (screenplay, Joel Cohen (screenplay, Alec Sokolow (screenplay)",http://ia.media-imdb.com/images/M/MV5BMTg0NzYxMjY0Ml5BMl5BanBnXkFtZTcwOTU0NDczMw@@._V1_SX300.jpg,True,25 Dec 2003
570628e471a0651484e0b5d4,"173,930","English, Spanish",R,movie,5 wins & 12 nominations.,Michael Bay,38,"Martin Lawrence, Will Smith, Jordi Mollà, Gabrielle Union",tt0172156,"4,368,957","Action, Comedy, Crime",Bad Boys II,147 min,USA,6.6,"George Gallo (characters, Marianne Wibberley (story, Cormac Wibberley (story, Ron Shelton (story, Ron Shelton (screenplay, Jerry Stahl (screenplay)",http://ia.media-imdb.com/images/M/MV5BMTI4Mjc2OTE4MV5BMl5BanBnXkFtZTYwNTE3NDY3._V1_SX300.jpg,True,18 Jul 2003
