_id,Type,Awards,imdbRating,Response,Title,Box_office,Released,Metascore,Country,Actors,Rated,Language,Director,imdbID,Writer,Runtime,Genre,Poster,imdbVotes
5706ffab71a0651644a2f227,movie,Nominated for 2 Oscars. Another 15 wins & 47 nominations.,7.2,True,Shrek 2,"210,983,909",19 May 2004,75,USA,"Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews",PG,English,"Andrew Adamson, Kelly Asbury, Conrad Vernon",tt0298148,"William Steig (book, Andrew Adamson (story, Andrew Adamson (screenplay, Joe Stillman (screenplay, J. David Stem (screenplay, David N. Weiss (screenplay, Cody Cameron (additional dialogue, Walt Dohrn (additional dialogue, Chris Miller (additional dialogue, David P. Smith (additional dialogue, Conrad Vernon (additional dialogue, Charles Perrault (characters, Jeff Snow (story)",93 min,"Animation, Adventure, Comedy",http://ia.media-imdb.com/images/M/MV5BMTk4MTMwNjI4M15BMl5BanBnXkFtZTcwMjExMzUyMQ@@._V1_SX300.jpg,"302,787"
5706ffab71a0651644a2f228,movie,Won 1 Oscar. Another 23 wins & 51 nominations.,7.3,True,Spider-Man 2,"373,377,893",30 Jun 2004,83,USA,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina",PG-13,"English, Russian, Chinese",Sam Raimi,tt0316654,"Stan Lee (comic book, Steve Ditko (comic book, Alfred Gough (screen story, Miles Millar (screen story, Michael Chabon (screen story, Alvin Sargent (screenplay)",127 min,"Action, Adventure, Fantasy",http://ia.media-imdb.com/images/M/MV5BMjE0Njc1NDYzN15BMl5BanBnXkFtZTcwNjAxMzYyMQ@@._V1_SX300.jpg,"392,320"
5706ffab71a0651644a2f229,movie,Nominated for 3 Oscars. Another 23 wins & 20 nominations.,7.1,True,The Passion of the Christ,"499,263",25 Feb 2004,47,USA,"Jim Caviezel, Maia Morgenstern, Christo Jivkov, Francesco De Vito",R,"Aramaic, Latin, Hebrew",Mel Gibson,tt0335345,"Benedict Fitzgerald (screenplay, Mel Gibson (screenplay)",127 min,Drama,http://ia.media-imdb.com/images/M/MV5BMTY2NDY5NDAwMV5BMl5BanBnXkFtZTcwMTcwMDUyMQ@@._V1_SX300.jpg,"174,969"
5706ffab71a0651644a2f22a,movie,2 wins & 6 nominations.,6.3,True,Meet the Fockers,"279,167,575",22 Dec 2004,41,USA,"Robert De Niro, Ben Stiller, Dustin Hoffman, Barbra Streisand",PG-13,"English, Spanish, Hebrew",Jay Roach,tt0290002,"Greg Glienna (characters, Mary Ruth Clarke (characters, Jim Herzfeld (story, Marc Hyman (story, Jim Herzfeld (screenplay, John Hamburg (screenplay)",115 min,"Comedy, Romance",http://ia.media-imdb.com/images/M/MV5BNjcyNTIxMTM4NV5BMl5BanBnXkFtZTcwMzIyNjcyMQ@@._V1_SX300.jpg,"206,035"
5706ffab71a0651644a2f22b,movie,Won 2 Oscars. Another 59 wins & 52 nominations.,8.0,True,The Incredibles,"261,437,578",05 Nov 2004,90,USA,"Craig T. Nelson, Holly Hunter, Samuel L. Jackson, Jason Lee",PG,"English, French",Brad Bird,tt0317705,Brad Bird,115 min,"Animation, Action, Adventure",http://ia.media-imdb.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1_SX300.jpg,"458,766"
5706ffab71a0651644a2f22c,movie,Nominated for 2 Oscars. Another 13 wins & 41 nominations.,7.8,True,Harry Potter and the Prisoner of Azkaban,"249,358,727",04 Jun 2004,82,"UK, USA","Daniel Radcliffe, Richard Griffiths, Pam Ferris, Fiona Shaw",PG,English,Alfonso Cuarón,tt0304141,"J.K. Rowling (novel, Steve Kloves (screenplay)",142 min,"Adventure, Family, Fantasy",http://ia.media-imdb.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_SX300.jpg,"366,804"
5706ffab71a0651644a2f22d,movie,Won 1 BAFTA Film Award. Another 5 wins & 11 nominations.,6.4,True,The Day After Tomorrow,"186,739,919",28 May 2004,47,USA,"Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok",PG-13,"English, Japanese, French, Arabic, Spanish",Roland Emmerich,tt0319262,"Roland Emmerich (story, Roland Emmerich (screenplay, Jeffrey Nachmanoff (screenplay)",124 min,"Action, Adventure, Sci-Fi",http://ia.media-imdb.com/images/M/MV5BMTU1NTA3NzMwOV5BMl5BanBnXkFtZTcwNzEzMTEzMw@@._V1_SX300.jpg,"321,854"
5706ffab71a0651644a2f22e,movie,5 wins & 21 nominations.,7.8,True,The Bourne Supremacy,"4,138,339",23 Jul 2004,73,"USA, Germany","Matt Damon, Franka Potente, Brian Cox, Julia Stiles",PG-13,"English, Russian, German, Italian",Paul Greengrass,tt0372183,"Robert Ludlum (novel, Tony Gilroy (screenplay)",108 min,"Action, Thriller",http://ia.media-imdb.com/images/M/MV5BMTAxODk0MjEyMjZeQTJeQWpwZ15BbWU2MDgzMzExNw@@._V1_SX300.jpg,"332,824"
5706ffab71a0651644a2f22f,movie,1 win & 9 nominations.,6.9,True,National Treasure,"173,005,002",19 Nov 2004,39,USA,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean",PG,"English, Spanish",Jon Turteltaub,tt0368891,"Jim Kouf (screenplay, Cormac Wibberley (screenplay, Marianne Wibberley (screenplay, Jim Kouf (story, Oren Aviv (story, Charles Segars (story)",131 min,"Action, Adventure, Mystery",http://ia.media-imdb.com/images/M/MV5BMTY3NTc4OTYxMF5BMl5BanBnXkFtZTcwMjk5NzUyMw@@._V1_SX300.jpg,"249,013"
5706ffab71a0651644a2f230,movie,Nominated for 3 Oscars. Another 5 wins & 21 nominations.,6.6,True,The Polar Express,"665,426",10 Nov 2004,61,USA,"Tom Hanks, Leslie Zemeckis, Eddie Deezen, Nona Gaye",G,English,Robert Zemeckis,tt0338348,"Chris Van Allsburg (book, Robert Zemeckis (screenplay, William Broyles Jr. (screenplay)",100 min,"Animation, Adventure, Family",http://ia.media-imdb.com/images/M/MV5BMTM1NTU0NTE4MV5BMl5BanBnXkFtZTcwMTQ0MjEzMw@@._V1_SX300.jpg,"118,158"
