_id,Type,Genre,Runtime,Response,Metascore,Released,Rated,Title,imdbVotes,Country,Awards,imdbRating,Box_office,Poster,Language,Actors,Director,Writer,imdbID
57070b7471a06507080fa443,movie,"Action, Adventure, Fantasy",140 min,True,68,19 May 2005,PG-13,Star Wars: Episode III - Revenge of the Sith,"499,202",USA,Nominated for 1 Oscar. Another 22 wins & 49 nominations.,7.6,"380,262,555",http://ia.media-imdb.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_SX300.jpg,English,"Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid",George Lucas,George Lucas,tt0121766
57070b7471a06507080fa444,movie,"Adventure, Family, Fantasy",143 min,True,75,09 Dec 2005,PG,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","276,710","USA, UK",Won 1 Oscar. Another 14 wins & 43 nominations.,6.9,"291,709,845",http://ia.media-imdb.com/images/M/MV5BMTc0NTUwMTU5OV5BMl5BanBnXkFtZTcwNjAwNzQzMw@@._V1_SX300.jpg,"English, German","Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell",Andrew Adamson,"Ann Peacock (screenplay, Andrew Adamson (screenplay, Christopher Markus (screenplay, Stephen McFeely (screenplay, C.S. Lewis (book)",tt0363771
57070b7471a06507080fa445,movie,"Adventure, Family, Fantasy",157 min,True,81,18 Nov 2005,PG-13,Harry Potter and the Goblet of Fire,"371,012","UK, USA",Nominated for 1 Oscar. Another 11 wins & 40 nominations.,7.6,"289,994,397",http://ia.media-imdb.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_SX300.jpg,"English, French","Eric Sykes, Timothy Spall, David Tennant, Daniel Radcliffe",Mike Newell,"Steve Kloves (screenplay, J.K. Rowling (novel)",tt0330373
57070b7471a06507080fa446,movie,"Adventure, Sci-Fi, Thriller",116 min,True,73,29 Jun 2005,PG-13,War of the Worlds,"324,395",USA,Nominated for 3 Oscars. Another 13 wins & 39 nominations.,6.5,"234,277,056",http://ia.media-imdb.com/images/M/MV5BNDUyODAzNDI1Nl5BMl5BanBnXkFtZTcwMDA2NDAzMw@@._V1_SX300.jpg,English,"Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin",Steven Spielberg,"Josh Friedman (screenplay, David Koepp (screenplay, H.G. Wells (novel)",tt0407304
57070b7471a06507080fa447,movie,"Action, Adventure, Drama",187 min,True,81,14 Dec 2005,PG-13,King Kong,"308,027","New Zealand, USA, Germany",Won 3 Oscars. Another 41 wins & 89 nominations.,7.2,"218,051,260",http://ia.media-imdb.com/images/M/MV5BMTgzODQwNjAwOV5BMl5BanBnXkFtZTcwMDA4MDA0MQ@@._V1_SX300.jpg,English,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann",Peter Jackson,"Fran Walsh (screenplay, Philippa Boyens (screenplay, Peter Jackson (screenplay, Merian C. Cooper (based on a story by, Edgar Wallace (based on a story by)",tt0360717
57070b7471a06507080fa448,movie,"Comedy, Romance",119 min,True,64,15 Jul 2005,R,Wedding Crashers,"273,402",USA,11 wins & 11 nominations.,7.0,"268,156",http://ia.media-imdb.com/images/M/MV5BMTc4NTUyNzU4MV5BMl5BanBnXkFtZTcwMzcyMTkyMQ@@._V1_SX300.jpg,English,"Owen Wilson, Vince Vaughn, Christopher Walken, Rachel McAdams",David Dobkin,"Steve Faber, Bob Fisher",tt0396269
57070b7471a06507080fa449,movie,"Adventure, Comedy, Family",115 min,True,72,15 Jul 2005,PG,Charlie and the Chocolate Factory,"307,622","USA, UK, Australia",Nominated for 1 Oscar. Another 13 wins & 43 nominations.,6.7,"206,456,431",http://ia.media-imdb.com/images/M/MV5BNjcxMjg1Njg2NF5BMl5BanBnXkFtZTcwMjQ4NzMzMw@@._V1_SX300.jpg,English,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter",Tim Burton,"Roald Dahl (book, John August (screenplay)",tt0367594
57070b7471a06507080fa44a,movie,"Action, Adventure",140 min,True,70,15 Jun 2005,PG-13,Batman Begins,"930,055","USA, UK",Nominated for 1 Oscar. Another 15 wins & 64 nominations.,8.3,"205,343,774",http://ia.media-imdb.com/images/M/MV5BNTM3OTc0MzM2OV5BMl5BanBnXkFtZTYwNzUwMTI3._V1_SX300.jpg,"English, Urdu, Mandarin","Christian Bale, Michael Caine, Liam Neeson, Katie Holmes",Christopher Nolan,"Bob Kane (characters, David S. Goyer (story, Christopher Nolan (screenplay, David S. Goyer (screenplay)",tt0372784
57070b7471a06507080fa44b,movie,"Animation, Adventure, Comedy",86 min,True,57,27 May 2005,PG,Madagascar,"255,268",USA,4 wins & 28 nominations.,6.9,"193,136,719",http://ia.media-imdb.com/images/M/MV5BMTY4NDUwMzQxMF5BMl5BanBnXkFtZTcwMDgwNjgyMQ@@._V1_SX300.jpg,"English, Portuguese, Spanish, German, French","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith","Eric Darnell, Tom McGrath","Mark Burton, Billy Frolick, Eric Darnell, Tom McGrath",tt0351283
57070b7471a06507080fa44c,movie,"Action, Comedy, Crime",120 min,True,55,10 Jun 2005,PG-13,Mr. & Mrs. Smith,"335,966",USA,9 wins & 18 nominations.,6.5,"186,336,103",http://ia.media-imdb.com/images/M/MV5BMTUxMzcxNzQzOF5BMl5BanBnXkFtZTcwMzQxNjUyMw@@._V1_SX300.jpg,"English, Spanish","Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody",Doug Liman,Simon Kinberg,tt0356910
