_id,Title,Awards,Metascore,Country,Runtime,Rated,Director,imdbID,imdbVotes,Language,Actors,Poster,Type,Writer,Genre,Response,Released,imdbRating,Box_office
5707157a71a065165c8c39e2,Pirates of the Caribbean: Dead Man's Chest,Won 1 Oscar. Another 42 wins & 50 nominations.,53,USA,151 min,PG-13,Gore Verbinski,tt0383574,"503,870","English, Turkish, Greek, Mandarin, French","Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",http://ia.media-imdb.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_SX300.jpg,movie,"Ted Elliott, Terry Rossio, Ted Elliott (characters, Terry Rossio (characters, Stuart Beattie (characters, Jay Wolpert (characters)","Action, Adventure, Fantasy",True,07 Jul 2006,7.3,"423,032,628"
5707157a71a065165c8c39e3,Night at the Museum,2 wins & 8 nominations.,48,"USA, UK",108 min,PG,Shawn Levy,tt0477347,"224,371","English, Italian, Hebrew","Ben Stiller, Carla Gugino, Dick Van Dyke, Mickey Rooney",http://ia.media-imdb.com/images/M/MV5BMTQyOTM4MDMxN15BMl5BanBnXkFtZTcwODg5NTQzMw@@._V1_SX300.jpg,movie,"Robert Ben Garant (screenplay, Thomas Lennon (screenplay, Robert Ben Garant (screen story, Thomas Lennon (screen story, Milan Trenc (book)","Action, Adventure, Comedy",True,22 Dec 2006,6.4,"250,863,268"
5707157a71a065165c8c39e4,Cars,Nominated for 2 Oscars. Another 26 wins & 28 nominations.,73,USA,117 min,G,"John Lasseter, Joe Ranft",tt0317219,"249,945","English, Italian, Japanese, Yiddish","Owen Wilson, Paul Newman, Bonnie Hunt, Larry the Cable Guy",http://ia.media-imdb.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_SX300.jpg,movie,"John Lasseter (original story by, Joe Ranft (original story by, Jorgen Klubien (original story by, Dan Fogelman (screenplay, John Lasseter (screenplay, Joe Ranft (screenplay, Kiel Murray (screenplay, Phil Lorin (screenplay, Jorgen Klubien (screenplay)","Animation, Adventure, Comedy",True,09 Jun 2006,7.2,"244,052,771"
5707157a71a065165c8c39e5,X-Men: The Last Stand,7 wins & 36 nominations.,58,"Canada, USA, UK",104 min,PG-13,Brett Ratner,tt0376994,"366,175",English,"Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart",http://ia.media-imdb.com/images/M/MV5BMjI1NTg2ODA2Nl5BMl5BanBnXkFtZTcwMDc2MjEzMw@@._V1_SX300.jpg,movie,"Simon Kinberg, Zak Penn","Action, Adventure, Sci-Fi",True,26 May 2006,6.8,"234,360,014"
5707157a71a065165c8c39e6,The Da Vinci Code,Nominated for 1 Golden Globe. Another 5 wins & 21 nominations.,46,"USA, Malta, France, UK",149 min,PG-13,Ron Howard,tt0382625,"304,340","English, French, Latin, Spanish","Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno",http://ia.media-imdb.com/images/M/MV5BMjIxMjQyMTc3Nl5BMl5BanBnXkFtZTcwMTA1MDUzMw@@._V1_SX300.jpg,movie,"Akiva Goldsman (screenplay, Dan Brown (novel)","Mystery, Thriller",True,19 May 2006,6.5,"217,536,138"
5707157a71a065165c8c39e7,Superman Returns,Nominated for 1 Oscar. Another 12 wins & 37 nominations.,72,USA,154 min,PG-13,Bryan Singer,tt0348150,"234,541","English, German, French","Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden",http://ia.media-imdb.com/images/M/MV5BMTU3NzA5MjI0Nl5BMl5BanBnXkFtZTcwMTEwNzMzMQ@@._V1_SX300.jpg,movie,"Michael Dougherty (screenplay, Dan Harris (screenplay, Bryan Singer (story, Michael Dougherty (story, Dan Harris (story, Jerry Siegel (characters, Joe Shuster (characters)","Action, Adventure, Sci-Fi",True,28 Jun 2006,6.1,"200,069,408"
5707157a71a065165c8c39e8,Happy Feet,Won 1 Oscar. Another 18 wins & 24 nominations.,77,"Australia, USA",108 min,PG,"George Miller, Warren Coleman, Judy Morris",tt0366548,"127,937",English,"Carlos Alazraqui, Lombardo Boyar, Jeffrey Garcia, Johnny A. Sanchez",http://ia.media-imdb.com/images/M/MV5BMTQyNTkxMjUwMV5BMl5BanBnXkFtZTcwMDQ2NTU0MQ@@._V1_SX300.jpg,movie,"George Miller, John Collee, Judy Morris, Warren Coleman","Animation, Comedy, Family",True,17 Nov 2006,6.5,"197,992,827"
5707157a71a065165c8c39e9,Ice Age: The Meltdown,6 wins & 15 nominations.,58,USA,91 min,PG,Carlos Saldanha,tt0438097,"185,382",English,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott",http://ia.media-imdb.com/images/M/MV5BMjAwODg3OTAxMl5BMl5BanBnXkFtZTcwMjg2NjYyMw@@._V1_SX300.jpg,movie,"Peter Gaulke (screenplay, Gerry Swallow (screenplay, Jim Hecht (screenplay, Peter Gaulke (story, Gerry Swallow (story)","Animation, Action, Adventure",True,31 Mar 2006,6.9,"195,329,763"
5707157a71a065165c8c39ea,Casino Royale,Won 1 BAFTA Film Award. Another 25 wins & 39 nominations.,80,"UK, Czech Republic, USA, Germany, Bahamas",144 min,PG-13,Martin Campbell,tt0381061,"457,507","English, French","Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench",http://ia.media-imdb.com/images/M/MV5BMTM5MjI4NDExNF5BMl5BanBnXkFtZTcwMDM1MjMzMQ@@._V1_SX300.jpg,movie,"Neal Purvis (screenplay, Robert Wade (screenplay, Paul Haggis (screenplay, Ian Fleming (novel)","Action, Adventure, Thriller",True,17 Nov 2006,8.0,"167,007,184"
5707157a71a065165c8c39eb,The Pursuit of Happyness,Nominated for 1 Oscar. Another 11 wins & 23 nominations.,64,USA,117 min,PG-13,Gabriele Muccino,tt0454921,"325,375","English, Cantonese","Will Smith, Jaden Smith, Thandie Newton, Brian Howe",http://ia.media-imdb.com/images/M/MV5BMTQ5NjQ0NDI3NF5BMl5BanBnXkFtZTcwNDI0MjEzMw@@._V1_SX300.jpg,movie,Steve Conrad,"Biography, Drama",True,15 Dec 2006,7.9,"162,586,036"
