_id,Poster,Response,Type,Language,Actors,Title,Genre,Writer,Box_office,imdbRating,Country,Released,Runtime,imdbVotes,Awards,Rated,Director,imdbID,Metascore
57074d6f71a06515dc52cb09,http://ia.media-imdb.com/images/M/MV5BMTY2MTk3MDQ1N15BMl5BanBnXkFtZTcwMzI4NzA2NQ@@._V1_SX300.jpg,True,movie,English,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe",Harry Potter and the Deathly Hallows: Part 2,"Adventure, Drama, Fantasy","Steve Kloves (screenplay, J.K. Rowling (novel)","380,955,619",8.1,"USA, UK",15 Jul 2011,130 min,"519,701",Nominated for 3 Oscars. Another 44 wins & 82 nominations.,PG-13,David Yates,tt1201607,87
57074d6f71a06515dc52cb0a,http://ia.media-imdb.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@._V1_SX300.jpg,True,movie,English,"Shia LaBeouf, Rosie Huntington-Whiteley, Josh Duhamel, John Turturro",Transformers: Dark of the Moon,"Action, Adventure, Sci-Fi",Ehren Kruger,"352,358,779",6.3,USA,29 Jun 2011,154 min,"317,697",Nominated for 3 Oscars. Another 10 wins & 40 nominations.,PG-13,Michael Bay,tt1399103,42
57074d6f71a06515dc52cb0b,http://ia.media-imdb.com/images/M/MV5BODgxNDE0OTAzOF5BMl5BanBnXkFtZTcwNzcwODE2Ng@@._V1_SX300.jpg,True,movie,"English, Portuguese","Taylor Lautner, Gil Birmingham, Billy Burke, Sarah Clarke",The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Drama, Fantasy","Melissa Rosenberg (screenplay, Stephenie Meyer (novel)","281,275,991",4.9,USA,18 Nov 2011,117 min,"178,517",11 wins & 21 nominations.,PG-13,Bill Condon,tt1324999,45
57074d6f71a06515dc52cb0c,http://ia.media-imdb.com/images/M/MV5BMTM2MTM4MzY2OV5BMl5BanBnXkFtZTcwNjQ3NzI4NA@@._V1_SX300.jpg,True,movie,"English, Thai","Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",The Hangover Part II,Comedy,"Craig Mazin, Scot Armstrong, Todd Phillips, Jon Lucas (characters, Scott Moore (characters)","254,455,986",6.5,USA,26 May 2011,102 min,"363,853",5 wins & 16 nominations.,R,Todd Phillips,tt1411697,44
57074d6f71a06515dc52cb0d,http://ia.media-imdb.com/images/M/MV5BMjE5MjkwODI3Nl5BMl5BanBnXkFtZTcwNjcwMDk4NA@@._V1_SX300.jpg,True,movie,"English, Spanish","Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane",Pirates of the Caribbean: On Stranger Tides,"Action, Adventure, Fantasy","Ted Elliott (screenplay, Terry Rossio (screenplay, Ted Elliott (screen story, Terry Rossio (screen story, Ted Elliott (characters, Terry Rossio (characters, Stuart Beattie (characters, Jay Wolpert (characters, Tim Powers (novel)","241,063,875",6.7,"USA, UK",20 May 2011,136 min,"358,846",2 wins & 30 nominations.,PG-13,Rob Marshall,tt1298650,45
57074d6f71a06515dc52cb0e,http://ia.media-imdb.com/images/M/MV5BMTUxNTk5MTE0OF5BMl5BanBnXkFtZTcwMjA2NzY3NA@@._V1_SX300.jpg,True,movie,"English, Portuguese, Spanish, Italian","Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson",Fast Five,"Action, Crime, Thriller","Chris Morgan, Gary Scott Thompson (characters)","209,805,005",7.3,USA,29 Apr 2011,131 min,"275,749",8 wins & 19 nominations.,PG-13,Justin Lin,tt1596343,67
57074d6f71a06515dc52cb0f,http://ia.media-imdb.com/images/M/MV5BMTY4MTUxMjQ5OV5BMl5BanBnXkFtZTcwNTUyMzg5Ng@@._V1_SX300.jpg,True,movie,"English, Russian, French, Arabic, Swedish","Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner",Mission: Impossible - Ghost Protocol,"Action, Adventure, Thriller",Bruce Geller (television series \,"209,364,921",7.4,"USA, United Arab Emirates, Czech Republic",21 Dec 2011,133 min,"354,042",5 wins & 31 nominations.,PG-13,Brad Bird,tt1458596,73
57074d6f71a06515dc52cb10,http://ia.media-imdb.com/images/M/MV5BMTUzNTc3MTU3M15BMl5BanBnXkFtZTcwMzIxNTc3NA@@._V1_SX300.jpg,True,movie,"English, Japanese, Italian, French","Larry the Cable Guy, Owen Wilson, Michael Caine, Emily Mortimer",Cars 2,"Animation, Adventure, Comedy","John Lasseter (original story by, Brad Lewis (original story by, Dan Fogelman (original story by, Ben Queen (screenplay)","191,450,875",6.3,USA,24 Jun 2011,106 min,"96,367",Nominated for 1 Golden Globe. Another 1 win & 16 nominations.,G,"John Lasseter, Brad Lewis",tt1216475,57
57074d6f71a06515dc52cb11,http://ia.media-imdb.com/images/M/MV5BMTQwMzQ5Njk1MF5BMl5BanBnXkFtZTcwNjIxNzIxNw@@._V1_SX300.jpg,True,movie,"English, French, Italian, German, Romany","Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams",Sherlock Holmes: A Game of Shadows,"Action, Adventure, Crime","Michele Mulroney, Kieran Mulroney, Arthur Conan Doyle (characters: Sherlock Holmes,  Dr. Watson)","186,830,669",7.5,USA,16 Dec 2011,129 min,"326,505",2 wins & 10 nominations.,PG-13,Guy Ritchie,tt1515091,48
57074d6f71a06515dc52cb12,http://ia.media-imdb.com/images/M/MV5BMTYxMjA5NDMzNV5BMl5BanBnXkFtZTcwOTk2Mjk3NA@@._V1_SX300.jpg,True,movie,English,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",Thor,"Action, Adventure, Fantasy","Ashley Miller (screenplay, Zack Stentz (screenplay, Don Payne (screenplay, J. Michael Straczynski (story, Mark Protosevich (story, Stan Lee (comic book, Larry Lieber (comic book, Jack Kirby (comic book)","181,015,141",7.0,USA,06 May 2011,115 min,"510,317",5 wins & 29 nominations.,PG-13,Kenneth Branagh,tt0800369,57
