_id,Rated,Director,Language,imdbID,Released,Type,Awards,Actors,Response,Country,imdbVotes,Runtime,Box_office,imdbRating,Writer,Poster,Genre,Title,Metascore
5707546571a06512a0495800,PG-13,Christopher Nolan,English,tt1345836,20 Jul 2012,movie,Nominated for 1 BAFTA Film Award. Another 38 wins & 99 nominations.,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt",True,"USA, UK","1,098,949",164 min,"448,130,642",8.5,"Jonathan Nolan (screenplay, Christopher Nolan (screenplay, Christopher Nolan (story, David S. Goyer (story, Bob Kane (characters)",http://ia.media-imdb.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,"Action, Thriller",The Dark Knight Rises,78
5707546571a06512a0495801,PG-13,Gary Ross,English,tt1392170,23 Mar 2012,movie,Nominated for 1 Golden Globe. Another 34 wins & 41 nominations.,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields",True,USA,"681,478",142 min,"407,999,255",7.3,"Gary Ross (screenplay, Suzanne Collins (screenplay, Billy Ray (screenplay, Suzanne Collins (novel)",http://ia.media-imdb.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_SX300.jpg,"Adventure, Drama, Sci-Fi",The Hunger Games,68
5707546571a06512a0495802,PG-13,Sam Mendes,English,tt1074638,09 Nov 2012,movie,Won 2 Oscars. Another 63 wins & 113 nominations.,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes",True,"UK, USA","506,806",143 min,"304,360,277",7.8,"Neal Purvis, Robert Wade, John Logan",http://ia.media-imdb.com/images/M/MV5BMjAyODkzNDgzMF5BMl5BanBnXkFtZTcwMDMxMDI4Nw@@._V1_SX300.jpg,"Action, Adventure, Thriller",Skyfall,81
5707546571a06512a0495803,PG-13,Peter Jackson,English,tt0903624,14 Dec 2012,movie,Nominated for 3 Oscars. Another 9 wins & 66 nominations.,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",True,"USA, New Zealand","618,331",169 min,"303,001,229",7.9,"Fran Walsh (screenplay, Philippa Boyens (screenplay, Peter Jackson (screenplay, Guillermo del Toro (screenplay, J.R.R. Tolkien (novel)",http://ia.media-imdb.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1_SX300.jpg,"Adventure, Fantasy",The Hobbit: An Unexpected Journey,58
5707546571a06512a0495804,PG-13,Bill Condon,English,tt1673434,16 Nov 2012,movie,20 wins & 11 nominations.,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli",True,USA,"180,676",115 min,"292,298,923",5.5,"Melissa Rosenberg (screenplay, Stephenie Meyer (novel)",http://ia.media-imdb.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1_SX300.jpg,"Adventure, Drama, Fantasy",The Twilight Saga: Breaking Dawn - Part 2,52
5707546571a06512a0495805,PG-13,Marc Webb,English,tt0948470,03 Jul 2012,movie,2 wins & 32 nominations.,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary",True,USA,"436,892",136 min,"262,030,663",7.0,"James Vanderbilt (screenplay, Alvin Sargent (screenplay, Steve Kloves (screenplay, James Vanderbilt (story, Stan Lee (based on the Marvel comic book by, Steve Ditko (based on the Marvel comic book by)",http://ia.media-imdb.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_SX300.jpg,"Action, Adventure, Fantasy",The Amazing Spider-Man,66
5707546571a06512a0495806,PG,"Mark Andrews, Brenda Chapman, Steve Purcell",English,tt1217209,22 Jun 2012,movie,Won 1 Oscar. Another 18 wins & 46 nominations.,"Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters",True,USA,"264,554",93 min,"237,282,182",7.2,"Brenda Chapman (story, Mark Andrews (screenplay, Steve Purcell (screenplay, Brenda Chapman (screenplay, Irene Mecchi (screenplay)",http://ia.media-imdb.com/images/M/MV5BMzgwODk3ODA1NF5BMl5BanBnXkFtZTcwNjU3NjQ0Nw@@._V1_SX300.jpg,"Animation, Adventure, Comedy",Brave,69
5707546571a06512a0495807,R,Seth MacFarlane,English,tt1637725,29 Jun 2012,movie,Nominated for 1 Oscar. Another 13 wins & 27 nominations.,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale",True,USA,"457,135",106 min,"218,628,680",7.0,"Seth MacFarlane (screenplay, Alec Sulkin (screenplay, Wellesley Wild (screenplay, Seth MacFarlane (story)",http://ia.media-imdb.com/images/M/MV5BMTQ1OTU0ODcxMV5BMl5BanBnXkFtZTcwOTMxNTUwOA@@._V1_SX300.jpg,"Comedy, Fantasy",Ted,62
5707546571a06512a0495808,PG,"Eric Darnell, Tom McGrath, Conrad Vernon","English, Norwegian",tt1277953,08 Jun 2012,movie,1 win & 21 nominations.,"Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",True,USA,"114,550",93 min,"216,366,733",6.9,"Eric Darnell (screenplay, Noah Baumbach (screenplay)",http://ia.media-imdb.com/images/M/MV5BMTM2MTIzNzk2MF5BMl5BanBnXkFtZTcwMDcwMzQxNw@@._V1_SX300.jpg,"Animation, Adventure, Comedy",Madagascar 3: Europe's Most Wanted,60
5707546571a06512a0495809,PG,Rich Moore,English,tt1772341,02 Nov 2012,movie,Nominated for 1 Oscar. Another 32 wins & 40 nominations.,"John C. Reilly, Sarah Silverman, Jack McBrayer, Jane Lynch",True,USA,"256,943",101 min,"189,412,677",7.8,"Rich Moore (story, Phil Johnston (story, Jim Reardon (story, Phil Johnston (screenplay, Jennifer Lee (screenplay, John C. Reilly (additional story material)",http://ia.media-imdb.com/images/M/MV5BNzMxNTExOTkyMF5BMl5BanBnXkFtZTcwMzEyNDc0OA@@._V1_SX300.jpg,"Animation, Adventure, Comedy",Wreck-It Ralph,72
5707546571a06512a049580a,PG-13,Steven Spielberg,English,tt0443272,16 Nov 2012,movie,Won 2 Oscars. Another 106 wins & 226 nominations.,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt",True,"USA, India","192,073",150 min,"182,204,440",7.4,"Tony Kushner (screenplay, Doris Kearns Goodwin (book)",http://ia.media-imdb.com/images/M/MV5BMTQzNzczMDUyNV5BMl5BanBnXkFtZTcwNjM2ODEzOA@@._V1_SX300.jpg,"Biography, Drama, History",Lincoln,86
5707546571a06512a049580b,N/A,N/A,English,tt2872992,30 Nov 2012,movie,N/A,N/A,True,USA,5,N/A,,6.0,N/A,N/A,"Short, Comedy",Partners in Time: The Making of 'MIB 3',N/A
5707546571a06512a049580c,R,Quentin Tarantino,"English, German, French, Italian",tt1853728,25 Dec 2012,movie,Won 2 Oscars. Another 52 wins & 137 nominations.,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",True,USA,"905,379",165 min,"162,804,648",8.5,Quentin Tarantino,http://ia.media-imdb.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg,"Drama, Western",Django Unchained,81
5707546571a06512a049580d,PG,"Steve Martino, Mike Thurmeier",English,tt1667889,13 Jul 2012,movie,2 wins & 10 nominations.,"Aziz Ansari, Joy Behar, Christopher Campbell, Alain Chabat",True,USA,"139,662",88 min,"161,317,423",6.7,"Michael Berg (screenplay, Jason Fuchs (screenplay, Michael Berg (story, Lori Forte (story)",http://ia.media-imdb.com/images/M/MV5BMTM3NDM5MzY5Ml5BMl5BanBnXkFtZTcwNjExMDUwOA@@._V1_SX300.jpg,"Animation, Adventure, Comedy",Ice Age: Continental Drift,49
5707546571a06512a049580e,PG-13,Rupert Sanders,English,tt1735898,01 Jun 2012,movie,Nominated for 2 Oscars. Another 13 wins & 31 nominations.,"Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin",True,USA,"218,243",127 min,"155,111,815",6.1,"Evan Daugherty (screenplay, John Lee Hancock (screenplay, Hossein Amini (screenplay, Evan Daugherty (screen story)",http://ia.media-imdb.com/images/M/MV5BMTQ1NDA0MTk5OV5BMl5BanBnXkFtZTcwMTM4NDMwNw@@._V1_SX300.jpg,"Action, Adventure, Drama",Snow White and the Huntsman,57
5707546571a06512a049580f,PG,Genndy Tartakovsky,English,tt0837562,28 Sep 2012,movie,Nominated for 1 Golden Globe. Another 3 wins & 14 nominations.,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James",True,USA,"155,488",91 min,"148,313,048",7.1,"Peter Baynham (screenplay, Robert Smigel (screenplay, Todd Durham (story, Dan Hageman (story, Kevin Hageman (story)",http://ia.media-imdb.com/images/M/MV5BMTM3NjQyODI3M15BMl5BanBnXkFtZTcwMDM4NjM0OA@@._V1_SX300.jpg,"Animation, Comedy, Family",Hotel Transylvania,47
5707546571a06512a0495810,PG-13,Olivier Megaton,"English, Turkish, Arabic",tt1397280,05 Oct 2012,movie,1 win & 3 nominations.,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser",True,France,"230,757",92 min,"139,852,971",6.3,"Luc Besson, Robert Mark Kamen, Luc Besson (based on characters created by, Robert Mark Kamen (based on characters created by)",http://ia.media-imdb.com/images/M/MV5BMTkwNTQ0ODExOV5BMl5BanBnXkFtZTcwNjU3NDQwOA@@._V1_SX300.jpg,"Action, Crime, Thriller",Taken 2,45
5707546571a06512a0495811,R,"Phil Lord, Christopher Miller",English,tt1232829,16 Mar 2012,movie,11 wins & 20 nominations.,"Jonah Hill, Channing Tatum, Brie Larson, Dave Franco",True,USA,"393,588",109 min,"138,447,667",7.2,"Michael Bacall (screenplay, Michael Bacall (story, Jonah Hill (story, Patrick Hasburgh (television series, Stephen J. Cannell (television series)",http://ia.media-imdb.com/images/M/MV5BMTc3NzQ3OTg3NF5BMl5BanBnXkFtZTcwMjk5OTcxNw@@._V1_SX300.jpg,"Action, Comedy, Crime",21 Jump Street,69
5707546571a06512a0495812,R,Ben Affleck,"English, Persian",tt1024648,12 Oct 2012,movie,Won 3 Oscars. Another 87 wins & 145 nominations.,"Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman",True,USA,"435,305",120 min,"136,019,448",7.8,"Chris Terrio (screenplay, Tony Mendez (based on a selection from \",http://ia.media-imdb.com/images/M/MV5BMTc3MjI0MjM0NF5BMl5BanBnXkFtZTcwMTYxMTQ1OA@@._V1_SX300.jpg,"Biography, Drama, History",Argo,86
5707546571a06512a0495813,R,David O. Russell,English,tt1045658,25 Dec 2012,movie,Won 1 Oscar. Another 86 wins & 141 nominations.,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",True,USA,"516,252",122 min,"132,088,910",7.8,"David O. Russell (screenplay, Matthew Quick (novel)",http://ia.media-imdb.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_SX300.jpg,"Comedy, Drama, Romance",Silver Linings Playbook,81
5707546571a06512a0495814,R,Ridley Scott,"English, Scottish Gaelic",tt1446714,08 Jun 2012,movie,Nominated for 1 Oscar. Another 6 wins & 42 nominations.,"Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba",True,"USA, UK","445,451",124 min,"126,464,904",7.0,"Jon Spaihts, Damon Lindelof, Dan O'Bannon (elements, Ronald Shusett (elements)",http://ia.media-imdb.com/images/M/MV5BMTY3NzIyNTA2NV5BMl5BanBnXkFtZTcwNzE2NjI4Nw@@._V1_SX300.jpg,"Adventure, Mystery, Sci-Fi",Prometheus,65
5707546571a06512a0495815,R,Daniel Espinosa,"English, Afrikaans, Spanish",tt1599348,10 Feb 2012,movie,1 win & 7 nominations.,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson",True,"USA, South Africa, Japan","162,848",115 min,"126,149,655",6.8,David Guggenheim,http://ia.media-imdb.com/images/M/MV5BMjI5ODkyMjA2Nl5BMl5BanBnXkFtZTcwNTcyNTgzNw@@._V1_SX300.jpg,"Action, Crime, Mystery",Safe House,52
5707546571a06512a0495816,PG-13,Michael Sucsy,English,tt1606389,10 Feb 2012,movie,3 wins & 16 nominations.,"Rachel McAdams, Channing Tatum, Jessica Lange, Sam Neill",True,"USA, France, Australia, UK, Germany, Canada","139,507",104 min,"125,014,030",6.8,"Jason Katims, Abby Kohn (screenplay, Stuart Sender (story, Marc Silverstein (screenplay)",http://ia.media-imdb.com/images/M/MV5BMjE1OTU5MjU0N15BMl5BanBnXkFtZTcwMzI3OTU5Ng@@._V1_SX300.jpg,"Drama, Romance",The Vow,43
5707546571a06512a0495817,PG,Ang Lee,"English, Tamil, French, Japanese, Hindi, Chinese",tt0454876,21 Nov 2012,movie,Won 4 Oscars. Another 74 wins & 118 nominations.,"Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur",True,"USA, Taiwan, UK","420,635",127 min,"124,976,634",8.0,"Yann Martel (novel, David Magee (screenplay)",http://ia.media-imdb.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_SX300.jpg,"Adventure, Drama, Fantasy",Life of Pi,79
5707546571a06512a0495818,R,Steven Soderbergh,English,tt1915581,29 Jun 2012,movie,8 wins & 15 nominations.,"Matthew McConaughey, Channing Tatum, Olivia Munn, Alex Pettyfer",True,USA,"105,531",110 min,"113,709,992",6.1,Reid Carolin,http://ia.media-imdb.com/images/M/MV5BMTQzMDMzOTA5M15BMl5BanBnXkFtZTcwMjc4MTg4Nw@@._V1_SX300.jpg,"Comedy, Drama",Magic Mike,72
5707546571a06512a0495819,PG-13,Tony Gilroy,"English, Russian, Filipino",tt1194173,10 Aug 2012,movie,1 win & 11 nominations.,"Jeremy Renner, Scott Glenn, Stacy Keach, Edward Norton",True,USA,"220,650",135 min,"113,165,635",6.7,"Tony Gilroy (screenplay, Dan Gilroy (screenplay, Tony Gilroy (story, Robert Ludlum (inspired by \",http://ia.media-imdb.com/images/M/MV5BMTc4Njk3MDM1Nl5BMl5BanBnXkFtZTcwODgyOTMxOA@@._V1_SX300.jpg,"Action, Adventure, Thriller",The Bourne Legacy,61
5707546571a06512a049581a,PG,Brad Peyton,English,tt1397514,10 Feb 2012,movie,3 wins & 4 nominations.,"Dwayne Johnson, Michael Caine, Josh Hutcherson, Luis Guzmán",True,USA,"64,796",94 min,"103,812,241",5.8,"Brian Gunn (screenplay, Mark Gunn (screenplay, Richard Outten (story, Brian Gunn (story, Mark Gunn (story, Jules Verne (novel)",http://ia.media-imdb.com/images/M/MV5BMjA5MTE1MjQyNV5BMl5BanBnXkFtZTcwODI4NDMwNw@@._V1_SX300.jpg,"Action, Adventure, Comedy",Journey 2: The Mysterious Island,41
