_id,Genre,Runtime,Awards,Director,Language,Actors,imdbRating,Country,Response,Metascore,Writer,Poster,imdbID,Box_office,Rated,Title,Type,Released,imdbVotes
57076f1171a065033c87ab85,"Adventure, Sci-Fi, Thriller",146 min,Nominated for 1 Golden Globe. Another 21 wins & 57 nominations.,Francis Lawrence,English,"Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair",7.6,USA,True,76,"Simon Beaufoy (screenplay, Michael Arndt (screenplay, Suzanne Collins (novel)",http://ia.media-imdb.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_SX300.jpg,tt1951264,"424,645,577",PG-13,The Hunger Games: Catching Fire,movie,22 Nov 2013,"480,637"
57076f1171a065033c87ab86,"Action, Adventure, Sci-Fi",130 min,Nominated for 1 Oscar. Another 17 wins & 52 nominations.,Shane Black,English,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce",7.3,"USA, China",True,62,"Drew Pearce (screenplay, Shane Black (screenplay, Stan Lee (based on the Marvel comic book by, Don Heck (based on the Marvel comic book by, Larry Lieber (based on the Marvel comic book by, Jack Kirby (based on the Marvel comic book by, Warren Ellis (based on the \","http://ia.media-imdb.com/images/M/MV5BMjIzMzAzMjQyM15BMl5BanBnXkFtZTcwNzM2NjcyOQ@@._V1._SY317_SY132_CR0,0,89,132_AL_.jpg_V1_SX300.jpg",tt1300854,"408,992,272",PG-13,Iron Man 3,movie,03 May 2013,"528,675"
57076f1171a065033c87ab87,"Animation, Adventure, Comedy",102 min,Won 2 Oscars. Another 70 wins & 56 nominations.,"Chris Buck, Jennifer Lee","English, Icelandic","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",7.6,USA,True,74,"Jennifer Lee (screenplay, Hans Christian Andersen (story, Chris Buck (story, Jennifer Lee (story, Shane Morris (story)",http://ia.media-imdb.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,tt2294629,"400,736,600",PG,Frozen,movie,27 Nov 2013,"401,520"
57076f1171a065033c87ab88,"Animation, Comedy, Family",98 min,Nominated for 2 Oscars. Another 12 wins & 62 nominations.,"Pierre Coffin, Chris Renaud",English,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove",7.5,USA,True,62,"Cinco Paul, Ken Daurio",http://ia.media-imdb.com/images/M/MV5BMjExNjAyNTcyMF5BMl5BanBnXkFtZTgwODQzMjQ3MDE@._V1_SX300.jpg,tt1690953,"368,049,635",PG,Despicable Me 2,movie,03 Jul 2013,"274,884"
57076f1171a065033c87ab89,"Action, Adventure, Fantasy",143 min,7 wins & 42 nominations.,Zack Snyder,English,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",7.2,"USA, Canada, UK",True,55,"David S. Goyer (screenplay, David S. Goyer (story, Christopher Nolan (story, Jerry Siegel (Superman created by, Joe Shuster (Superman created by)",http://ia.media-imdb.com/images/M/MV5BMjI5OTYzNjI0Ml5BMl5BanBnXkFtZTcwMzM1NDA1OQ@@._V1_SX300.jpg,tt0770828,"291,021,565",PG-13,Man of Steel,movie,14 Jun 2013,"506,090"
57076f1171a065033c87ab8a,"Sci-Fi, Thriller",91 min,Won 7 Oscars. Another 207 wins & 166 nominations.,Alfonso Cuarón,"English, Greenlandic","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",7.8,"UK, USA",True,96,"Alfonso Cuarón, Jonás Cuarón",http://ia.media-imdb.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_SX300.jpg,tt1454468,"274,084,951",PG-13,Gravity,movie,04 Oct 2013,"563,753"
57076f1171a065033c87ab8b,"Animation, Adventure, Comedy",104 min,Nominated for 1 BAFTA Film Award. Another 9 wins & 53 nominations.,Dan Scanlon,English,"Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren",7.4,USA,True,65,"Dan Scanlon (story, Daniel Gerson (story, Robert L. Baird (story, Daniel Gerson (screenplay, Robert L. Baird (screenplay, Dan Scanlon (screenplay)",http://ia.media-imdb.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_SX300.jpg,tt1453405,"268,488,329",G,Monsters University,movie,21 Jun 2013,"222,915"
57076f1171a065033c87ab8c,"Adventure, Fantasy",161 min,Nominated for 3 Oscars. Another 14 wins & 78 nominations.,Peter Jackson,English,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",7.9,"USA, New Zealand",True,66,"Fran Walsh (screenplay, Philippa Boyens (screenplay, Peter Jackson (screenplay, Guillermo del Toro (screenplay, J.R.R. Tolkien (novel)",http://ia.media-imdb.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1_SX300.jpg,tt1170358,"258,355,354",PG-13,The Hobbit: The Desolation of Smaug,movie,13 Dec 2013,"464,381"
57076f1171a065033c87ab8d,"Short, Drama, Fantasy",11 min,N/A,Melanie Vesey,English,"Vera Miao, Angie Evans, Adam Barnhardt, Tierney Deaton",N/A,USA,True,N/A,Melanie Vesey,http://ia.media-imdb.com/images/M/MV5BMjAzODEzODkxNl5BMl5BanBnXkFtZTgwMTY5OTE5MDE@._V1_SX300.jpg,tt3313776,,N/A,Fast,movie,N/A,N/A
57076f1171a065033c87ab8e,"Adventure, Family, Fantasy",130 min,5 wins & 31 nominations.,Sam Raimi,English,"James Franco, Mila Kunis, Rachel Weisz, Michelle Williams",6.4,USA,True,44,"Mitchell Kapner (screenplay, David Lindsay-Abaire (screenplay, Mitchell Kapner (screen story, L. Frank Baum (\",http://ia.media-imdb.com/images/M/MV5BMjMyMzQ1ODM1MF5BMl5BanBnXkFtZTcwMjE2MTQxOQ@@._V1_SX300.jpg,tt1623205,"234,903,076",PG,Oz the Great and Powerful,movie,08 Mar 2013,"172,349"
