_id,Response,Actors,Type,Director,Runtime,Country,imdbRating,Title,Genre,imdbID,Poster,Released,Rated,Writer,Metascore,Box_office,Awards,Language,imdbVotes
5707776b71a0650c681a28a0,True,"Bradley Cooper, Kyle Gallner, Cole Konis, Ben Reed",movie,Clint Eastwood,133 min,USA,7.3,American Sniper,"Action, Biography, Drama",tt2179136,http://ia.media-imdb.com/images/M/MV5BMTkxNzI3ODI4Nl5BMl5BanBnXkFtZTgwMjkwMjY4MjE@._V1_SX300.jpg,16 Jan 2015,R,"Jason Hall, Chris Kyle (book, Scott McEwen (book, Jim DeFelice (book)",72,"350,123,553",Won 1 Oscar. Another 16 wins & 33 nominations.,"English, Arabic","307,331"
5707776b71a0650c681a28a1,True,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",movie,Francis Lawrence,123 min,USA,6.7,The Hunger Games: Mockingjay - Part 1,"Adventure, Sci-Fi, Thriller",tt1951265,http://ia.media-imdb.com/images/M/MV5BMTcxNDI2NDAzNl5BMl5BanBnXkFtZTgwODM3MTc2MjE@._V1_SX300.jpg,21 Nov 2014,PG-13,"Peter Craig (screenplay, Danny Strong (screenplay, Suzanne Collins (adaptation, Suzanne Collins (novel)",64,"337,103,873",Nominated for 1 Golden Globe. Another 10 wins & 21 nominations.,English,"288,631"
5707776b71a0650c681a28a2,True,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",movie,James Gunn,121 min,"USA, UK",8.1,Guardians of the Galaxy,"Action, Adventure, Sci-Fi",tt2015381,http://ia.media-imdb.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_SX300.jpg,01 Aug 2014,PG-13,"James Gunn, Nicole Perlman, Dan Abnett (comic book, Andy Lanning (comic book)",76,"333,130,696",Nominated for 2 Oscars. Another 46 wins & 87 nominations.,English,"635,834"
5707776b71a0650c681a28a3,True,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford",movie,"Anthony Russo, Joe Russo",136 min,USA,7.8,Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",tt1843866,http://ia.media-imdb.com/images/M/MV5BMzA2NDkwODAwM15BMl5BanBnXkFtZTgwODk5MTgzMTE@._V1_SX300.jpg,04 Apr 2014,PG-13,"Christopher Markus (screenplay, Stephen McFeely (screenplay, Joe Simon (based on the Marvel comic by, Jack Kirby (based on the Marvel comic by)",70,"259,746,958",Nominated for 1 Oscar. Another 4 wins & 49 nominations.,English,"455,058"
5707776b71a0650c681a28a4,True,"Will Arnett, Elizabeth Banks, Craig Berry, Alison Brie",movie,"Phil Lord, Christopher Miller",100 min,"Australia, USA, Denmark",7.8,The Lego Movie,"Animation, Action, Adventure",tt1490017,http://ia.media-imdb.com/images/M/MV5BMTg4MDk1ODExN15BMl5BanBnXkFtZTgwNzIyNjg3MDE@._V1_SX300.jpg,07 Feb 2014,PG,"Phil Lord (screenplay, Christopher Miller (screenplay, Dan Hageman (story, Kevin Hageman (story, Phil Lord (story, Christopher Miller (story)",83,"257,756,197",Nominated for 1 Oscar. Another 67 wins & 58 nominations.,English,"236,500"
5707776b71a0650c681a28a5,True,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",movie,Peter Jackson,144 min,"New Zealand, USA",7.5,The Hobbit: The Battle of the Five Armies,"Adventure, Fantasy",tt2310332,http://ia.media-imdb.com/images/M/MV5BODAzMDgxMDc1MF5BMl5BanBnXkFtZTgwMTI0OTAzMjE@._V1_SX300.jpg,17 Dec 2014,PG-13,"Fran Walsh (screenplay, Philippa Boyens (screenplay, Peter Jackson (screenplay, Guillermo del Toro (screenplay, J.R.R. Tolkien (novel)",59,"255,108,370",Nominated for 1 Oscar. Another 5 wins & 45 nominations.,English,"336,074"
5707776b71a0650c681a28a6,True,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz",movie,Michael Bay,165 min,"USA, China",5.7,Transformers: Age of Extinction,"Action, Adventure, Sci-Fi",tt2109248,http://ia.media-imdb.com/images/M/MV5BMjEwNTg1MTA5Nl5BMl5BanBnXkFtZTgwOTg2OTM4MTE@._V1_SX300.jpg,27 Jun 2014,PG-13,Ehren Kruger,32,"245,428,137",5 wins & 21 nominations.,English,"233,575"
5707776b71a0650c681a28a7,True,"Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville",movie,Robert Stromberg,97 min,"USA, UK",7.0,Maleficent,"Action, Adventure, Family",tt1587310,http://ia.media-imdb.com/images/M/MV5BMTQ1NDk3NTk0MV5BMl5BanBnXkFtZTgwMTk3MDcxMzE@._V1_SX300.jpg,30 May 2014,PG,"Linda Woolverton (screenplay, Charles Perrault (based on \",56,"241,407,328",Nominated for 1 Oscar. Another 9 wins & 36 nominations.,English,"242,952"
5707776b71a0650c681a28a8,True,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence",movie,Bryan Singer,132 min,"USA, UK, Canada",8.0,X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",tt1877832,http://ia.media-imdb.com/images/M/MV5BNjk3MGZhMjEtOTM4NC00NzE2LTk2NzctZDc4YTUwN2E3NDhhXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,23 May 2014,PG-13,"Simon Kinberg (screenplay, Jane Goldman (story, Simon Kinberg (story, Matthew Vaughn (story)",74,"233,914,986",Nominated for 1 Oscar. Another 12 wins & 41 nominations.,"English, Vietnamese, French","484,751"
5707776b71a0650c681a28a9,True,"Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller",movie,"Don Hall, Chris Williams",102 min,USA,7.9,Big Hero 6,"Animation, Action, Adventure",tt2245084,http://ia.media-imdb.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_SX300.jpg,07 Nov 2014,PG,"Jordan Roberts (screenplay, Robert L. Baird (screenplay, Daniel Gerson (screenplay, Man of Action (Big Hero 6 team and characters created by)",74,"222,487,711",Won 1 Oscar. Another 13 wins & 52 nominations.,English,"253,901"
