_id,Language,Box_office,Country,Rated,imdbID,Awards,Poster,Director,Released,Writer,imdbVotes,Runtime,Response,imdbRating,Title,Genre,Actors,Type,Metascore
56fb860e71a0651b0c306f55,English,"290,158,751",USA,PG,tt0080684,Won 1 Oscar. Another 15 wins & 18 nominations.,http://ia.media-imdb.com/images/M/MV5BMjE2MzQwMTgxN15BMl5BanBnXkFtZTcwMDQzNjk2OQ@@._V1_SX300.jpg,Irvin Kershner,20 Jun 1980,"Leigh Brackett (screenplay, Lawrence Kasdan (screenplay, George Lucas (story)","799,579",124 min,True,8.8,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",movie,79
56fb860e71a0651b0c306f56,English,"101,500,000",USA,R,tt0081562,1 nomination.,http://ia.media-imdb.com/images/M/MV5BMTM4OTI3MTYxNl5BMl5BanBnXkFtZTcwMTA1NDkyMQ@@._V1_SX300.jpg,Sidney Poitier,12 Dec 1980,Bruce Jay Friedman,"17,705",111 min,True,6.8,Stir Crazy,"Comedy, Crime","Gene Wilder, Richard Pryor, Georg Stanford Brown, JoBeth Williams",movie,50
56fb860e71a0651b0c306f57,English,"83,400,000",USA,PG,tt0080339,Nominated for 1 Golden Globe. Another 2 wins & 6 nominations.,http://ia.media-imdb.com/images/M/MV5BNDU2MjE4MTcwNl5BMl5BanBnXkFtZTgwNDExOTMxMDE@._V1_SX300.jpg,"Jim Abrahams, David Zucker, Jerry Zucker",02 Jul 1980,"Jim Abrahams (written for the screen by, David Zucker (written for the screen by, Jerry Zucker (written for the screen by)","154,994",88 min,True,7.8,Airplane!,Comedy,"Kareem Abdul-Jabbar, Lloyd Bridges, Peter Graves, Julie Hagerty",movie,N/A
56fb860e71a0651b0c306f58,English,,USA,PG,tt0080377,1 win.,http://ia.media-imdb.com/images/M/MV5BMTc5MTc5NTc3Nl5BMl5BanBnXkFtZTcwMDM3MDUyMQ@@._V1_SX300.jpg,Buddy Van Horn,17 Dec 1980,"Jeremy Joe Kronsberg (characters, Stanford Sherman","12,639",116 min,True,6.0,Any Which Way You Can,"Action, Comedy","Clint Eastwood, Sondra Locke, Geoffrey Lewis, William Smith",movie,N/A
56fb860e71a0651b0c306f59,English,"69,800,000",USA,R,tt0081375,Nominated for 3 Oscars. Another 1 win & 3 nominations.,http://ia.media-imdb.com/images/M/MV5BMjIyNjkxMjUyMF5BMl5BanBnXkFtZTgwMzU0MjEyMDE@._V1_SX300.jpg,Howard Zieff,10 Oct 1980,"Nancy Meyers, Charles Shyer, Harvey Miller","17,591",109 min,True,6.1,Private Benjamin,"Comedy, War","Goldie Hawn, Eileen Brennan, Armand Assante, Robert Webber",movie,N/A
56fb860e71a0651b0c306f5a,English,"79,900,000",USA,PG,tt0080549,Won 1 Oscar. Another 8 wins & 13 nominations.,http://ia.media-imdb.com/images/M/MV5BMTkwMjUxNTczNV5BMl5BanBnXkFtZTgwNjg2MDM0MDE@._V1_SX300.jpg,Michael Apted,07 Mar 1980,"Thomas Rickman (screenplay, Loretta Lynn (autobiography, George Vecsey (autobiography)","12,692",124 min,True,7.5,Coal Miner's Daughter,"Biography, Drama, Music","Sissy Spacek, Tommy Lee Jones, Levon Helm, Phyllis Boyens",movie,N/A
56fb860e71a0651b0c306f5b,"English, Spanish","66,100,000",USA,PG,tt0081529,1 win & 4 nominations.,http://ia.media-imdb.com/images/M/MV5BMTc3MjUwOTUyMl5BMl5BanBnXkFtZTcwNDk4NTcxMQ@@._V1_SX300.jpg,Hal Needham,15 Aug 1980,"Hal Needham (characters created by, Robert L. Levy (characters created by, Jerry Belson (screenplay, Brock Yates (screenplay, Michael Kane (story)","10,818",100 min,True,5.1,Smokey and the Bandit II,"Action, Comedy","Burt Reynolds, Jackie Gleason, Jerry Reed, Dom DeLuise",movie,N/A
56fb860e71a0651b0c306f5c,English,,USA,R,tt0080453,Nominated for 1 Oscar. Another 3 wins & 7 nominations.,http://ia.media-imdb.com/images/M/MV5BMTQwNTM5MDU2OF5BMl5BanBnXkFtZTgwNjI0OTgzMTE@._V1_SX300.jpg,Randal Kleiser,02 Jul 1980,"Henry De Vere Stacpoole (novel, Douglas Day Stewart","48,868",104 min,True,5.7,The Blue Lagoon,"Adventure, Drama, Romance","Brooke Shields, Christopher Atkins, Leo McKern, William Daniels",movie,N/A
56fb860e71a0651b0c306f5d,English,"54,200,000",USA,R,tt0080455,1 win.,http://ia.media-imdb.com/images/M/MV5BMTM1Mjk3OTQ0M15BMl5BanBnXkFtZTYwMDA4MTY5._V1_SX300.jpg,John Landis,20 Jun 1980,"Dan Aykroyd, John Landis","138,196",133 min,True,7.9,The Blues Brothers,"Action, Comedy, Crime","John Belushi, Dan Aykroyd, James Brown, Cab Calloway",movie,N/A
56fb860e71a0651b0c306f5e,English,"54,800,000",USA,R,tt0081283,Won 4 Oscars. Another 15 wins & 14 nominations.,http://ia.media-imdb.com/images/M/MV5BNTQwNTc4NzYxNl5BMl5BanBnXkFtZTgwMDEzMjEyMDE@._V1_SX300.jpg,Robert Redford,27 Feb 1981,"Judith Guest (novel, Alvin Sargent (screenplay)","34,021",124 min,True,7.8,Ordinary People,Drama,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",movie,85
